People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,35,10,2020-03-04,39508089.0,7.196428571428571,6.75,18.892857142857142,1.5,1.6071428571428572,-0.5714285714285714,53.0,462.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,51,16,2020-03-05,39508089.0,7.839285714285714,8.089285714285714,17.642857142857142,1.9285714285714286,1.8392857142857142,-0.5535714285714286,53.0,462.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,59,8,2020-03-06,39508089.0,3.4107142857142856,4.464285714285714,12.571428571428571,1.6607142857142858,1.7857142857142858,-0.07142857142857142,60.0,462.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,81,22,2020-03-07,39499248.0,2.5090909090909093,2.727272727272727,-3.7636363636363637,-2.2,0.07272727272727272,0.5818181818181818,69.0,462.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,95,14,2020-03-08,39499248.0,5.418181818181818,3.8363636363636364,14.6,2.290909090909091,0.7636363636363637,0.10909090909090909,88.0,462.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,101,6,2020-03-09,39508089.0,3.7857142857142856,5.928571428571429,16.089285714285715,-1.125,1.8214285714285714,0.26785714285714285,114.0,690.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,144,43,2020-03-10,39508089.0,3.107142857142857,6.321428571428571,11.178571428571429,-3.4642857142857144,-0.125,1.0178571428571428,133.0,690.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,178,34,2020-03-11,39508089.0,4.053571428571429,8.892857142857142,17.946428571428573,-3.767857142857143,-1.2857142857142858,0.8571428571428571,157.0,916.0,0.0,0.0,0.0,0.0,256.3727,155779
0.0,221,43,2020-03-12,39508089.0,4.125,15.535714285714286,14.142857142857142,-5.625,-2.482142857142857,1.4107142857142858,202.0,916.0,0.0,0.0,4.0,4.0,256.3727,155779
0.0,281,60,2020-03-13,39508089.0,0.5178571428571429,24.5,3.8214285714285716,-8.446428571428571,-3.0892857142857144,2.1607142857142856,202.0,916.0,0.0,0.0,4.0,0.0,256.3727,155779
0.0,371,90,2020-03-14,39499248.0,-10.145454545454545,16.09090909090909,-24.072727272727274,-13.872727272727273,-4.581818181818182,3.6,252.0,916.0,0.0,0.0,5.0,1.0,256.3727,155779
0.0,373,2,2020-03-15,39499248.0,-13.818181818181818,10.581818181818182,-20.70909090909091,-12.963636363636363,-8.290909090909091,3.7454545454545456,293.0,916.0,0.0,0.0,5.0,0.0,256.3727,155779
0.0,557,184,2020-03-16,39508089.0,-9.464285714285714,22.5,-14.428571428571429,-16.642857142857142,-19.875,7.071428571428571,335.0,7981.0,0.0,0.0,6.0,1.0,256.3727,155779
0.0,700,143,2020-03-17,39508089.0,-19.553571428571427,12.017857142857142,-4.642857142857143,-18.285714285714285,-27.375,9.803571428571429,483.0,7981.0,0.0,0.0,11.0,5.0,256.3727,155779
0.0,828,128,2020-03-18,39508089.0,-23.589285714285715,8.464285714285714,-7.839285714285714,-21.428571428571427,-32.089285714285715,11.428571428571429,611.0,7981.0,0.0,0.0,13.0,2.0,256.3727,155779
0.0,1005,177,2020-03-19,39508089.0,-25.714285714285715,7.089285714285714,-0.8928571428571429,-21.910714285714285,-34.25,12.178571428571429,924.0,8787.0,0.0,0.0,18.0,5.0,256.3727,155779
0.0,1243,238,2020-03-20,39508089.0,-36.55357142857143,-2.25,-8.357142857142858,-26.892857142857142,-38.42857142857143,14.303571428571429,1063.0,10424.0,0.0,0.0,20.0,2.0,256.3727,155779
0.0,1405,162,2020-03-21,39499248.0,-45.30909090909091,-12.036363636363637,-14.472727272727273,-28.727272727272727,-28.89090909090909,9.781818181818181,1279.0,11249.0,0.0,0.0,24.0,4.0,256.3727,155779
0.0,1646,241,2020-03-22,39499248.0,-45.21818181818182,-16.78181818181818,-7.6,-27.854545454545455,-32.74545454545454,7.672727272727273,1536.0,11304.0,0.0,0.0,27.0,3.0,256.3727,155779
0.0,2108,462,2020-03-23,39508089.0,-37.92857142857143,-15.053571428571429,-17.625,-31.946428571428573,-41.232142857142854,14.303571428571429,1733.0,12567.0,0.0,0.0,27.0,0.0,256.3727,155779
0.0,2538,430,2020-03-24,39508089.0,-40.035714285714285,-15.875,-23.107142857142858,-32.035714285714285,-44.232142857142854,15.625,2102.0,13452.0,0.0,0.0,40.0,13.0,256.3727,155779
0.0,2998,460,2020-03-25,39508089.0,-40.732142857142854,-16.410714285714285,-17.767857142857142,-32.94642857142857,-44.982142857142854,15.571428571428571,2355.0,15921.0,0.0,0.0,53.0,13.0,256.3727,155779
0.0,3899,901,2020-03-26,39508089.0,-39.357142857142854,-14.732142857142858,-13.267857142857142,-31.178571428571427,-45.214285714285715,15.553571428571429,3006.0,17380.0,0.0,0.0,65.0,12.0,256.3727,155779
0.0,4645,746,2020-03-27,39508089.0,-43.285714285714285,-15.821428571428571,-16.428571428571427,-33.767857142857146,-43.732142857142854,16.071428571428573,3879.0,17380.0,0.0,0.0,78.0,13.0,256.3727,155779
0.0,5095,450,2020-03-28,39499248.0,-49.07272727272727,-20.8,-40.96363636363636,-37.36363636363637,-34.10909090909091,11.0,4643.0,20549.0,0.0,0.0,101.0,23.0,256.3727,155779
0.0,5852,757,2020-03-29,39499248.0,-47.81818181818182,-21.8,-25.563636363636363,-31.454545454545453,-36.763636363636365,8.49090909090909,5708.0,20549.0,0.0,0.0,123.0,22.0,256.3727,155779
0.0,7138,1286,2020-03-30,39508089.0,-38.69642857142857,-17.821428571428573,-15.428571428571429,-33.25,-43.767857142857146,14.196428571428571,6447.0,20549.0,0.0,0.0,133.0,10.0,256.3727,155779
0.0,8210,1072,2020-03-31,39508089.0,-36.82142857142857,-12.910714285714286,-9.5,-30.625,-46.44642857142857,14.803571428571429,7482.0,21772.0,0.0,0.0,153.0,20.0,256.3727,155779
0.0,9398,1188,2020-04-01,39508089.0,-34.92857142857143,-9.25,-11.821428571428571,-30.303571428571427,-45.714285714285715,14.642857142857142,8155.0,21772.0,0.0,0.0,171.0,18.0,256.3727,155779
0.0,10772,1374,2020-04-02,39508089.0,-36.55357142857143,-9.107142857142858,-11.285714285714286,-32.214285714285715,-46.482142857142854,15.339285714285714,9191.0,23809.0,0.0,0.0,203.0,32.0,256.3727,155779
0.0,12003,1231,2020-04-03,39508089.0,-38.625,-9.428571428571429,-16.928571428571427,-33.19642857142857,-45.107142857142854,15.571428571428571,10701.0,24599.0,0.0,0.0,237.0,34.0,256.3727,155779
0.0,12836,833,2020-04-04,39499248.0,-50.236363636363635,-18.363636363636363,-50.43636363636364,-39.4,-36.27272727272727,11.018181818181818,12026.0,101674.0,0.0,0.0,276.0,39.0,256.3727,155779
0.0,15033,2197,2020-04-05,39499248.0,-53.2,-24.01818181818182,-48.74545454545454,-35.92727272727273,-40.472727272727276,9.345454545454546,13438.0,103095.0,0.0,0.0,319.0,43.0,256.3727,155779
0.0,15975,942,2020-04-06,39508089.0,-33.339285714285715,-13.803571428571429,-31.107142857142858,-36.44642857142857,-46.839285714285715,15.696428571428571,14336.0,103095.0,0.0,0.0,343.0,24.0,256.3727,155779
0.0,17308,1333,2020-04-07,39508089.0,-31.803571428571427,-12.678571428571429,-17.678571428571427,-32.607142857142854,-47.25,15.696428571428571,15865.0,115364.0,0.0,0.0,374.0,31.0,256.3727,155779
0.0,18729,1421,2020-04-08,39508089.0,-33.125,-14.214285714285714,-22.589285714285715,-33.107142857142854,-48.160714285714285,16.071428571428573,16957.0,127307.0,0.0,0.0,442.0,68.0,256.3727,155779
0.0,19705,976,2020-04-09,39508089.0,-34.160714285714285,-12.660714285714286,-28.232142857142858,-35.375,-48.857142857142854,16.875,18309.0,145191.0,0.0,0.0,492.0,50.0,256.3727,155779
0.0,21076,1371,2020-04-10,39508089.0,-35.82142857142857,-11.607142857142858,-22.410714285714285,-35.125,-48.714285714285715,17.107142857142858,19472.0,145391.0,0.0,0.0,541.0,49.0,256.3727,155779
0.0,21700,624,2020-04-11,39486963.0,-40.648148148148145,-9.277777777777779,-30.62962962962963,-33.22222222222222,-36.629629629629626,10.703703703703704,19472.0,152604.0,0.0,0.0,609.0,68.0,256.3727,155779
0.0,22785,1085,2020-04-12,39486963.0,-51.55555555555556,-23.88888888888889,-29.833333333333332,-33.2037037037037,-41.2037037037037,8.574074074074074,21794.0,168534.0,0.0,0.0,651.0,42.0,256.3727,155779
0.0,23929,1144,2020-04-13,39508089.0,-32.035714285714285,-15.589285714285714,-17.464285714285715,-31.732142857142858,-44.94642857142857,14.482142857142858,22348.0,168534.0,0.0,0.0,687.0,36.0,256.3727,155779
0.0,25354,1425,2020-04-14,39508089.0,-29.660714285714285,-12.446428571428571,-9.214285714285714,-28.446428571428573,-44.94642857142857,14.678571428571429,23338.0,178870.0,0.0,0.0,758.0,71.0,256.3727,155779
0.0,26684,1330,2020-04-15,39508089.0,-31.821428571428573,-9.107142857142858,-12.910714285714286,-28.910714285714285,-45.285714285714285,14.517857142857142,24424.0,192062.0,0.0,0.0,821.0,63.0,256.3727,155779
0.0,27675,991,2020-04-16,39508089.0,-39.785714285714285,-8.875,-15.982142857142858,-29.464285714285715,-44.964285714285715,15.142857142857142,26182.0,220218.0,0.0,0.0,890.0,69.0,256.3727,155779
0.0,29155,1480,2020-04-17,39508089.0,-47.357142857142854,-11.160714285714286,-25.0,-31.410714285714285,-44.05357142857143,16.035714285714285,27528.0,224086.0,0.0,0.0,985.0,95.0,256.3727,155779
0.0,30489,1334,2020-04-18,39486963.0,-48.03703703703704,-11.333333333333334,-30.98148148148148,-31.185185185185187,-32.24074074074074,10.222222222222221,28963.0,230703.0,0.0,0.0,1072.0,87.0,256.3727,155779
0.0,31429,940,2020-04-19,39486963.0,-46.05555555555556,-12.648148148148149,-16.962962962962962,-28.38888888888889,-34.2037037037037,7.7407407407407405,30333.0,250567.0,0.0,0.0,1166.0,94.0,256.3727,155779
0.0,33685,2256,2020-04-20,39508089.0,-39.82142857142857,-11.625,-21.089285714285715,-30.107142857142858,-43.089285714285715,14.053571428571429,30978.0,259522.0,0.0,0.0,1208.0,42.0,256.3727,155779
0.0,35464,1779,2020-04-21,39508089.0,-38.839285714285715,-8.839285714285714,-9.892857142857142,-28.321428571428573,-43.857142857142854,14.285714285714286,33261.0,266839.0,0.0,0.0,1268.0,60.0,256.3727,155779
0.0,37342,1878,2020-04-22,39508089.0,-39.160714285714285,-8.875,-11.857142857142858,-28.160714285714285,-44.410714285714285,14.446428571428571,35396.0,429931.0,0.0,0.0,1354.0,86.0,256.3727,155779
0.0,39559,2217,2020-04-23,39508089.0,-39.339285714285715,-7.892857142857143,-10.0,-28.339285714285715,-44.67857142857143,14.642857142857142,37369.0,444728.0,0.0,0.0,1469.0,115.0,256.3727,155779
0.0,41353,1794,2020-04-24,39508089.0,-44.160714285714285,-8.482142857142858,-12.321428571428571,-28.857142857142858,-43.160714285714285,15.089285714285714,39254.0,454919.0,0.0,0.0,1562.0,93.0,256.3727,155779
0.0,42366,1013,2020-04-25,39486963.0,-45.74074074074074,-7.648148148148148,-17.72222222222222,-28.37037037037037,-31.14814814814815,9.314814814814815,41137.0,464898.0,0.0,0.0,1651.0,89.0,256.3727,155779
0.0,43556,1190,2020-04-26,39486963.0,-43.5,-8.685185185185185,-6.796296296296297,-25.14814814814815,-33.27777777777778,7.12962962962963,42164.0,483920.0,0.0,0.0,1710.0,59.0,256.3727,155779
0.0,44964,1408,2020-04-27,39508089.0,-36.767857142857146,-7.821428571428571,-10.017857142857142,-27.232142857142858,-41.535714285714285,13.232142857142858,43464.0,509945.0,0.0,0.0,1755.0,45.0,256.3727,155779
0.0,46162,1198,2020-04-28,39508089.0,-36.160714285714285,-6.285714285714286,-5.589285714285714,-25.375,-43.125,7.464285714285714,45031.0,532577.0,0.0,0.0,1809.0,54.0,256.3727,155779
0.0,48745,2583,2020-04-29,39508089.0,-35.625,-7.196428571428571,-11.142857142857142,-27.678571428571427,-43.42857142857143,13.696428571428571,46500.0,556639.0,0.0,0.0,1887.0,78.0,256.3727,155779
0.0,50128,1383,2020-04-30,39508089.0,-33.642857142857146,-4.642857142857143,-7.053571428571429,-25.875,-43.035714285714285,13.553571428571429,48917.0,576420.0,0.0,0.0,1982.0,95.0,256.3727,155779
