People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-11,973764.0,6.666666666666667,5.666666666666667,27.0,0.3333333333333333,1.0,-0.3333333333333333,1.0,17.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,1,0,2020-03-12,973764.0,10.0,17.333333333333332,11.666666666666666,1.3333333333333333,-1.3333333333333333,0.3333333333333333,4.0,23.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,4,3,2020-03-13,973764.0,7.666666666666667,19.333333333333332,40.0,-5.0,-3.6666666666666665,2.0,4.0,30.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,6,2,2020-03-14,973764.0,2.3333333333333335,12.666666666666666,64.0,-0.3333333333333333,-0.3333333333333333,2.0,6.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,6,0,2020-03-15,973764.0,-4.666666666666667,5.666666666666667,38.0,-7.666666666666667,-8.0,3.3333333333333335,6.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,8,2,2020-03-16,973764.0,2.3333333333333335,17.666666666666668,5.0,-8.0,-16.333333333333332,6.0,8.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,16,8,2020-03-17,973764.0,-15.0,6.666666666666667,29.333333333333332,-11.666666666666666,-23.0,9.0,16.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,19,3,2020-03-18,973764.0,-20.666666666666668,2.6666666666666665,41.0,-18.0,-26.333333333333332,10.666666666666666,25.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,30,11,2020-03-19,973764.0,-24.0,1.3333333333333333,21.0,-28.333333333333332,-29.333333333333332,12.666666666666666,30.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,39,9,2020-03-20,973764.0,-23.666666666666668,3.0,64.66666666666667,-27.333333333333332,-31.0,13.0,38.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,45,6,2020-03-21,973764.0,-34.0,-3.3333333333333335,25.333333333333332,-29.666666666666668,-19.666666666666668,10.333333333333334,45.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,56,11,2020-03-22,973764.0,-36.666666666666664,-12.0,0.6666666666666666,-29.0,-28.666666666666668,9.333333333333334,56.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
0.0,68,12,2020-03-23,973764.0,-29.666666666666668,-8.666666666666666,-42.666666666666664,-44.0,-36.0,16.0,68.0,36.0,0.0,0.0,0.0,0.0,504.3073,1949
