People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,0,2020-03-04,21477737.0,8.432835820895523,6.940298507462686,6.791044776119403,2.8507462686567164,1.4776119402985075,-0.1791044776119403,2.0,24.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,3,1,2020-03-05,21469315.0,7.893939393939394,5.787878787878788,1.8636363636363635,3.4696969696969697,0.6212121212121212,0.07575757575757576,9.0,31.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,3,0,2020-03-06,21477737.0,6.582089552238806,3.8656716417910446,6.850746268656716,2.9402985074626864,0.6268656716417911,-0.11940298507462686,9.0,55.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,7,4,2020-03-07,21469315.0,8.363636363636363,4.984848484848484,12.363636363636363,6.712121212121212,1.8333333333333333,-0.36363636363636365,14.0,100.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,10,3,2020-03-08,21460961.0,9.96923076923077,5.230769230769231,7.8,7.369230769230769,0.49230769230769234,0.06153846153846154,17.0,118.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,13,3,2020-03-09,21460961.0,7.584615384615384,6.246153846153846,7.969230769230769,3.3846153846153846,1.2307692307692308,-0.015384615384615385,18.0,140.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,15,2,2020-03-10,21469383.0,8.106060606060606,6.681818181818182,9.984848484848484,4.0,0.9090909090909091,0.10606060606060606,19.0,222.0,0.0,0.0,0.0,0.0,410.1256,53625
0.0,24,9,2020-03-11,21469383.0,8.484848484848484,8.606060606060606,15.212121212121213,4.151515151515151,0.803030303030303,-0.09090909090909091,28.0,301.0,0.0,0.0,2.0,2.0,410.1256,53625
0.0,30,6,2020-03-12,21477737.0,10.074626865671641,14.865671641791044,14.328358208955224,3.4328358208955225,-0.14925373134328357,-0.11940298507462686,32.0,301.0,0.0,0.0,2.0,0.0,410.1256,53625
0.0,45,15,2020-03-13,21477737.0,6.985074626865671,20.01492537313433,12.26865671641791,1.4776119402985075,-4.044776119402985,1.1343283582089552,50.0,478.0,0.0,0.0,2.0,0.0,410.1256,53625
0.0,64,19,2020-03-14,21469315.0,3.621212121212121,19.272727272727273,13.863636363636363,2.606060606060606,0.10606060606060606,0.7878787878787878,77.0,478.0,0.0,0.0,3.0,1.0,410.1256,53625
0.0,100,36,2020-03-15,21460961.0,2.2615384615384615,15.307692307692308,18.923076923076923,0.09230769230769231,-3.8615384615384616,1.1538461538461537,116.0,678.0,0.0,0.0,4.0,1.0,410.1256,53625
0.0,101,1,2020-03-16,21469383.0,0.9696969696969697,17.681818181818183,6.575757575757576,-3.393939393939394,-15.484848484848484,3.409090909090909,141.0,684.0,0.0,0.0,4.0,0.0,410.1256,53625
0.0,190,89,2020-03-17,21477737.0,-4.746268656716418,16.53731343283582,5.985074626865671,-3.791044776119403,-18.28358208955224,4.701492537313433,186.0,940.0,0.0,0.0,6.0,2.0,410.1256,53625
0.0,306,116,2020-03-18,21477737.0,-10.686567164179104,12.432835820895523,6.402985074626866,-7.208955223880597,-21.567164179104477,6.044776119402985,314.0,1225.0,0.0,0.0,7.0,1.0,410.1256,53625
0.0,432,126,2020-03-19,21469383.0,-15.166666666666666,10.833333333333334,2.8181818181818183,-11.272727272727273,-23.681818181818183,7.03030303030303,390.0,1533.0,0.0,0.0,8.0,1.0,410.1256,53625
0.0,564,132,2020-03-20,21477737.0,-21.83582089552239,9.835820895522389,-3.8805970149253732,-15.014925373134329,-25.65671641791045,8.686567164179104,520.0,1870.0,0.0,0.0,10.0,2.0,410.1256,53625
0.0,762,198,2020-03-21,21469315.0,-31.545454545454547,4.4393939393939394,-14.681818181818182,-16.803030303030305,-17.545454545454547,6.015151515151516,658.0,6579.0,158.0,0.0,12.0,2.0,410.1256,53625
0.0,1003,241,2020-03-22,21460961.0,-34.246153846153845,-4.938461538461539,-11.446153846153846,-21.4,-25.246153846153845,5.615384615384615,830.0,7990.0,185.0,0.0,13.0,1.0,410.1256,53625
0.0,1227,224,2020-03-23,21477737.0,-28.850746268656717,-4.656716417910448,-16.62686567164179,-19.70149253731343,-28.492537313432837,8.716417910447761,1171.0,11063.0,217.0,0.0,14.0,1.0,410.1256,53625
0.0,1412,185,2020-03-24,21477737.0,-30.55223880597015,-6.044776119402985,-17.850746268656717,-18.313432835820894,-31.71641791044776,9.955223880597014,1412.0,13127.0,259.0,0.0,18.0,4.0,410.1256,53625
0.0,1682,270,2020-03-25,21477737.0,-30.64179104477612,-7.074626865671642,-16.895522388059703,-19.35820895522388,-33.04477611940298,10.223880597014926,1682.0,15374.0,316.0,0.0,22.0,4.0,410.1256,53625
0.0,2357,675,2020-03-26,21477737.0,-32.1044776119403,-7.985074626865671,-17.08955223880597,-22.55223880597015,-33.865671641791046,10.626865671641792,2355.0,23741.0,406.0,0.0,28.0,6.0,410.1256,53625
0.0,2900,543,2020-03-27,21477737.0,-35.134328358208954,-9.970149253731343,-20.53731343283582,-26.62686567164179,-34.61194029850746,12.17910447761194,2765.0,28186.0,456.0,0.0,34.0,6.0,410.1256,53625
0.0,3763,863,2020-03-28,21469315.0,-38.04545454545455,-12.56060606060606,-25.848484848484848,-29.045454545454547,-26.12121212121212,7.818181818181818,3763.0,35366.0,526.0,0.0,54.0,20.0,410.1256,53625
0.0,4246,483,2020-03-29,21469315.0,-38.015151515151516,-17.106060606060606,-22.136363636363637,-30.0,-31.78787878787879,6.53030303030303,4246.0,39070.0,594.0,0.0,56.0,2.0,410.1256,53625
0.0,5472,1226,2020-03-30,21477737.0,-33.1044776119403,-13.552238805970148,-21.82089552238806,-25.029850746268657,-33.52238805970149,10.298507462686567,5473.0,48225.0,652.0,0.0,63.0,7.0,410.1256,53625
0.0,6739,1267,2020-03-31,21477737.0,-33.3134328358209,-13.194029850746269,-27.46268656716418,-21.746268656716417,-35.73134328358209,11.417910447761194,6338.0,54285.0,823.0,0.0,77.0,14.0,410.1256,53625
0.0,6953,214,2020-04-01,21477737.0,-25.895522388059703,1.2238805970149254,-21.492537313432837,-20.880597014925375,-36.37313432835821,10.791044776119403,6955.0,59529.0,949.0,0.0,87.0,10.0,410.1256,53625
0.0,8999,2046,2020-04-02,21477737.0,-29.82089552238806,-1.7611940298507462,-23.880597014925375,-23.19402985074627,-37.0,11.283582089552239,8010.0,69286.0,1123.0,0.0,128.0,41.0,410.1256,53625
0.0,10258,1259,2020-04-03,21477737.0,-40.71641791044776,-11.955223880597014,-31.507462686567163,-30.104477611940297,-40.02985074626866,13.552238805970148,9585.0,82137.0,1287.0,0.0,163.0,35.0,410.1256,53625
0.0,11536,1278,2020-04-04,21469315.0,-45.22727272727273,-16.045454545454547,-36.90909090909091,-33.42424242424242,-30.454545454545453,9.166666666666666,11111.0,90956.0,1462.0,0.0,191.0,28.0,410.1256,53625
0.0,12346,810,2020-04-05,21469315.0,-49.27272727272727,-24.015151515151516,-42.121212121212125,-36.92424242424242,-36.43939393939394,7.878787878787879,12151.0,101253.0,1572.0,0.0,218.0,27.0,410.1256,53625
0.0,13317,971,2020-04-06,21477737.0,-31.47761194029851,-15.626865671641792,-27.80597014925373,-28.059701492537314,-39.223880597014926,11.611940298507463,13324.0,109950.0,1682.0,0.0,236.0,18.0,410.1256,53625
0.0,14543,1226,2020-04-07,21477737.0,-30.80597014925373,-14.134328358208956,-25.417910447761194,-25.074626865671643,-40.656716417910445,12.223880597014926,14747.0,123415.0,1999.0,0.0,296.0,60.0,410.1256,53625
0.0,15453,910,2020-04-08,21477737.0,-30.53731343283582,-13.716417910447761,-25.671641791044777,-25.62686567164179,-41.208955223880594,12.298507462686567,15455.0,127679.0,2062.0,0.0,309.0,13.0,410.1256,53625
0.0,16362,909,2020-04-09,21477737.0,-30.62686567164179,-12.044776119402986,-26.26865671641791,-26.761194029850746,-41.38805970149254,12.462686567164178,16364.0,136185.0,2268.0,0.0,354.0,45.0,410.1256,53625
0.0,17529,1167,2020-04-10,21477737.0,-33.701492537313435,-11.925373134328359,-29.223880597014926,-31.104477611940297,-45.88059701492537,14.029850746268657,17531.0,145299.0,2487.0,0.0,390.0,36.0,410.1256,53625
0.0,18483,962,2020-04-11,21431619.0,-35.17460317460318,-9.984126984126984,-33.96825396825397,-34.507936507936506,-31.904761904761905,8.984126984126984,18494.0,154439.0,2661.0,0.0,438.0,48.0,410.1256,53625
0.0,19884,1401,2020-04-12,21431619.0,-47.714285714285715,-38.04761904761905,-39.74603174603175,-39.20634920634921,-42.317460317460316,7.888888888888889,19355.0,163398.0,2772.0,0.0,465.0,27.0,410.1256,53625
0.0,21017,1124,2020-04-13,21477737.0,-30.35820895522388,-14.582089552238806,-30.35820895522388,-29.238805970149254,-39.507462686567166,11.432835820895523,20601.0,175606.0,2833.0,0.0,483.0,18.0,410.1256,53625
0.0,21625,608,2020-04-14,21477737.0,-29.402985074626866,-14.17910447761194,-32.19402985074627,-24.671641791044777,-39.55223880597015,12.35820895522388,21367.0,181813.0,3060.0,0.0,537.0,54.0,410.1256,53625
0.0,22506,881,2020-04-15,21477737.0,-25.432835820895523,-11.626865671641792,-32.32835820895522,-24.91044776119403,-39.97014925373134,12.104477611940299,22511.0,190998.0,3344.0,0.0,609.0,72.0,410.1256,53625
0.0,23337,831,2020-04-16,21477737.0,-26.970149253731343,-11.582089552238806,-32.37313432835821,-26.37313432835821,-39.298507462686565,12.432835820895523,22897.0,196351.0,3460.0,0.0,646.0,37.0,410.1256,53625
0.0,24755,1418,2020-04-17,21477737.0,-30.08955223880597,-12.985074626865671,-26.91044776119403,-29.104477611940297,-38.8955223880597,12.880597014925373,24119.0,210718.0,3665.0,0.0,699.0,53.0,410.1256,53625
0.0,25478,734,2020-04-18,21431619.0,-34.61904761904762,-15.746031746031745,-41.111111111111114,-33.333333333333336,-29.634920634920636,9.015873015873016,25269.0,221258.0,3842.0,0.0,754.0,55.0,410.1256,53625
0.0,26299,821,2020-04-19,21431619.0,-31.49206349206349,-14.253968253968255,-28.19047619047619,-34.285714285714285,-33.34920634920635,6.825396825396825,25996.0,230083.0,3930.0,0.0,781.0,27.0,410.1256,53625
0.0,27056,745,2020-04-20,21477737.0,-27.776119402985074,-14.716417910447761,-30.223880597014926,-28.029850746268657,-37.776119402985074,11.26865671641791,26660.0,239565.0,4010.0,0.0,806.0,25.0,410.1256,53625
0.0,27865,809,2020-04-21,21477737.0,-25.34328358208955,-10.925373134328359,-20.761194029850746,-22.64179104477612,-37.47761194029851,11.119402985074627,27495.0,249564.0,4235.0,0.0,856.0,50.0,410.1256,53625
0.0,28309,444,2020-04-22,21477737.0,-25.28358208955224,-10.64179104477612,-18.01492537313433,-22.82089552238806,-38.208955223880594,11.373134328358208,28309.0,260318.0,4469.0,0.0,910.0,54.0,410.1256,53625
0.0,29648,1339,2020-04-23,21477737.0,-28.46268656716418,-12.26865671641791,-29.55223880597015,-24.70149253731343,-38.95522388059702,12.059701492537313,28832.0,267876.0,4693.0,0.0,979.0,69.0,410.1256,53625
0.0,30533,885,2020-04-24,21477737.0,-31.34328358208955,-14.477611940298507,-35.38805970149254,-30.044776119402986,-39.223880597014926,13.671641791044776,30174.0,286785.0,4888.0,0.0,1031.0,52.0,410.1256,53625
0.0,30825,305,2020-04-25,21431619.0,-30.571428571428573,-10.174603174603174,-29.53968253968254,-28.857142857142858,-27.603174603174605,7.9523809523809526,30839.0,302260.0,5045.0,0.0,1075.0,44.0,410.1256,53625
0.0,31518,693,2020-04-26,21431619.0,-29.936507936507937,-12.761904761904763,-23.714285714285715,-31.253968253968253,-32.6031746031746,6.650793650793651,31528.0,313085.0,5155.0,0.0,1094.0,19.0,410.1256,53625
0.0,32137,606,2020-04-27,21477737.0,-23.119402985074625,-9.955223880597014,-17.64179104477612,-24.208955223880597,-34.74626865671642,10.223880597014926,32138.0,324325.0,5211.0,0.0,1101.0,7.0,410.1256,53625
