People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,2,2020-03-14,1737611.0,-1.393939393939394,23.0,-6.909090909090909,0.24242424242424243,-0.9090909090909091,0.5151515151515151,2.0,174.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,3,1,2020-03-15,1677112.0,2.6666666666666665,24.703703703703702,2.888888888888889,2.888888888888889,-7.037037037037037,0.5925925925925926,5.0,174.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,4,0,2020-03-16,1759414.0,5.638888888888889,22.52777777777778,7.333333333333333,0.6666666666666666,0.1388888888888889,0.5555555555555556,5.0,265.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,8,4,2020-03-17,1759414.0,-0.9722222222222222,16.5,8.916666666666666,-0.2777777777777778,-12.11111111111111,2.5555555555555554,7.0,346.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,9,1,2020-03-18,1765539.0,-8.324324324324325,10.324324324324325,8.216216216216216,-0.7567567567567568,-18.2972972972973,3.2972972972972974,9.0,459.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,23,14,2020-03-19,1765539.0,-7.72972972972973,7.945945945945946,7.945945945945946,-1.2972972972972974,-22.54054054054054,3.2972972972972974,11.0,459.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,36,13,2020-03-20,1759414.0,-12.583333333333334,8.944444444444445,11.277777777777779,-3.2222222222222223,-21.916666666666668,3.4166666666666665,23.0,590.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,42,6,2020-03-21,1722625.0,-18.64516129032258,8.258064516129032,13.225806451612904,-2.967741935483871,-14.129032258064516,1.3548387096774193,31.0,880.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,40,0,2020-03-22,1680059.0,-11.88888888888889,5.851851851851852,24.77777777777778,-0.2222222222222222,-22.85185185185185,1.1111111111111112,42.0,1175.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,68,26,2020-03-23,1759414.0,-15.5,0.6111111111111112,5.833333333333333,-2.9722222222222223,-26.444444444444443,3.0555555555555554,47.0,1309.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,81,13,2020-03-24,1759414.0,-18.166666666666668,-0.7222222222222222,4.972222222222222,-2.5555555555555554,-32.05555555555556,4.111111111111111,50.0,1887.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,91,10,2020-03-25,1770070.0,-20.44736842105263,3.1842105263157894,2.0789473684210527,-2.8421052631578947,-33.973684210526315,4.184210526315789,73.0,1887.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,145,54,2020-03-26,1770070.0,-34.39473684210526,-7.605263157894737,3.3684210526315788,-6.2631578947368425,-39.23684210526316,5.131578947368421,123.0,2065.0,0.0,0.0,0.0,0.0,22.0969,82643
0.0,204,59,2020-03-27,1759414.0,-38.888888888888886,-12.277777777777779,-0.1111111111111111,-6.777777777777778,-36.55555555555556,4.277777777777778,189.0,2668.0,0.0,0.0,3.0,3.0,22.0969,82643
0.0,232,28,2020-03-28,1745292.0,-41.294117647058826,-13.470588235294118,-2.5294117647058822,-6.5,-22.794117647058822,2.088235294117647,230.0,3342.0,25.0,0.0,4.0,1.0,22.0969,82643
0.0,277,47,2020-03-29,1710287.0,-27.733333333333334,-14.4,1.3333333333333333,-6.166666666666667,-30.866666666666667,1.8666666666666667,261.0,4021.0,36.0,0.0,5.0,1.0,22.0969,82643
0.0,339,59,2020-03-30,1759414.0,-31.166666666666668,-11.166666666666666,1.5,-5.5,-35.638888888888886,3.8055555555555554,310.0,4396.0,39.0,0.0,6.0,1.0,22.0969,82643
0.0,513,174,2020-03-31,1765539.0,-35.054054054054056,-11.18918918918919,0.7027027027027027,-5.945945945945946,-40.16216216216216,4.594594594594595,415.0,5297.0,45.0,0.0,7.0,1.0,22.0969,82643
0.0,563,50,2020-04-01,1770070.0,-32.10526315789474,-7.315789473684211,2.710526315789474,-4.815789473684211,-40.21052631578947,4.368421052631579,525.0,6076.0,46.0,0.0,9.0,2.0,22.0969,82643
0.0,763,200,2020-04-02,1770070.0,-34.71052631578947,-9.68421052631579,5.157894736842105,-7.605263157894737,-41.473684210526315,4.631578947368421,669.0,6613.0,49.0,0.0,9.0,0.0,22.0969,82643
0.0,886,123,2020-04-03,1765539.0,-34.810810810810814,-7.675675675675675,1.6756756756756757,-6.486486486486487,-36.91891891891892,4.162162162162162,891.0,7054.0,56.0,0.0,9.0,0.0,22.0969,82643
0.0,1010,129,2020-04-04,1760173.0,-39.0,-10.222222222222221,1.3611111111111112,-5.888888888888889,-23.694444444444443,1.9166666666666667,1013.0,7857.0,62.0,0.0,10.0,1.0,22.0969,82643
0.0,1059,52,2020-04-05,1702456.0,-25.137931034482758,-10.517241379310345,2.1724137931034484,-6.620689655172414,-31.79310344827586,1.9310344827586208,1077.0,9184.0,66.0,0.0,10.0,0.0,22.0969,82643
0.0,1096,23,2020-04-06,1759414.0,-9.666666666666666,-1.3055555555555556,6.972222222222222,-5.833333333333333,-36.69444444444444,3.3055555555555554,1101.0,9894.0,77.0,0.0,10.0,0.0,22.0969,82643
0.0,1166,70,2020-04-07,1765539.0,-9.027027027027026,-0.8378378378378378,12.621621621621621,-4.783783783783784,-40.432432432432435,4.081081081081081,1170.0,10076.0,83.0,0.0,13.0,3.0,22.0969,82643
0.0,1206,40,2020-04-08,1770070.0,-8.447368421052632,-0.8947368421052632,12.631578947368421,-4.078947368421052,-40.63157894736842,4.368421052631579,1210.0,10688.0,93.0,0.0,15.0,2.0,22.0969,82643
0.0,1228,22,2020-04-09,1770070.0,-8.789473684210526,-0.39473684210526316,4.894736842105263,-5.052631578947368,-41.05263157894737,3.8684210526315788,1232.0,11299.0,113.0,0.0,18.0,3.0,22.0969,82643
0.0,1349,122,2020-04-10,1752259.0,-12.971428571428572,-0.37142857142857144,15.714285714285714,-5.942857142857143,-39.542857142857144,3.9714285714285715,1353.0,11741.0,127.0,0.0,24.0,6.0,22.0969,82643
0.0,1374,42,2020-04-11,1682861.0,-18.814814814814813,0.6296296296296297,-2.740740740740741,-10.148148148148149,-31.814814814814813,2.4814814814814814,1396.0,12368.0,128.0,0.0,25.0,1.0,22.0969,82643
0.0,1375,11,2020-04-12,1645020.0,-19.833333333333332,-6.541666666666667,9.0,-9.208333333333334,-40.25,2.0833333333333335,1407.0,12901.0,131.0,0.0,27.0,2.0,22.0969,82643
0.0,1422,19,2020-04-13,1759414.0,-9.472222222222221,-2.1944444444444446,7.277777777777778,-5.805555555555555,-34.416666666666664,3.5,1426.0,13455.0,132.0,0.0,27.0,0.0,22.0969,82643
0.0,1460,38,2020-04-14,1770070.0,-8.526315789473685,-1.763157894736842,7.473684210526316,-5.868421052631579,-37.973684210526315,4.526315789473684,1453.0,13661.0,135.0,0.0,33.0,6.0,22.0969,82643
0.0,1469,9,2020-04-15,1770070.0,-6.315789473684211,-0.5,2.973684210526316,-5.947368421052632,-38.578947368421055,4.526315789473684,1464.0,13934.0,141.0,0.0,39.0,6.0,22.0969,82643
0.0,1583,114,2020-04-16,1765539.0,-7.5675675675675675,-0.24324324324324326,6.054054054054054,-5.243243243243243,-37.75675675675676,4.45945945945946,1587.0,14244.0,143.0,0.0,41.0,2.0,22.0969,82643
0.0,1604,22,2020-04-17,1752259.0,-10.514285714285714,-1.542857142857143,13.971428571428572,-5.857142857142857,-34.94285714285714,4.057142857142857,1609.0,14574.0,148.0,390.0,41.0,0.0,22.0969,82643
0.0,1627,45,2020-04-18,1671038.0,-15.576923076923077,-1.0,17.23076923076923,-4.730769230769231,-27.384615384615383,1.9615384615384615,1655.0,14954.0,151.0,453.0,43.0,2.0,22.0969,82643
0.0,1631,12,2020-04-19,1645020.0,-8.166666666666666,-0.7916666666666666,14.958333333333334,-4.166666666666667,-34.291666666666664,1.5416666666666667,1668.0,15201.0,151.0,520.0,44.0,1.0,22.0969,82643
0.0,1668,4,2020-04-20,1759414.0,-5.777777777777778,-0.3055555555555556,7.027777777777778,-2.9722222222222223,-31.805555555555557,2.9444444444444446,1672.0,15773.0,151.0,585.0,45.0,1.0,22.0969,82643
0.0,1730,62,2020-04-21,1759414.0,-6.25,-0.1388888888888889,5.527777777777778,-4.194444444444445,-36.361111111111114,4.138888888888889,1736.0,15924.0,157.0,660.0,48.0,3.0,22.0969,82643
0.0,1760,30,2020-04-22,1770070.0,-6.552631578947368,-0.3684210526315789,5.026315789473684,-4.921052631578948,-36.68421052631579,4.2368421052631575,1766.0,15964.0,158.0,710.0,51.0,3.0,22.0969,82643
0.0,1830,70,2020-04-23,1770070.0,-8.5,-0.8421052631578947,4.868421052631579,-4.921052631578948,-36.68421052631579,4.552631578947368,1802.0,16290.0,162.0,767.0,54.0,3.0,22.0969,82643
0.0,1863,34,2020-04-24,1752259.0,-10.457142857142857,-1.7428571428571429,11.885714285714286,-5.428571428571429,-33.142857142857146,3.9714285714285715,1836.0,17255.0,166.0,822.0,54.0,0.0,22.0969,82643
0.0,1846,16,2020-04-25,1671038.0,-14.5,-0.46153846153846156,15.615384615384615,-3.269230769230769,-25.307692307692307,1.8076923076923077,1870.0,17491.0,168.0,867.0,54.0,0.0,22.0969,82643
0.0,1848,10,2020-04-26,1645020.0,-6.5,0.8333333333333334,25.125,-1.6666666666666667,-33.25,1.2083333333333333,1887.0,17678.0,169.0,938.0,56.0,2.0,22.0969,82643
0.0,1891,0,2020-04-27,1765539.0,-5.783783783783784,-0.16216216216216217,4.675675675675675,-2.810810810810811,-30.243243243243242,3.027027027027027,1897.0,17998.0,169.0,983.0,56.0,0.0,22.0969,82643
0.0,1946,55,2020-04-28,1759414.0,-5.25,0.8055555555555556,3.638888888888889,-2.25,-34.94444444444444,1.3055555555555556,1917.0,18135.0,172.0,1039.0,58.0,2.0,22.0969,82643
0.0,1946,0,2020-04-29,1770070.0,-5.026315789473684,0.2894736842105263,7.2105263157894735,-1.9210526315789473,-35.13157894736842,3.6052631578947367,1952.0,26430.0,173.0,1087.0,60.0,2.0,22.0969,82643
0.0,1978,32,2020-04-30,1765539.0,-5.675675675675675,0.40540540540540543,8.216216216216216,-3.4054054054054053,-35.21621621621622,4.054054054054054,1984.0,26709.0,175.0,1121.0,60.0,0.0,22.0969,82643
