People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,5,5,2020-03-11,4614265.0,13.2,12.566666666666666,6.116666666666666,2.95,1.45,-0.85,6.0,37.0,0.0,0.0,0.0,0.0,107.5175,43204
0.0,19,14,2020-03-12,4604771.0,13.203389830508474,21.47457627118644,4.423728813559322,2.7796610169491527,0.7966101694915254,-0.6101694915254238,14.0,37.0,0.0,0.0,0.0,0.0,107.5175,43204
0.0,29,10,2020-03-13,4622707.0,8.98360655737705,31.37704918032787,1.540983606557377,1.3442622950819672,-0.2459016393442623,-0.19672131147540983,36.0,37.0,0.0,0.0,0.0,0.0,107.5175,43204
0.0,73,44,2020-03-14,4604133.0,3.0508474576271185,24.0,3.3728813559322033,0.5423728813559322,0.1016949152542373,0.4745762711864407,69.0,109.0,0.0,0.0,0.0,0.0,107.5175,43204
0.0,87,14,2020-03-15,4588463.0,3.413793103448276,17.224137931034484,3.5689655172413794,1.4655172413793103,-1.9482758620689655,0.5,91.0,156.0,0.0,0.0,2.0,2.0,107.5175,43204
0.0,115,28,2020-03-16,4614265.0,3.1,23.933333333333334,-0.3333333333333333,-1.2666666666666666,-7.966666666666667,2.0833333333333335,114.0,188.0,0.0,0.0,2.0,0.0,107.5175,43204
0.0,196,81,2020-03-17,4614265.0,-10.183333333333334,18.166666666666668,-1.9833333333333334,-4.516666666666667,-14.833333333333334,3.8,171.0,286.0,0.0,0.0,4.0,2.0,107.5175,43204
0.0,257,61,2020-03-18,4604771.0,-12.288135593220339,14.305084745762711,1.3389830508474576,-4.8474576271186445,-18.35593220338983,4.11864406779661,240.0,335.0,0.0,0.0,6.0,2.0,107.5175,43204
0.0,344,87,2020-03-19,4613213.0,-14.983333333333333,16.733333333333334,0.31666666666666665,-5.683333333333334,-19.716666666666665,4.666666666666667,347.0,458.0,0.0,0.0,8.0,2.0,107.5175,43204
0.0,530,186,2020-03-20,4622707.0,-24.459016393442624,8.245901639344263,-4.032786885245901,-10.180327868852459,-23.229508196721312,5.868852459016393,479.0,568.0,0.0,0.0,12.0,4.0,107.5175,43204
0.0,754,224,2020-03-21,4604133.0,-27.220338983050848,6.491525423728813,-7.813559322033898,-11.40677966101695,-15.525423728813559,2.9661016949152543,585.0,2180.0,0.0,0.0,16.0,4.0,107.5175,43204
0.0,786,33,2020-03-22,4588463.0,-26.017241379310345,4.689655172413793,-2.689655172413793,-12.379310344827585,-19.620689655172413,2.2241379310344827,837.0,2661.0,0.0,0.0,20.0,4.0,107.5175,43204
0.0,1161,374,2020-03-23,4622707.0,-23.950819672131146,0.7377049180327869,-5.049180327868853,-12.163934426229508,-26.639344262295083,5.770491803278689,1172.0,4776.0,0.0,0.0,34.0,14.0,107.5175,43204
0.0,1376,215,2020-03-24,4622707.0,-32.77049180327869,-10.508196721311476,-4.213114754098361,-10.819672131147541,-35.442622950819676,6.983606557377049,1388.0,7215.0,0.0,0.0,46.0,12.0,107.5175,43204
0.0,1784,408,2020-03-25,4622707.0,-28.19672131147541,-7.901639344262295,-1.7377049180327868,-11.98360655737705,-35.60655737704918,6.721311475409836,1795.0,9656.0,0.0,0.0,65.0,19.0,107.5175,43204
0.0,2291,507,2020-03-26,4622707.0,-27.721311475409838,-6.573770491803279,-2.19672131147541,-11.655737704918034,-36.295081967213115,7.0,2305.0,15724.0,0.0,0.0,83.0,18.0,107.5175,43204
0.0,2728,437,2020-03-27,4622707.0,-31.81967213114754,-9.59016393442623,-3.6885245901639343,-15.295081967213115,-35.950819672131146,7.786885245901639,2746.0,18613.0,0.0,0.0,119.0,36.0,107.5175,43204
0.0,3303,575,2020-03-28,4622707.0,-33.49180327868852,-8.967213114754099,-7.934426229508197,-15.032786885245901,-21.24590163934426,3.3934426229508197,3315.0,21846.0,0.0,0.0,137.0,18.0,107.5175,43204
0.0,3524,225,2020-03-29,4588463.0,-30.189655172413794,-11.637931034482758,-1.206896551724138,-16.5,-24.017241379310345,2.5,3540.0,24331.0,0.0,0.0,151.0,14.0,107.5175,43204
0.0,4008,479,2020-03-30,4622707.0,-30.672131147540984,-13.278688524590164,-5.229508196721311,-15.327868852459016,-35.0,6.852459016393443,4025.0,30008.0,0.0,0.0,185.0,34.0,107.5175,43204
0.0,5212,1204,2020-03-31,4622707.0,-28.262295081967213,-5.950819672131147,-4.80327868852459,-14.704918032786885,-38.40983606557377,7.114754098360656,5237.0,33730.0,0.0,0.0,239.0,54.0,107.5175,43204
0.0,6393,1181,2020-04-01,4622707.0,-19.540983606557376,2.8360655737704916,-1.639344262295082,-13.278688524590164,-38.459016393442624,6.721311475409836,6424.0,39352.0,0.0,0.0,273.0,34.0,107.5175,43204
0.0,9108,2715,2020-04-02,4622707.0,-27.81967213114754,-2.377049180327869,-2.7704918032786887,-13.868852459016393,-38.42622950819672,7.409836065573771,9150.0,41936.0,0.0,0.0,310.0,37.0,107.5175,43204
0.0,10254,1146,2020-04-03,4622707.0,-27.983606557377048,0.6065573770491803,-3.4754098360655736,-17.18032786885246,-37.65573770491803,6.983606557377049,10297.0,43348.0,0.0,0.0,370.0,60.0,107.5175,43204
0.0,12456,2203,2020-04-04,4612575.0,-37.95,-3.8833333333333333,-10.8,-18.15,-25.05,3.6166666666666667,12496.0,46002.0,0.0,0.0,409.0,39.0,107.5175,43204
0.0,12944,510,2020-04-05,4588463.0,-31.137931034482758,-5.051724137931035,-2.1724137931034484,-18.879310344827587,-25.862068965517242,2.586206896551724,13010.0,47315.0,0.0,0.0,477.0,68.0,107.5175,43204
0.0,14801,1837,2020-04-06,4612789.0,-16.3,-4.1,-4.133333333333334,-16.833333333333332,-36.93333333333333,7.1,14867.0,54299.0,0.0,0.0,512.0,35.0,107.5175,43204
0.0,16228,1416,2020-04-07,4622707.0,-16.75409836065574,-3.0655737704918034,-4.573770491803279,-14.524590163934427,-39.14754098360656,7.360655737704918,16284.0,58371.0,0.0,0.0,582.0,70.0,107.5175,43204
0.0,16972,744,2020-04-08,4622707.0,-15.229508196721312,-2.278688524590164,-2.262295081967213,-15.131147540983607,-39.540983606557376,6.967213114754099,17030.0,64376.0,0.0,0.0,652.0,70.0,107.5175,43204
0.0,18222,1250,2020-04-09,4622707.0,-15.131147540983607,0.4426229508196721,-2.4754098360655736,-14.770491803278688,-39.9344262295082,7.180327868852459,18283.0,68636.0,0.0,0.0,702.0,50.0,107.5175,43204
0.0,19189,967,2020-04-10,4622707.0,-22.229508196721312,-1.9344262295081966,-3.360655737704918,-21.0327868852459,-53.540983606557376,6.475409836065574,19253.0,73027.0,0.0,0.0,755.0,53.0,107.5175,43204
0.0,19682,740,2020-04-11,4473656.0,-23.93877551020408,2.0,-9.16326530612245,-24.163265306122447,-30.897959183673468,4.0,20014.0,76901.0,0.0,0.0,806.0,51.0,107.5175,43204
0.0,20205,563,2020-04-12,4451926.0,-32.083333333333336,-22.604166666666668,-17.875,-27.520833333333332,-39.0625,3.2916666666666665,20595.0,83450.0,0.0,0.0,840.0,34.0,107.5175,43204
0.0,20906,417,2020-04-13,4603295.0,-15.474576271186441,-5.610169491525424,-3.9661016949152543,-15.05084745762712,-37.220338983050844,6.779661016949152,21016.0,87075.0,0.0,0.0,884.0,44.0,107.5175,43204
0.0,21447,502,2020-04-14,4622707.0,-14.131147540983607,-3.80327868852459,-3.540983606557377,-13.21311475409836,-37.049180327868854,6.918032786885246,21518.0,96904.0,0.0,0.0,1013.0,129.0,107.5175,43204
0.0,21880,433,2020-04-15,4622707.0,-8.754098360655737,-0.5081967213114754,-1.6065573770491803,-12.80327868852459,-36.08196721311475,6.360655737704918,21951.0,99977.0,0.0,0.0,1103.0,90.0,107.5175,43204
0.0,22461,581,2020-04-16,4622707.0,-11.344262295081966,-0.9672131147540983,-1.540983606557377,-12.868852459016393,-36.114754098360656,6.688524590163935,22532.0,104054.0,0.0,0.0,1156.0,53.0,107.5175,43204
0.0,23024,586,2020-04-17,4613213.0,-17.166666666666668,-3.8333333333333335,-2.6,-16.166666666666668,-35.983333333333334,7.233333333333333,23118.0,108869.0,0.0,0.0,1213.0,57.0,107.5175,43204
0.0,23117,440,2020-04-18,4473656.0,-22.551020408163264,-4.285714285714286,-12.040816326530612,-19.285714285714285,-25.653061224489797,3.816326530612245,23580.0,114419.0,0.0,0.0,1267.0,54.0,107.5175,43204
0.0,23385,332,2020-04-19,4451926.0,-18.833333333333332,-7.375,-10.625,-23.229166666666668,-31.125,3.2291666666666665,23928.0,117576.0,0.0,0.0,1296.0,29.0,107.5175,43204
0.0,24433,593,2020-04-20,4612789.0,-11.683333333333334,-3.5166666666666666,-2.1333333333333333,-12.983333333333333,-33.166666666666664,6.25,24523.0,117576.0,0.0,0.0,1328.0,32.0,107.5175,43204
0.0,24779,331,2020-04-21,4622707.0,-10.19672131147541,-0.9836065573770492,-1.4426229508196722,-11.59016393442623,-33.9344262295082,6.163934426229508,24854.0,117576.0,0.0,0.0,1405.0,77.0,107.5175,43204
0.0,25177,398,2020-04-22,4622707.0,-11.704918032786885,-2.2950819672131146,-2.278688524590164,-12.114754098360656,-35.91803278688525,6.475409836065574,25258.0,117576.0,0.0,0.0,1473.0,68.0,107.5175,43204
0.0,25656,479,2020-04-23,4622707.0,-12.39344262295082,-1.7377049180327868,-4.213114754098361,-12.737704918032787,-35.16393442622951,6.967213114754099,25739.0,117576.0,0.0,0.0,1540.0,67.0,107.5175,43204
0.0,26028,396,2020-04-24,4613213.0,-14.966666666666667,-2.033333333333333,-0.7666666666666667,-14.7,-34.43333333333333,7.033333333333333,26140.0,117576.0,0.0,14927.0,1601.0,61.0,107.5175,43204
0.0,25955,353,2020-04-25,4473656.0,-17.612244897959183,-0.1836734693877551,-2.5510204081632653,-15.755102040816327,-23.26530612244898,3.3469387755102042,26512.0,112490.0,0.0,14927.0,1644.0,43.0,107.5175,43204
0.0,26000,247,2020-04-26,4431911.0,-12.53191489361702,-0.5531914893617021,1.148936170212766,-16.80851063829787,-27.148936170212767,2.3617021276595747,26773.0,116263.0,0.0,14927.0,1670.0,26.0,107.5175,43204
0.0,26934,293,2020-04-27,4603295.0,-9.76271186440678,-2.016949152542373,-1.1355932203389831,-11.05084745762712,-30.915254237288135,5.9491525423728815,27068.0,119921.0,0.0,17303.0,1670.0,0.0,107.5175,43204
0.0,27195,219,2020-04-28,4622707.0,-11.59016393442623,-2.6885245901639343,-4.262295081967213,-11.278688524590164,-34.08196721311475,4.032786885245901,27286.0,123822.0,0.0,17303.0,1801.0,131.0,107.5175,43204
0.0,27568,373,2020-04-29,4622707.0,-9.180327868852459,-0.4262295081967213,-3.819672131147541,-12.311475409836065,-35.67213114754098,6.688524590163935,27660.0,128908.0,0.0,17303.0,1845.0,44.0,107.5175,43204
