People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,4,4,2020-03-14,971051.0,-16.321428571428573,4.0,-8.75,-2.107142857142857,-3.0,0.9285714285714286,5.0,103.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,6,2,2020-03-15,916142.0,-12.545454545454545,7.681818181818182,-7.2727272727272725,0.3181818181818182,-3.0,0.7272727272727273,7.0,103.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,6,0,2020-03-16,993276.0,-5.166666666666667,14.933333333333334,0.4,-0.8,-17.033333333333335,1.2333333333333334,7.0,198.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,8,2,2020-03-17,1000166.0,-12.903225806451612,8.419354838709678,4.354838709677419,-0.41935483870967744,-21.032258064516128,1.967741935483871,8.0,303.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,10,2,2020-03-18,1006313.0,-21.21875,2.5625,1.1875,-2.75,-24.875,2.4375,10.0,499.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,10,0,2020-03-19,1000166.0,-22.806451612903224,2.3548387096774195,-0.7096774193548387,-3.6774193548387095,-26.548387096774192,2.935483870967742,12.0,761.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,19,9,2020-03-20,1003584.0,-29.875,3.8125,3.15625,-4.03125,-25.84375,3.1875,16.0,931.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,25,7,2020-03-21,966654.0,-39.925925925925924,2.6296296296296298,8.962962962962964,-4.333333333333333,-14.518518518518519,1.4444444444444444,20.0,1146.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,32,7,2020-03-22,937577.0,-32.84,-4.48,9.8,-6.68,-14.56,1.36,31.0,1146.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,33,0,2020-03-23,993276.0,-25.866666666666667,-1.4,3.8333333333333335,-6.766666666666667,-28.9,3.066666666666667,34.0,1146.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,45,12,2020-03-24,1004563.0,-27.25,-2.90625,-1.21875,-5.09375,-32.53125,3.46875,46.0,1643.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,65,20,2020-03-25,1006313.0,-30.09375,-4.3125,-0.28125,-6.1875,-33.15625,3.625,53.0,1948.0,0.0,0.0,0.0,0.0,7.4668,145546
0.0,88,23,2020-03-26,1000166.0,-31.64516129032258,1.6129032258064515,1.7096774193548387,-6.806451612903226,-33.61290322580645,3.6774193548387095,71.0,2128.0,1.0,0.0,0.0,0.0,7.4668,145546
0.0,106,18,2020-03-27,996903.0,-36.67741935483871,2.5161290322580645,-0.5161290322580645,-7.32258064516129,-32.16129032258065,4.0,108.0,2590.0,7.0,0.0,0.0,0.0,7.4668,145546
0.0,121,16,2020-03-28,969834.0,-48.392857142857146,-20.071428571428573,-0.03571428571428571,-10.357142857142858,-19.928571428571427,2.392857142857143,129.0,3256.0,7.0,0.0,1.0,1.0,7.4668,145546
0.0,145,25,2020-03-29,958830.0,-40.2962962962963,-19.037037037037038,6.333333333333333,-8.37037037037037,-18.962962962962962,1.5185185185185186,154.0,4143.0,8.0,0.0,1.0,0.0,7.4668,145546
0.0,164,16,2020-03-30,993485.0,-32.8,-10.8,1.9333333333333333,-9.3,-36.766666666666666,3.9,171.0,4143.0,10.0,0.0,4.0,3.0,7.4668,145546
0.0,189,25,2020-03-31,1000166.0,-31.516129032258064,-10.096774193548388,-2.967741935483871,-8.67741935483871,-38.774193548387096,4.451612903225806,184.0,4234.0,14.0,0.0,4.0,0.0,7.4668,145546
0.0,198,9,2020-04-01,1006313.0,-37.125,-9.40625,-5.875,-9.15625,-40.5,4.625,208.0,4710.0,17.0,0.0,5.0,1.0,7.4668,145546
0.0,232,34,2020-04-02,1006313.0,-36.875,-6.4375,-3.375,-9.875,-40.3125,4.65625,227.0,5093.0,20.0,0.0,5.0,0.0,7.4668,145546
0.0,234,2,2020-04-03,1003584.0,-40.84375,-6.34375,-1.46875,-9.59375,-36.625,4.375,243.0,5333.0,24.0,0.0,5.0,0.0,7.4668,145546
0.0,249,16,2020-04-04,971051.0,-45.892857142857146,-10.035714285714286,3.107142857142857,-8.25,-19.75,2.1785714285714284,265.0,5912.0,24.0,0.0,5.0,0.0,7.4668,145546
0.0,265,18,2020-04-05,951434.0,-35.88461538461539,-13.23076923076923,5.923076923076923,-9.76923076923077,-19.53846153846154,1.5384615384615385,286.0,6317.0,24.0,0.0,6.0,1.0,7.4668,145546
0.0,280,12,2020-04-06,993276.0,-8.9,-3.466666666666667,2.2,-9.833333333333334,-38.1,3.8666666666666667,299.0,6491.0,24.0,0.0,6.0,0.0,7.4668,145546
0.0,301,21,2020-04-07,1010710.0,-7.909090909090909,-3.0303030303030303,4.363636363636363,-7.787878787878788,-38.63636363636363,3.8181818181818183,319.0,6666.0,28.0,0.0,6.0,0.0,7.4668,145546
0.0,312,11,2020-04-08,1006313.0,-7.9375,-2.59375,6.6875,-8.15625,-38.90625,3.8125,332.0,7066.0,31.0,135.0,6.0,0.0,7.4668,145546
0.0,333,21,2020-04-09,1006313.0,-7.625,-1.8125,9.1875,-8.3125,-39.375,3.65625,354.0,7506.0,36.0,157.0,6.0,0.0,7.4668,145546
0.0,344,11,2020-04-10,1000166.0,-9.774193548387096,-0.8709677419354839,4.903225806451613,-8.548387096774194,-42.87096774193548,3.903225806451613,365.0,7932.0,41.0,165.0,6.0,0.0,7.4668,145546
0.0,337,8,2020-04-11,876678.0,-20.944444444444443,-5.944444444444445,-21.22222222222222,-16.333333333333332,-35.5,4.222222222222222,377.0,8204.0,46.0,169.0,6.0,0.0,7.4668,145546
0.0,328,5,2020-04-12,857353.0,-28.875,-15.375,-5.4375,-25.625,-36.8125,1.25,387.0,8526.0,47.0,169.0,6.0,0.0,7.4668,145546
0.0,364,6,2020-04-13,1000166.0,-8.580645161290322,-3.967741935483871,-1.064516129032258,-8.935483870967742,-38.0,3.903225806451613,394.0,8704.0,47.0,171.0,7.0,1.0,7.4668,145546
0.0,369,5,2020-04-14,1004563.0,-8.1875,-3.40625,0.0,-8.28125,-36.90625,4.09375,399.0,8835.0,50.0,197.0,7.0,0.0,7.4668,145546
0.0,373,4,2020-04-15,1010710.0,-7.303030303030303,-2.6666666666666665,-3.0303030303030303,-8.06060606060606,-36.333333333333336,4.090909090909091,404.0,9179.0,51.0,209.0,7.0,0.0,7.4668,145546
0.0,382,9,2020-04-16,1006313.0,-7.625,-1.46875,2.1875,-7.28125,-36.375,3.84375,415.0,9521.0,52.0,218.0,7.0,0.0,7.4668,145546
0.0,386,4,2020-04-17,986595.0,-9.96551724137931,-0.6896551724137931,4.448275862068965,-7.275862068965517,-35.44827586206897,4.379310344827586,422.0,9822.0,54.0,233.0,8.0,1.0,7.4668,145546
0.0,362,4,2020-04-18,868078.0,-17.235294117647058,-3.8823529411764706,3.176470588235294,-11.823529411764707,-28.470588235294116,3.2941176470588234,426.0,10143.0,55.0,234.0,10.0,2.0,7.4668,145546
0.0,362,6,2020-04-19,845951.0,-16.466666666666665,-4.266666666666667,11.8,-17.2,-29.2,2.533333333333333,433.0,10465.0,55.0,243.0,10.0,0.0,7.4668,145546
0.0,396,0,2020-04-20,993276.0,-7.0,-1.0,8.833333333333334,-6.833333333333333,-33.13333333333333,3.2,433.0,10618.0,57.0,243.0,10.0,0.0,7.4668,145546
0.0,400,4,2020-04-21,1004563.0,-6.65625,-0.15625,10.875,-5.65625,-35.0,3.28125,437.0,10804.0,59.0,273.0,12.0,2.0,7.4668,145546
0.0,402,2,2020-04-22,1006313.0,-7.03125,-0.59375,4.625,-6.65625,-34.4375,3.5,439.0,11144.0,59.0,296.0,14.0,2.0,7.4668,145546
0.0,405,3,2020-04-23,1006313.0,-7.8125,-0.625,0.09375,-7.21875,-34.8125,4.0,442.0,11433.0,59.0,306.0,14.0,0.0,7.4668,145546
0.0,406,1,2020-04-24,986595.0,-9.172413793103448,0.13793103448275862,3.586206896551724,-5.655172413793103,-33.62068965517241,4.137931034482759,444.0,11683.0,59.0,325.0,14.0,0.0,7.4668,145546
0.0,378,1,2020-04-25,868078.0,-15.647058823529411,-0.6470588235294118,10.117647058823529,-10.176470588235293,-26.647058823529413,2.3529411764705883,445.0,12052.0,61.0,339.0,14.0,0.0,7.4668,145546
0.0,369,1,2020-04-26,825506.0,-15.153846153846153,0.5384615384615384,28.53846153846154,-15.076923076923077,-27.692307692307693,2.076923076923077,448.0,12414.0,61.0,339.0,14.0,0.0,7.4668,145546
0.0,411,1,2020-04-27,986595.0,-6.103448275862069,0.1724137931034483,2.1379310344827585,-6.689655172413793,-30.17241379310345,3.2758620689655173,449.0,12584.0,61.0,352.0,14.0,0.0,7.4668,145546
0.0,413,2,2020-04-28,1006313.0,-4.90625,1.3125,7.96875,-5.0,-31.5625,0.875,451.0,12740.0,61.0,356.0,15.0,1.0,7.4668,145546
0.0,413,0,2020-04-29,1006313.0,-4.625,1.1875,10.125,-4.65625,-31.03125,2.6875,451.0,13077.0,61.0,382.0,16.0,1.0,7.4668,145546
0.0,415,2,2020-04-30,1006313.0,-4.90625,1.09375,4.4375,-5.625,-32.09375,3.21875,453.0,13461.0,61.0,392.0,16.0,0.0,7.4668,145546
