People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,0,2020-03-04,1359711.0,6.3,1.2,-3.9,2.5,2.1,0.5,2.0,10.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,2,0,2020-03-05,1359711.0,8.9,8.2,11.4,2.8,4.2,-0.7,2.0,16.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,2,0,2020-03-06,1359711.0,1.7,-1.3,-1.6,1.4,2.6,1.0,2.0,20.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,2,0,2020-03-07,1359711.0,9.4,3.2,10.8,-0.2,4.2,-0.6,2.0,20.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,4,2,2020-03-08,1359711.0,11.6,8.1,31.1,3.4,3.1,-0.5,4.0,38.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,4,0,2020-03-09,1359711.0,10.1,7.2,45.2,2.3,2.0,-0.6,4.0,38.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,4,0,2020-03-10,1359711.0,7.3,4.6,11.6,-0.1,-0.7,0.4,4.0,38.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,5,1,2020-03-11,1359711.0,6.3,6.0,4.1,0.6,1.2,0.6,4.0,38.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,6,1,2020-03-12,1359711.0,7.8,26.8,5.0,-0.2,1.2,1.0,6.0,94.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,6,0,2020-03-13,1359711.0,-1.6,24.0,-19.1,-5.4,-2.6,4.0,6.0,94.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,7,1,2020-03-14,1359711.0,-1.1,21.9,22.0,-2.7,0.0,1.6,7.0,212.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,7,0,2020-03-15,1359711.0,-2.3,22.0,18.4,-3.7,-3.0,1.4,13.0,271.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,17,10,2020-03-16,1359711.0,1.2,31.1,10.1,-5.5,-13.2,5.9,13.0,271.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,26,9,2020-03-17,1359711.0,-20.4,16.9,-7.4,-8.8,-21.8,10.9,17.0,355.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,37,11,2020-03-18,1359711.0,-20.6,15.6,25.2,-7.7,-25.6,11.7,26.0,513.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,37,0,2020-03-19,1359711.0,-30.9,7.8,-14.1,-15.5,-28.4,15.2,39.0,621.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,48,11,2020-03-20,1359711.0,-32.7,8.3,0.2,-16.0,-31.7,15.4,44.0,745.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,61,13,2020-03-21,1359711.0,-36.9,-0.9,27.9,-11.8,-23.4,6.4,55.0,973.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,73,12,2020-03-22,1359711.0,-39.2,-8.4,20.1,-14.7,-27.6,3.7,65.0,1188.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,78,5,2020-03-23,1359711.0,-36.0,-7.5,-10.0,-19.3,-35.8,14.7,78.0,1374.0,0.0,0.0,0.0,0.0,153.1605,8953
0.0,101,23,2020-03-24,1359711.0,-40.2,-16.2,-2.9,-18.6,-41.6,17.5,101.0,1447.0,11.0,0.0,1.0,1.0,153.1605,8953
0.0,108,7,2020-03-25,1359711.0,-35.2,-7.0,-5.0,-18.6,-39.3,16.9,108.0,2356.0,13.0,0.0,1.0,0.0,153.1605,8953
0.0,137,29,2020-03-26,1359711.0,-31.2,0.6,26.0,-19.0,-39.0,16.2,137.0,3001.0,19.0,0.0,1.0,0.0,153.1605,8953
0.0,154,17,2020-03-27,1359711.0,-35.7,-6.7,16.5,-21.4,-39.7,17.5,158.0,3395.0,25.0,0.0,1.0,0.0,153.1605,8953
0.0,187,33,2020-03-28,1359711.0,-48.6,-20.9,17.7,-19.4,-33.2,5.4,187.0,3656.0,30.0,0.0,2.0,1.0,153.1605,8953
0.0,214,27,2020-03-29,1359711.0,-56.1,-31.6,-53.4,-23.8,-38.1,5.4,214.0,4524.0,33.0,0.0,2.0,0.0,153.1605,8953
0.0,258,44,2020-03-30,1359711.0,-40.3,-18.5,-13.9,-24.2,-42.8,16.9,314.0,5386.0,45.0,0.0,3.0,1.0,153.1605,8953
0.0,357,99,2020-03-31,1359711.0,-36.1,-12.6,9.2,-20.8,-44.0,17.0,314.0,5413.0,45.0,0.0,3.0,0.0,153.1605,8953
0.0,367,10,2020-04-01,1359711.0,-35.7,-10.5,0.5,-21.4,-44.2,17.7,415.0,5985.0,56.0,56.0,4.0,1.0,153.1605,8953
0.0,479,112,2020-04-02,1359711.0,-41.9,-13.9,-23.8,-25.0,-44.3,19.4,415.0,6078.0,58.0,91.0,4.0,0.0,153.1605,8953
0.0,479,0,2020-04-03,1359711.0,-44.5,-15.0,-32.0,-27.0,-45.1,21.4,479.0,6575.0,73.0,101.0,5.0,1.0,153.1605,8953
0.0,540,61,2020-04-04,1359711.0,-46.5,-18.2,10.2,-18.6,-35.3,5.4,540.0,6965.0,80.0,144.0,7.0,2.0,153.1605,8953
0.0,617,77,2020-04-05,1359711.0,-46.1,-16.9,10.0,-19.8,-36.9,4.5,621.0,7411.0,86.0,146.0,9.0,2.0,153.1605,8953
0.0,714,97,2020-04-06,1359711.0,-31.0,-10.3,28.2,-22.0,-44.1,15.6,669.0,7701.0,92.0,147.0,9.0,0.0,153.1605,8953
0.0,714,0,2020-04-07,1359711.0,-31.9,-10.2,21.8,-20.5,-46.1,17.2,715.0,8019.0,103.0,151.0,9.0,0.0,153.1605,8953
0.0,746,32,2020-04-08,1359711.0,-34.4,-10.9,1.8,-22.9,-45.9,17.9,788.0,8389.0,118.0,211.0,18.0,9.0,153.1605,8953
0.0,787,41,2020-04-09,1359711.0,-39.8,-13.8,-23.7,-26.9,-47.0,20.4,788.0,8763.0,118.0,227.0,18.0,0.0,153.1605,8953
0.0,787,0,2020-04-10,1359711.0,-42.7,-11.4,-19.6,-26.9,-48.9,21.7,819.0,9139.0,124.0,234.0,21.0,3.0,153.1605,8953
0.0,885,98,2020-04-11,1359711.0,-40.0,-4.9,2.2,-18.7,-36.5,5.4,885.0,9608.0,134.0,234.0,22.0,1.0,153.1605,8953
0.0,928,43,2020-04-12,1359711.0,-57.2,-50.1,15.0,-20.3,-44.9,4.7,929.0,9996.0,146.0,236.0,23.0,1.0,153.1605,8953
0.0,984,56,2020-04-13,1359711.0,-39.0,-20.1,-21.8,-21.5,-46.0,19.1,985.0,10222.0,152.0,239.0,23.0,0.0,153.1605,8953
0.0,921,-63,2020-04-14,1359711.0,-28.4,-12.0,17.8,-17.4,-44.5,16.9,1020.0,10590.0,152.0,249.0,23.0,0.0,153.1605,8953
0.0,1139,218,2020-04-15,1359711.0,-23.8,-8.8,8.4,-18.1,-43.8,17.2,1139.0,11027.0,178.0,365.0,32.0,9.0,153.1605,8953
0.0,1139,0,2020-04-16,1359711.0,-28.4,-10.0,3.9,-18.9,-43.5,18.1,1139.0,11027.0,178.0,365.0,32.0,0.0,153.1605,8953
0.0,1285,146,2020-04-17,1359711.0,-37.4,-16.6,-3.5,-21.7,-44.0,19.4,1287.0,11421.0,190.0,455.0,37.0,5.0,153.1605,8953
0.0,1342,57,2020-04-18,1359711.0,-44.0,-21.8,-21.8,-16.8,-34.9,6.2,1287.0,11565.0,190.0,468.0,37.0,0.0,153.1605,8953
0.0,1390,48,2020-04-19,1359711.0,-29.5,-16.0,42.8,-13.5,-32.8,3.5,1342.0,12082.0,192.0,513.0,38.0,1.0,153.1605,8953
0.0,1443,53,2020-04-20,1359711.0,-25.4,-13.4,16.9,-18.5,-43.2,15.5,1392.0,12726.0,198.0,521.0,41.0,3.0,153.1605,8953
0.0,1476,33,2020-04-21,1359711.0,-30.1,-13.0,-4.5,-18.9,-44.0,17.9,1491.0,12848.0,206.0,521.0,42.0,1.0,153.1605,8953
0.0,1571,95,2020-04-22,1359711.0,-28.7,-12.1,-6.4,-19.2,-44.1,18.1,1491.0,13550.0,206.0,546.0,42.0,0.0,153.1605,8953
0.0,1659,88,2020-04-23,1359711.0,-25.2,-7.6,25.9,-17.0,-42.7,16.6,1588.0,14424.0,213.0,550.0,48.0,6.0,153.1605,8953
0.0,1717,58,2020-04-24,1359711.0,-35.9,-17.0,-7.3,-21.2,-43.2,19.3,1670.0,15139.0,218.0,551.0,51.0,3.0,153.1605,8953
0.0,1788,71,2020-04-25,1359711.0,-31.7,-11.3,55.2,-13.6,-32.1,5.1,1720.0,16007.0,224.0,578.0,53.0,2.0,153.1605,8953
0.0,1859,71,2020-04-26,1359711.0,-33.3,-17.2,-8.8,-16.2,-34.4,4.4,1787.0,16964.0,238.0,777.0,60.0,7.0,153.1605,8953
