People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-11,1864154.0,14.222222222222221,18.444444444444443,8.148148148148149,7.666666666666667,-1.5185185185185186,-0.2962962962962963,3.0,87.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,5,2,2020-03-12,1864154.0,14.481481481481481,32.407407407407405,9.0,7.851851851851852,-2.8518518518518516,0.0,5.0,155.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,10,5,2020-03-13,1864154.0,3.2222222222222223,32.333333333333336,-2.0,5.851851851851852,-5.962962962962963,1.2962962962962963,10.0,190.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,13,3,2020-03-14,1864154.0,1.6296296296296295,21.814814814814813,5.962962962962963,8.296296296296296,-1.5555555555555556,0.7777777777777778,10.0,237.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,13,0,2020-03-15,1864154.0,0.5555555555555556,15.074074074074074,1.1111111111111112,4.851851851851852,-3.6296296296296298,0.9259259259259259,13.0,482.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,21,8,2020-03-16,1864154.0,2.037037037037037,23.25925925925926,12.37037037037037,4.592592592592593,-16.37037037037037,2.2222222222222223,17.0,566.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,23,2,2020-03-17,1864154.0,-3.925925925925926,21.85185185185185,5.148148148148148,3.925925925925926,-21.51851851851852,3.4814814814814814,23.0,1249.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,28,5,2020-03-18,1864154.0,-9.962962962962964,18.037037037037038,-1.1851851851851851,3.2222222222222223,-24.77777777777778,4.37037037037037,28.0,2326.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,35,7,2020-03-19,1864154.0,-20.62962962962963,17.37037037037037,0.18518518518518517,1.4814814814814814,-28.444444444444443,5.444444444444445,35.0,2762.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,42,7,2020-03-20,1868213.0,-25.321428571428573,13.535714285714286,-1.2142857142857142,-1.25,-25.535714285714285,5.285714285714286,43.0,3771.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,55,13,2020-03-21,1868213.0,-30.428571428571427,3.6785714285714284,-11.321428571428571,-2.25,-18.892857142857142,3.75,57.0,3771.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,55,0,2020-03-22,1868213.0,-29.142857142857142,-0.2857142857142857,-3.107142857142857,-5.428571428571429,-20.214285714285715,1.7857142857142858,57.0,4722.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,73,18,2020-03-23,1868213.0,-22.142857142857142,12.928571428571429,-0.9642857142857143,-8.178571428571429,-28.357142857142858,4.964285714285714,65.0,5321.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,87,14,2020-03-24,1864154.0,-31.814814814814813,-3.2962962962962963,-0.8148148148148148,-8.703703703703704,-36.81481481481482,6.37037037037037,83.0,5890.0,0.0,0.0,0.0,0.0,17.285,121298
0.0,100,13,2020-03-25,1868213.0,-35.25,-8.392857142857142,-4.607142857142857,-11.0,-36.785714285714285,6.535714285714286,100.0,6742.0,0.0,0.0,1.0,1.0,17.285,121298
0.0,100,0,2020-03-26,1868213.0,-37.92857142857143,-10.107142857142858,-5.821428571428571,-13.392857142857142,-38.5,7.0,112.0,7681.0,0.0,0.0,1.0,0.0,17.285,121298
0.0,120,20,2020-03-27,1868213.0,-41.42857142857143,-11.571428571428571,-13.321428571428571,-19.071428571428573,-35.67857142857143,7.214285714285714,136.0,8377.0,0.0,0.0,1.0,0.0,17.285,121298
0.0,191,71,2020-03-28,1868213.0,-39.785714285714285,-15.428571428571429,-17.75,-17.714285714285715,-26.0,3.8214285714285716,191.0,9196.0,0.0,0.0,1.0,0.0,17.285,121298
