People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-07,3883812.0,12.666666666666666,11.571428571428571,6.2063492063492065,6.079365079365079,1.9365079365079365,-0.38095238095238093,1.0,0.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,1,0,2020-03-08,3865817.0,10.704918032786885,6.885245901639344,-0.8360655737704918,5.901639344262295,0.45901639344262296,-0.04918032786885246,1.0,8.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,1,0,2020-03-09,3909607.0,8.303030303030303,5.878787878787879,0.6212121212121212,2.712121212121212,2.515151515151515,0.3484848484848485,1.0,8.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,2,1,2020-03-10,3909607.0,13.196969696969697,10.166666666666666,2.8484848484848486,4.2272727272727275,1.893939393939394,-0.45454545454545453,2.0,15.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,2,0,2020-03-11,3909607.0,15.727272727272727,14.606060606060606,3.515151515151515,4.924242424242424,2.4545454545454546,-1.303030303030303,2.0,15.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,3,1,2020-03-12,3903605.0,18.6,23.4,3.3846153846153846,5.938461538461539,0.3384615384615385,-1.2307692307692308,3.0,36.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,3,0,2020-03-13,3901978.0,5.461538461538462,14.276923076923078,-4.384615384615385,5.446153846153846,-7.769230769230769,1.2615384615384615,3.0,36.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,4,1,2020-03-14,3883812.0,-0.5714285714285714,12.380952380952381,-4.253968253968254,4.5396825396825395,-1.7619047619047619,0.49206349206349204,4.0,36.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,4,0,2020-03-15,3872144.0,2.80327868852459,11.78688524590164,-4.836065573770492,3.7704918032786887,-2.622950819672131,0.3442622950819672,9.0,118.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,10,6,2020-03-16,3909607.0,4.651515151515151,18.803030303030305,-3.9545454545454546,1.7272727272727273,-17.727272727272727,2.742424242424242,10.0,174.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,17,7,2020-03-17,3915319.0,-2.5522388059701493,15.194029850746269,-2.208955223880597,1.7462686567164178,-20.70149253731343,3.611940298507463,17.0,247.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,17,0,2020-03-18,3915319.0,-2.701492537313433,18.597014925373134,1.5223880597014925,2.7611940298507465,-22.71641791044776,3.4029850746268657,29.0,378.0,0.0,0.0,0.0,0.0,57.6547,68595
0.0,44,27,2020-03-19,3909607.0,-11.151515151515152,11.803030303030303,0.3181818181818182,0.7424242424242424,-25.954545454545453,5.0,44.0,466.0,0.0,0.0,1.0,1.0,57.6547,68595
0.0,49,5,2020-03-20,3909607.0,-18.09090909090909,10.015151515151516,-3.272727272727273,-1.7575757575757576,-25.757575757575758,5.46969696969697,49.0,538.0,0.0,0.0,1.0,0.0,57.6547,68595
0.0,53,4,2020-03-21,3883812.0,-21.650793650793652,7.7936507936507935,-2.5714285714285716,-1.7619047619047619,-11.746031746031745,1.4603174603174602,53.0,560.0,10.0,0.0,1.0,0.0,57.6547,68595
0.0,67,14,2020-03-22,3877810.0,-26.048387096774192,-1.9838709677419355,-5.5,-2.935483870967742,-17.370967741935484,0.9032258064516129,67.0,669.0,11.0,0.0,2.0,1.0,57.6547,68595
0.0,81,14,2020-03-23,3909607.0,-21.53030303030303,-0.06060606060606061,-1.6515151515151516,-3.621212121212121,-26.0,5.954545454545454,81.0,694.0,15.0,0.0,2.0,0.0,57.6547,68595
0.0,106,25,2020-03-24,3920814.0,-16.279411764705884,2.1176470588235294,1.7794117647058822,-2.6323529411764706,-28.941176470588236,5.9411764705882355,106.0,735.0,25.0,0.0,3.0,1.0,57.6547,68595
0.0,164,58,2020-03-25,3915319.0,-11.35820895522388,8.044776119402986,3.1940298507462686,-2.373134328358209,-30.208955223880597,5.253731343283582,164.0,805.0,59.0,0.0,5.0,2.0,57.6547,68595
0.0,248,84,2020-03-26,3915102.0,-17.35820895522388,2.7761194029850746,1.7313432835820894,-4.626865671641791,-32.776119402985074,6.059701492537314,248.0,958.0,86.0,0.0,7.0,2.0,57.6547,68595
0.0,322,74,2020-03-27,3915319.0,-24.074626865671643,-3.373134328358209,0.07462686567164178,-7.507462686567164,-32.73134328358209,6.358208955223881,322.0,1084.0,105.0,0.0,8.0,1.0,57.6547,68595
0.0,377,55,2020-03-28,3883812.0,-25.58730158730159,-0.4126984126984127,0.20634920634920634,-7.714285714285714,-17.26984126984127,1.5873015873015872,377.0,1180.0,126.0,0.0,15.0,7.0,57.6547,68595
0.0,429,52,2020-03-29,3877810.0,-23.225806451612904,-4.693548387096774,1.7419354838709677,-8.080645161290322,-22.677419354838708,0.8064516129032258,429.0,1205.0,140.0,0.0,16.0,1.0,57.6547,68595
0.0,481,52,2020-03-30,3909607.0,-28.772727272727273,-13.227272727272727,-5.848484848484849,-9.287878787878787,-33.878787878787875,7.0,481.0,1207.0,153.0,0.0,17.0,1.0,57.6547,68595
0.0,566,85,2020-03-31,3920814.0,-19.41176470588235,-4.147058823529412,0.25,-4.852941176470588,-34.220588235294116,6.367647058823529,565.0,1229.0,177.0,0.0,23.0,6.0,57.6547,68595
0.0,719,153,2020-04-01,3915319.0,-11.432835820895523,9.462686567164178,0.9104477611940298,-3.0597014925373136,-34.67164179104478,5.7164179104477615,719.0,1248.0,219.0,0.0,30.0,7.0,57.6547,68595
0.0,879,160,2020-04-02,3920814.0,-20.470588235294116,3.264705882352941,-0.6617647058823529,-6.147058823529412,-36.14705882352941,6.0588235294117645,879.0,1265.0,257.0,0.0,34.0,4.0,57.6547,68595
0.0,982,105,2020-04-03,3909607.0,-29.12121212121212,-2.303030303030303,-6.681818181818182,-9.909090909090908,-37.10606060606061,7.424242424242424,988.0,1315.0,289.0,383.0,38.0,4.0,57.6547,68595
0.0,1150,170,2020-04-04,3883812.0,-35.77777777777778,-4.777777777777778,-9.571428571428571,-11.746031746031745,-22.238095238095237,1.3968253968253967,1159.0,1362.0,316.0,0.0,42.0,4.0,57.6547,68595
0.0,1224,74,2020-04-05,3877810.0,-29.258064516129032,-2.8548387096774195,-0.3870967741935484,-11.564516129032258,-24.693548387096776,0.9032258064516129,1252.0,1401.0,330.0,0.0,46.0,4.0,57.6547,68595
0.0,1326,75,2020-04-06,3915319.0,-13.238805970149254,-2.0597014925373136,-1.5970149253731343,-8.08955223880597,-35.582089552238806,6.298507462686567,1327.0,1422.0,340.0,522.0,51.0,5.0,57.6547,68595
0.0,1469,143,2020-04-07,3920814.0,-12.191176470588236,-1.25,1.088235294117647,-4.588235294117647,-37.86764705882353,6.205882352941177,1472.0,11821.0,376.0,612.0,67.0,16.0,57.6547,68595
0.0,1521,52,2020-04-08,3920814.0,-9.529411764705882,0.8088235294117647,1.9411764705882353,-3.6911764705882355,-37.88235294117647,5.5588235294117645,1524.0,11821.0,390.0,686.0,79.0,12.0,57.6547,68595
0.0,1681,160,2020-04-09,3920814.0,-11.014705882352942,0.058823529411764705,0.3382352941176471,-5.8088235294117645,-38.35294117647059,5.9411764705882355,1684.0,18595.0,415.0,686.0,80.0,1.0,57.6547,68595
0.0,1791,110,2020-04-10,3915319.0,-13.08955223880597,0.7313432835820896,0.2537313432835821,-8.597014925373134,-42.80597014925373,6.552238805970149,1794.0,20370.0,428.0,790.0,88.0,8.0,57.6547,68595
0.0,1792,71,2020-04-11,3784792.0,-19.79245283018868,0.2641509433962264,-4.547169811320755,-13.264150943396226,-27.39622641509434,1.471698113207547,1868.0,20790.0,446.0,865.0,94.0,6.0,57.6547,68595
0.0,1888,101,2020-04-12,3764541.0,-25.365384615384617,-12.826923076923077,-10.346153846153847,-16.115384615384617,-33.07692307692308,1.1346153846153846,1970.0,20790.0,446.0,865.0,96.0,2.0,57.6547,68595
0.0,2064,98,2020-04-13,3915319.0,-13.119402985074627,-4.731343283582089,-6.298507462686567,-9.417910447761194,-36.17910447761194,6.895522388059701,2069.0,20790.0,457.0,865.0,99.0,3.0,57.6547,68595
0.0,2179,115,2020-04-14,3920814.0,-12.279411764705882,-4.764705882352941,-3.25,-7.132352941176471,-37.220588235294116,6.6911764705882355,2184.0,26085.0,488.0,1060.0,108.0,9.0,57.6547,68595
0.0,2257,78,2020-04-15,3920814.0,-3.176470588235294,2.0294117647058822,1.2794117647058822,-3.911764705882353,-35.529411764705884,5.617647058823529,2263.0,26956.0,510.0,1115.0,123.0,15.0,57.6547,68595
0.0,2351,94,2020-04-16,3920814.0,-5.838235294117647,0.23529411764705882,0.8529411764705882,-4.970588235294118,-35.661764705882355,5.852941176470588,2357.0,28542.0,528.0,1240.0,131.0,8.0,57.6547,68595
0.0,2351,0,2020-04-17,3915319.0,-12.671641791044776,-2.985074626865672,-3.5223880597014925,-7.850746268656716,-35.35820895522388,6.731343283582089,2465.0,31155.0,528.0,1331.0,136.0,5.0,57.6547,68595
0.0,2266,0,2020-04-18,3769027.0,-13.538461538461538,-0.28846153846153844,0.9038461538461539,-8.01923076923077,-22.78846153846154,1.9230769230769231,2570.0,32966.0,541.0,1515.0,139.0,3.0,57.6547,68595
0.0,2462,196,2020-04-19,3755748.0,-11.450980392156863,-5.117647058823529,0.6470588235294118,-9.313725490196079,-27.019607843137255,0.9607843137254902,2599.0,32966.0,541.0,1575.0,140.0,1.0,57.6547,68595
0.0,2673,113,2020-04-20,3915319.0,-5.985074626865671,-1.5522388059701493,0.6417910447761194,-5.268656716417911,-33.865671641791046,5.701492537313433,2680.0,32966.0,541.0,1614.0,143.0,3.0,57.6547,68595
0.0,2799,126,2020-04-21,3920814.0,-6.102941176470588,0.04411764705882353,1.9705882352941178,-3.5588235294117645,-34.94117647058823,5.632352941176471,2807.0,41537.0,561.0,1702.0,164.0,21.0,57.6547,68595
0.0,2886,87,2020-04-22,3920814.0,-9.132352941176471,-2.25,-2.5,-5.867647058823529,-36.76470588235294,6.8088235294117645,2894.0,43019.0,588.0,1772.0,170.0,6.0,57.6547,68595
0.0,3009,123,2020-04-23,3920814.0,-4.617647058823529,2.3823529411764706,0.9852941176470589,-4.367647058823529,-34.48529411764706,5.5588235294117645,3017.0,43019.0,622.0,1884.0,179.0,9.0,57.6547,68595
0.0,3048,102,2020-04-24,3909607.0,-9.090909090909092,0.13636363636363635,-0.16666666666666666,-6.590909090909091,-34.0,6.303030303030303,3121.0,43019.0,637.0,1961.0,188.0,9.0,57.6547,68595
0.0,3065,70,2020-04-25,3769027.0,-8.711538461538462,4.5576923076923075,3.769230769230769,-4.269230769230769,-19.884615384615383,1.5384615384615385,3193.0,49891.0,637.0,2080.0,194.0,6.0,57.6547,68595
0.0,3120,55,2020-04-26,3755748.0,-5.686274509803922,1.8627450980392157,2.784313725490196,-4.764705882352941,-25.215686274509803,0.8235294117647058,3253.0,49891.0,653.0,2139.0,195.0,1.0,57.6547,68595
0.0,3271,27,2020-04-27,3915319.0,-4.432835820895522,0.208955223880597,-0.5522388059701493,-4.7164179104477615,-31.686567164179106,5.746268656716418,3280.0,49891.0,656.0,2167.0,197.0,2.0,57.6547,68595
0.0,3398,127,2020-04-28,3920814.0,-5.411764705882353,0.8676470588235294,-0.4117647058823529,-4.132352941176471,-33.470588235294116,3.588235294117647,3410.0,56289.0,656.0,2260.0,207.0,10.0,57.6547,68595
0.0,3461,63,2020-04-29,3915319.0,-0.6417910447761194,4.731343283582089,1.5522388059701493,-1.2686567164179106,-32.17910447761194,5.208955223880597,3473.0,57794.0,693.0,2319.0,214.0,7.0,57.6547,68595
0.0,3603,142,2020-04-30,3920814.0,-0.5441176470588235,4.5588235294117645,1.25,-2.014705882352941,-32.161764705882355,5.102941176470588,3618.0,59804.0,703.0,2401.0,222.0,8.0,57.6547,68595
