People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,2,2020-03-06,12784229.0,2.234375,-0.53125,-1.125,1.125,1.390625,0.84375,2.0,0.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,2,0,2020-03-07,12784229.0,12.078125,6.125,13.5625,4.734375,2.484375,-0.6875,4.0,0.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,6,4,2020-03-08,12784229.0,19.71875,10.15625,43.328125,6.8125,2.21875,-1.015625,6.0,0.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,7,1,2020-03-09,12784229.0,11.921875,7.828125,33.859375,1.890625,0.875,-0.484375,10.0,0.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,12,5,2020-03-10,12784229.0,8.15625,4.296875,6.25,0.140625,0.15625,0.609375,12.0,0.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,16,4,2020-03-11,12784229.0,9.296875,8.78125,11.484375,0.234375,0.09375,-0.09375,16.0,88.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,22,6,2020-03-12,12784229.0,11.125,20.171875,12.734375,-0.609375,-0.640625,-0.15625,22.0,116.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,41,19,2020-03-13,12784229.0,6.171875,22.1875,14.5,-2.3125,-3.75,2.03125,41.0,140.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,47,6,2020-03-14,12784229.0,-0.140625,18.328125,21.390625,-1.125,-0.171875,1.4375,47.0,205.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,47,0,2020-03-15,12784229.0,1.171875,15.90625,25.265625,-2.71875,-3.625,1.5,63.0,205.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,79,32,2020-03-16,12784229.0,4.390625,27.84375,7.53125,-6.125,-15.25,5.21875,76.0,670.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,112,33,2020-03-17,12790295.0,-22.96923076923077,9.323076923076924,2.4153846153846152,-11.8,-24.123076923076923,9.261538461538462,96.0,879.0,0.0,0.0,0.0,0.0,286.5449,44743
0.0,155,43,2020-03-18,12790295.0,-27.83076923076923,2.8,14.723076923076922,-12.953846153846154,-27.46153846153846,10.138461538461538,133.0,1187.0,0.0,0.0,1.0,1.0,286.5449,44743
0.0,206,51,2020-03-19,12790295.0,-28.384615384615383,5.7846153846153845,0.7384615384615385,-15.36923076923077,-29.723076923076924,11.615384615384615,185.0,1608.0,0.0,0.0,1.0,0.0,286.5449,44743
0.0,311,105,2020-03-20,12790295.0,-35.43076923076923,2.4,9.615384615384615,-17.384615384615383,-34.30769230769231,13.96923076923077,268.0,2574.0,0.0,0.0,1.0,0.0,286.5449,44743
0.0,399,88,2020-03-21,12784229.0,-44.84375,-4.6875,13.375,-16.0,-26.359375,6.703125,371.0,3766.0,0.0,0.0,2.0,1.0,286.5449,44743
0.0,509,110,2020-03-22,12784229.0,-41.546875,-11.609375,15.90625,-18.1875,-27.8125,4.828125,479.0,4964.0,0.0,0.0,2.0,0.0,286.5449,44743
0.0,698,189,2020-03-23,12790295.0,-45.13846153846154,-18.307692307692307,-20.107692307692307,-22.29230769230769,-42.90769230769231,15.476923076923077,644.0,6595.0,0.0,0.0,6.0,4.0,286.5449,44743
0.0,946,248,2020-03-24,12790295.0,-39.03076923076923,-13.046153846153846,9.153846153846153,-18.615384615384617,-44.13846153846154,15.092307692307692,851.0,8643.0,0.0,0.0,7.0,1.0,286.5449,44743
0.0,1260,314,2020-03-25,12790295.0,-43.07692307692308,-17.49230769230769,-8.584615384615384,-20.646153846153847,-44.86153846153846,16.16923076923077,1127.0,11193.0,0.0,0.0,11.0,4.0,286.5449,44743
0.0,1795,535,2020-03-26,12790295.0,-38.0,-12.676923076923076,17.123076923076923,-19.630769230769232,-44.61538461538461,15.153846153846153,1687.0,16441.0,0.0,0.0,16.0,5.0,286.5449,44743
0.0,2345,550,2020-03-27,12790295.0,-40.98461538461538,-16.615384615384617,14.446153846153846,-21.953846153846154,-43.707692307692305,16.384615384615383,2218.0,21016.0,241.0,0.0,22.0,6.0,286.5449,44743
0.0,2844,499,2020-03-28,12784229.0,-53.484375,-26.140625,-23.09375,-23.59375,-32.140625,8.1875,2751.0,25254.0,316.0,0.0,34.0,12.0,286.5449,44743
0.0,3431,587,2020-03-29,12784229.0,-44.609375,-21.015625,0.3125,-22.359375,-31.796875,5.375,3394.0,30061.0,353.0,0.0,38.0,4.0,286.5449,44743
0.0,4154,723,2020-03-30,12790295.0,-39.16923076923077,-18.092307692307692,-0.9538461538461539,-21.646153846153847,-44.10769230769231,14.723076923076922,4087.0,33777.0,386.0,0.0,49.0,11.0,286.5449,44743
0.0,4962,808,2020-03-31,12790295.0,-38.353846153846156,-16.246153846153845,-5.938461538461539,-21.0,-45.90769230769231,15.615384615384615,4843.0,37645.0,514.0,0.0,63.0,14.0,286.5449,44743
0.0,6008,1046,2020-04-01,12790295.0,-36.55384615384615,-10.907692307692308,4.553846153846154,-20.73846153846154,-45.92307692307692,15.415384615384616,5805.0,42427.0,620.0,0.0,74.0,11.0,286.5449,44743
0.0,7266,1258,2020-04-02,12790295.0,-41.292307692307695,-14.861538461538462,6.184615384615385,-21.49230769230769,-46.753846153846155,16.076923076923077,7016.0,47698.0,730.0,0.0,90.0,16.0,286.5449,44743
0.0,8568,1302,2020-04-03,12790295.0,-42.815384615384616,-15.138461538461538,-1.5846153846153845,-23.93846153846154,-46.276923076923076,17.123076923076923,8420.0,53695.0,852.0,0.0,102.0,12.0,286.5449,44743
0.0,10440,1872,2020-04-04,12784229.0,-49.453125,-16.609375,10.671875,-21.546875,-32.953125,7.390625,10017.0,60013.0,1004.0,0.0,136.0,34.0,286.5449,44743
0.0,11584,1144,2020-04-05,12784229.0,-44.21875,-18.84375,20.421875,-21.953125,-34.078125,5.265625,11510.0,66261.0,1072.0,0.0,150.0,14.0,286.5449,44743
0.0,13122,1537,2020-04-06,12790295.0,-29.23076923076923,-11.830769230769231,16.107692307692307,-21.692307692307693,-45.66153846153846,14.461538461538462,12980.0,70874.0,1145.0,0.0,162.0,12.0,286.5449,44743
0.0,14847,1725,2020-04-07,12790295.0,-30.29230769230769,-12.015384615384615,10.415384615384616,-20.661538461538463,-47.30769230769231,15.492307692307692,14559.0,76719.0,0.0,0.0,240.0,78.0,286.5449,44743
0.0,16625,1778,2020-04-08,12790295.0,-29.876923076923077,-10.753846153846155,14.107692307692307,-20.446153846153845,-47.646153846153844,15.461538461538462,16239.0,82299.0,0.0,0.0,309.0,69.0,286.5449,44743
0.0,18294,1669,2020-04-09,12790295.0,-32.03076923076923,-10.984615384615385,-4.4,-23.553846153846155,-48.55384615384615,16.476923076923075,18228.0,87374.0,0.0,0.0,338.0,29.0,286.5449,44743
0.0,20045,1751,2020-04-10,12790295.0,-39.61538461538461,-14.492307692307692,-9.476923076923077,-27.661538461538463,-56.12307692307692,18.046153846153846,19979.0,93040.0,0.0,0.0,416.0,78.0,286.5449,44743
0.0,21712,1668,2020-04-11,12784229.0,-37.609375,-4.234375,12.15625,-22.578125,-34.15625,7.328125,21655.0,98498.0,0.0,0.0,494.0,78.0,286.5449,44743
0.0,22931,1219,2020-04-12,12784229.0,-52.421875,-35.875,13.265625,-24.25,-40.015625,5.421875,22833.0,102057.0,0.0,0.0,507.0,13.0,286.5449,44743
0.0,24286,1354,2020-04-13,12790295.0,-35.184615384615384,-19.353846153846153,-12.246153846153845,-25.215384615384615,-47.44615384615385,16.107692307692307,24199.0,105593.0,0.0,0.0,524.0,17.0,286.5449,44743
0.0,25459,1173,2020-04-14,12790295.0,-29.369230769230768,-11.723076923076922,6.338461538461538,-20.96923076923077,-45.38461538461539,15.784615384615385,25345.0,108286.0,0.0,0.0,584.0,60.0,286.5449,44743
0.0,26747,1288,2020-04-15,12790295.0,-23.06153846153846,-6.553846153846154,6.369230769230769,-19.553846153846155,-45.215384615384615,15.307692307692308,26490.0,111094.0,0.0,0.0,647.0,63.0,286.5449,44743
0.0,28250,1503,2020-04-16,12790295.0,-27.753846153846155,-9.246153846153845,-0.7230769230769231,-21.50769230769231,-45.41538461538462,16.153846153846153,27735.0,113735.0,0.0,0.0,707.0,60.0,286.5449,44743
0.0,29880,1630,2020-04-17,12790295.0,-36.55384615384615,-15.246153846153845,-6.538461538461538,-24.630769230769232,-45.323076923076925,17.446153846153845,29441.0,117932.0,0.0,0.0,756.0,49.0,286.5449,44743
0.0,31643,1764,2020-04-18,12784229.0,-37.53125,-10.78125,-2.484375,-20.375,-30.953125,7.390625,31069.0,122896.0,0.0,0.0,836.0,80.0,286.5449,44743
0.0,32893,1250,2020-04-19,12784229.0,-28.75,-12.40625,24.5625,-19.78125,-30.25,5.03125,32284.0,126570.0,0.0,0.0,1112.0,276.0,286.5449,44743
0.0,33906,1012,2020-04-20,12790295.0,-26.384615384615383,-12.661538461538461,10.692307692307692,-20.76923076923077,-43.184615384615384,14.092307692307692,33232.0,129720.0,0.0,0.0,1204.0,92.0,286.5449,44743
0.0,35241,1335,2020-04-21,12790295.0,-29.03076923076923,-13.153846153846153,-4.769230769230769,-20.46153846153846,-44.753846153846155,16.06153846153846,34528.0,132323.0,0.0,0.0,1564.0,360.0,286.5449,44743
0.0,36074,833,2020-04-22,12790295.0,-27.184615384615384,-10.461538461538462,5.0,-19.876923076923077,-44.69230769230769,15.292307692307693,35684.0,136272.0,0.0,0.0,1622.0,58.0,286.5449,44743
0.0,38371,2297,2020-04-23,12790295.0,-28.83076923076923,-11.276923076923078,1.4923076923076923,-21.16923076923077,-44.63076923076923,15.984615384615385,37053.0,142061.0,0.0,0.0,1421.0,-201.0,286.5449,44743
0.0,40200,1829,2020-04-24,12790295.0,-34.738461538461536,-15.061538461538461,-6.246153846153846,-24.2,-44.38461538461539,17.23076923076923,38652.0,147491.0,0.0,0.0,1492.0,71.0,286.5449,44743
0.0,41144,945,2020-04-25,12784229.0,-31.953125,-7.96875,25.390625,-14.96875,-27.953125,6.078125,40049.0,152886.0,0.0,0.0,1537.0,45.0,286.5449,44743
0.0,42607,1463,2020-04-26,12784229.0,-32.984375,-16.515625,-19.109375,-22.28125,-32.265625,5.78125,41165.0,157428.0,0.0,0.0,1550.0,13.0,286.5449,44743
0.0,43550,942,2020-04-27,12790295.0,-23.353846153846153,-9.0,2.9692307692307693,-20.692307692307693,-40.96923076923077,14.538461538461538,42050.0,161372.0,0.0,0.0,1597.0,47.0,286.5449,44743
0.0,45129,1579,2020-04-28,12790295.0,-21.046153846153846,-6.476923076923077,17.16923076923077,-16.307692307692307,-42.69230769230769,9.692307692307692,43264.0,165824.0,0.0,0.0,1716.0,119.0,286.5449,44743
0.0,46319,1190,2020-04-29,12790295.0,-21.323076923076922,-6.184615384615385,11.815384615384616,-17.70769230769231,-42.215384615384615,14.169230769230769,44366.0,170517.0,0.0,0.0,2195.0,479.0,286.5449,44743
0.0,47963,1644,2020-04-30,12790295.0,-26.646153846153847,-10.2,-9.23076923076923,-20.184615384615384,-43.353846153846156,15.876923076923077,45763.0,175602.0,0.0,0.0,2292.0,97.0,286.5449,44743
