People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-01,1059361.0,12.2,3.0,-8.2,3.0,6.4,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,2,1,2020-03-02,1059361.0,9.2,0.6,23.0,-3.2,3.4,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,2,0,2020-03-03,1059361.0,10.0,1.0,31.4,-2.6,1.4,-0.4,2.0,6.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,2,0,2020-03-04,1059361.0,9.0,-1.2,17.4,0.0,1.8,-0.6,2.0,11.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,2,0,2020-03-05,1059361.0,9.2,-1.0,40.6,1.2,2.8,-0.8,2.0,17.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,2,0,2020-03-06,1059361.0,3.8,-7.6,5.6,0.8,3.6,0.6,3.0,17.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,1,2020-03-07,1059361.0,5.8,-7.2,29.4,-3.0,2.2,-0.4,2.0,30.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,0,2020-03-08,1059361.0,11.4,-4.6,42.8,0.4,4.8,-0.6,3.0,30.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,0,2020-03-09,1059361.0,14.4,-2.2,77.4,-2.2,1.0,-0.4,3.0,30.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,0,2020-03-10,1059361.0,9.0,-1.6,30.4,-5.4,-0.4,0.6,3.0,58.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,5,2,2020-03-11,1059361.0,7.4,0.8,45.0,-4.2,-1.4,0.4,5.0,94.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,-2,2020-03-12,1059361.0,9.2,18.0,24.8,-2.2,-1.4,1.0,5.0,94.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,3,0,2020-03-13,1059361.0,1.6,27.6,-5.4,-15.2,-3.2,4.2,14.0,142.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,20,17,2020-03-14,1059361.0,-2.2,16.4,81.2,-8.0,-2.8,2.6,20.0,198.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,20,0,2020-03-15,1059361.0,-9.2,6.0,52.4,-9.2,-5.6,2.6,20.0,271.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,21,1,2020-03-16,1059361.0,-6.0,17.6,17.2,-17.6,-23.0,9.2,21.0,308.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,23,2,2020-03-17,1059361.0,-30.8,2.8,-5.8,-22.8,-32.0,15.0,23.0,403.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,33,10,2020-03-18,1059361.0,-27.6,1.4,30.4,-23.8,-34.2,14.2,33.0,540.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,44,11,2020-03-19,1059361.0,-36.4,-3.0,-12.2,-35.6,-38.2,18.0,44.0,654.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,44,0,2020-03-20,1059361.0,-32.6,5.6,24.8,-31.2,-36.6,18.2,54.0,800.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,54,10,2020-03-21,1059361.0,-37.4,-3.8,42.2,-19.2,-25.2,6.4,66.0,862.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,75,21,2020-03-22,1059361.0,-41.2,-16.8,41.6,-21.6,-28.8,4.0,83.0,932.0,0.0,0.0,0.0,0.0,1021.4323,1034
0.0,101,26,2020-03-23,1059361.0,-41.8,-18.8,-18.2,-40.0,-42.2,14.6,106.0,1143.0,0.0,0.0,0.0,0.0,1021.4323,1034
