People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,7,7,2020-03-11,736371.0,4.346153846153846,11.26923076923077,5.384615384615385,0.7692307692307693,-0.8076923076923077,-0.3076923076923077,5.0,13.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,6,-1,2020-03-12,736371.0,2.923076923076923,10.884615384615385,1.6538461538461537,0.8846153846153846,-3.1538461538461537,0.34615384615384615,8.0,27.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,6,0,2020-03-13,730785.0,2.64,19.96,1.16,-0.36,-2.4,0.52,9.0,73.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,6,0,2020-03-14,689168.0,-20.65,4.1,-6.05,-2.05,-3.75,0.7,9.0,182.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,5,0,2020-03-15,655934.0,-7.5625,6.8125,0.0625,-0.5625,-5.375,0.4375,9.0,327.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,10,2,2020-03-16,754733.0,-4.724137931034483,7.344827586206897,0.6551724137931034,0.0,-16.655172413793103,2.0689655172413794,10.0,494.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,11,1,2020-03-17,766048.0,-3.6774193548387095,8.290322580645162,2.774193548387097,0.03225806451612903,-18.838709677419356,2.064516129032258,11.0,551.0,0.0,0.0,0.0,0.0,11.9116,75811
0.0,11,0,2020-03-18,755812.0,-8.758620689655173,6.620689655172414,1.896551724137931,-0.6206896551724138,-20.517241379310345,2.689655172413793,11.0,551.0,0.0,0.0,1.0,1.0,11.9116,75811
0.0,14,3,2020-03-19,761109.0,-18.0,-0.8666666666666667,-1.7333333333333334,-3.533333333333333,-25.066666666666666,2.8,11.0,551.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,13,0,2020-03-20,765084.0,-17.258064516129032,2.967741935483871,-0.4838709677419355,-2.129032258064516,-20.161290322580644,2.3548387096774195,14.0,663.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,12,0,2020-03-21,694820.0,-27.761904761904763,3.9047619047619047,0.7142857142857143,-1.0476190476190477,-7.761904761904762,0.8571428571428571,14.0,691.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,18,7,2020-03-22,655934.0,-29.1875,-3.4375,3.1875,-3.375,-12.9375,0.875,21.0,740.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,27,6,2020-03-23,767001.0,-12.290322580645162,1.3225806451612903,3.935483870967742,-0.9354838709677419,-24.483870967741936,2.6129032258064515,28.0,762.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,29,2,2020-03-24,777375.0,-16.303030303030305,-0.12121212121212122,3.1818181818181817,-0.7272727272727273,-27.09090909090909,2.878787878787879,30.0,790.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,40,11,2020-03-25,766544.0,-26.806451612903224,-3.806451612903226,-0.6129032258064516,-2.774193548387097,-29.258064516129032,3.193548387096774,41.0,819.0,0.0,0.0,1.0,0.0,11.9116,75811
0.0,45,5,2020-03-26,771483.0,-26.28125,-4.28125,0.9375,-2.25,-29.875,3.25,46.0,1973.0,0.0,16.0,1.0,0.0,11.9116,75811
0.0,54,10,2020-03-27,765084.0,-26.29032258064516,-2.0,1.3225806451612903,-3.5806451612903225,-25.161290322580644,2.4516129032258065,58.0,2387.0,0.0,21.0,1.0,0.0,11.9116,75811
0.0,57,6,2020-03-28,701002.0,-42.0,-8.0,-1.2727272727272727,-3.090909090909091,-15.545454545454545,1.1818181818181819,68.0,2592.0,0.0,26.0,1.0,0.0,11.9116,75811
0.0,74,18,2020-03-29,655934.0,-29.9375,-6.625,14.4375,-5.1875,-18.6875,1.0,90.0,3127.0,0.0,29.0,1.0,0.0,11.9116,75811
0.0,95,10,2020-03-30,777375.0,-17.78787878787879,-3.303030303030303,6.333333333333333,-2.0303030303030303,-28.939393939393938,2.484848484848485,101.0,3478.0,0.0,34.0,1.0,0.0,11.9116,75811
0.0,102,7,2020-03-31,776924.0,-18.96969696969697,-2.5454545454545454,3.9393939393939394,-2.121212121212121,-30.90909090909091,2.909090909090909,108.0,3609.0,12.0,44.0,1.0,0.0,11.9116,75811
0.0,123,22,2020-04-01,766544.0,-21.548387096774192,-3.3225806451612905,3.6451612903225805,-2.870967741935484,-32.645161290322584,3.161290322580645,129.0,3903.0,12.0,51.0,2.0,1.0,11.9116,75811
0.0,159,36,2020-04-02,777375.0,-32.63636363636363,-12.454545454545455,-2.0,-4.757575757575758,-38.484848484848484,3.909090909090909,165.0,4217.0,17.0,57.0,2.0,0.0,11.9116,75811
0.0,180,22,2020-04-03,765084.0,-32.16129032258065,-5.67741935483871,-0.9354838709677419,-5.032258064516129,-30.741935483870968,2.935483870967742,187.0,4593.0,17.0,69.0,2.0,0.0,11.9116,75811
0.0,191,23,2020-04-04,694603.0,-40.04761904761905,-4.761904761904762,-1.5238095238095237,-3.4285714285714284,-19.428571428571427,1.2380952380952381,212.0,5012.0,19.0,76.0,2.0,0.0,11.9116,75811
0.0,217,26,2020-04-05,666328.0,-34.294117647058826,-5.352941176470588,8.117647058823529,-7.235294117647059,-19.235294117647058,1.0588235294117647,240.0,5353.0,22.0,84.0,2.0,0.0,11.9116,75811
0.0,282,48,2020-04-06,777375.0,-5.909090909090909,-0.21212121212121213,5.606060606060606,-2.1818181818181817,-32.484848484848484,2.787878787878788,288.0,5732.0,23.0,91.0,4.0,2.0,11.9116,75811
0.0,313,31,2020-04-07,777375.0,-5.606060606060606,0.0,7.181818181818182,-1.9696969696969697,-34.60606060606061,2.787878787878788,320.0,5948.0,23.0,98.0,6.0,2.0,11.9116,75811
0.0,385,72,2020-04-08,772436.0,-6.90625,-0.34375,1.78125,-3.03125,-35.53125,3.34375,393.0,6355.0,26.0,146.0,6.0,0.0,11.9116,75811
0.0,437,52,2020-04-09,771483.0,-6.96875,-0.34375,0.9375,-4.375,-35.625,3.5625,447.0,6700.0,27.0,161.0,6.0,0.0,11.9116,75811
0.0,525,88,2020-04-10,767001.0,-9.258064516129032,0.8709677419354839,4.225806451612903,-4.709677419354839,-41.54838709677419,2.6129032258064515,536.0,7111.0,29.0,177.0,6.0,0.0,11.9116,75811
0.0,585,87,2020-04-11,643137.0,-26.733333333333334,-0.5333333333333333,-3.0,-10.8,-32.333333333333336,1.9333333333333333,626.0,7378.0,33.0,189.0,6.0,0.0,11.9116,75811
0.0,684,99,2020-04-12,632708.0,-41.642857142857146,-6.928571428571429,-7.214285714285714,-12.357142857142858,-42.285714285714285,1.8571428571428572,730.0,7823.0,43.0,197.0,6.0,0.0,11.9116,75811
0.0,851,136,2020-04-13,772436.0,-7.5,-0.9375,-0.90625,-4.0,-38.25,3.03125,868.0,8134.0,44.0,207.0,6.0,0.0,11.9116,75811
0.0,971,120,2020-04-14,771483.0,-7.5,-0.6875,-0.5625,-2.625,-34.28125,3.5,988.0,8308.0,45.0,261.0,6.0,0.0,11.9116,75811
0.0,1150,179,2020-04-15,766544.0,-6.774193548387097,-0.12903225806451613,0.0967741935483871,-2.161290322580645,-33.83870967741935,3.5161290322580645,1168.0,8691.0,51.0,329.0,6.0,0.0,11.9116,75811
0.0,1292,142,2020-04-16,771483.0,-6.71875,-0.21875,0.5625,-2.46875,-33.53125,3.53125,1311.0,9239.0,55.0,373.0,7.0,1.0,11.9116,75811
0.0,1383,100,2020-04-17,748911.0,-9.892857142857142,-0.2857142857142857,3.25,-3.7857142857142856,-32.42857142857143,2.9285714285714284,1411.0,9651.0,63.0,457.0,7.0,0.0,11.9116,75811
0.0,1484,130,2020-04-18,643137.0,-20.466666666666665,-0.6,8.133333333333333,-3.2,-24.666666666666668,1.4666666666666666,1542.0,10118.0,68.0,552.0,7.0,0.0,11.9116,75811
0.0,1567,93,2020-04-19,601112.0,-19.5,-2.25,5.75,-6.333333333333333,-27.25,1.5833333333333333,1635.0,10427.0,74.0,646.0,7.0,0.0,11.9116,75811
0.0,1661,50,2020-04-20,771940.0,-5.53125,-0.40625,3.84375,-2.34375,-31.78125,3.03125,1685.0,10641.0,87.0,709.0,7.0,0.0,11.9116,75811
0.0,1736,70,2020-04-21,771483.0,-5.0625,-0.0625,8.03125,-1.09375,-33.71875,2.90625,1755.0,11060.0,100.0,824.0,8.0,1.0,11.9116,75811
0.0,1839,103,2020-04-22,766544.0,-4.903225806451613,-0.03225806451612903,8.193548387096774,-2.129032258064516,-34.12903225806452,3.0,1858.0,11588.0,111.0,937.0,8.0,0.0,11.9116,75811
0.0,1936,97,2020-04-23,771483.0,-6.0,-0.1875,4.46875,-3.5,-34.46875,3.25,1956.0,12109.0,119.0,1064.0,9.0,1.0,11.9116,75811
0.0,2008,82,2020-04-24,738734.0,-9.333333333333334,0.1111111111111111,4.185185185185185,-3.6296296296296298,-31.703703703703702,2.888888888888889,2040.0,12784.0,124.0,1190.0,10.0,1.0,11.9116,75811
