People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-05,28862582.0,13.033653846153847,7.461538461538462,5.894230769230769,4.788461538461538,1.8269230769230769,-0.9134615384615384,1.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,4,1,2020-03-06,28871027.0,9.872037914691942,7.222748815165877,5.431279620853081,6.052132701421801,1.3412322274881516,-0.8056872037914692,5.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,8,4,2020-03-07,28827476.0,12.0,9.044554455445544,6.97029702970297,8.0,1.5346534653465347,-0.5247524752475248,8.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,11,3,2020-03-08,28798960.0,13.05,7.535,4.86,7.265,-0.37,-0.255,8.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,13,2,2020-03-09,28851217.0,9.824390243902439,6.585365853658536,1.951219512195122,4.658536585365853,-6.736585365853658,0.7121951219512195,12.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,16,3,2020-03-10,28859618.0,13.628019323671497,7.932367149758454,10.120772946859903,5.338164251207729,-8.178743961352657,0.3140096618357488,13.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,21,5,2020-03-11,28864206.0,16.56038647342995,12.830917874396135,9.676328502415458,6.159420289855072,-8.033816425120772,0.07246376811594203,21.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,27,6,2020-03-12,28861839.0,16.58937198067633,21.980676328502415,9.270531400966183,6.516908212560386,-9.560386473429952,0.09178743961352658,23.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,44,17,2020-03-13,28871670.0,7.110047846889952,26.564593301435405,2.8086124401913874,4.9952153110047846,-11.272727272727273,1.2870813397129186,39.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
0.0,60,16,2020-03-14,28825555.0,4.846534653465347,18.292079207920793,3.8465346534653464,4.376237623762377,-1.9405940594059405,0.48514851485148514,51.0,0.0,0.0,0.0,0.0,0.0,112.8204,261232
