People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-07,3177976.0,17.26086956521739,20.565217391304348,12.826086956521738,7.086956521739131,0.08695652173913043,-0.34782608695652173,1.0,0.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,1,0,2020-03-08,3134766.0,16.894736842105264,17.0,8.842105263157896,5.894736842105263,0.631578947368421,-0.2631578947368421,1.0,0.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,1,0,2020-03-09,3193284.0,11.5,19.291666666666668,11.083333333333334,4.875,2.875,-0.2916666666666667,1.0,0.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,2,1,2020-03-10,3193284.0,12.25,15.833333333333334,18.083333333333332,3.7916666666666665,1.25,-0.2916666666666667,2.0,0.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,3,1,2020-03-11,3193284.0,14.666666666666666,22.958333333333332,14.25,4.541666666666667,0.8333333333333334,-0.3333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,3,0,2020-03-12,3193284.0,17.25,42.541666666666664,14.708333333333334,5.208333333333333,0.16666666666666666,-0.20833333333333334,4.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,7,4,2020-03-13,3193284.0,10.416666666666666,44.958333333333336,4.5,1.625,-4.333333333333333,1.375,6.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,8,1,2020-03-14,3198335.0,4.96,30.16,1.28,1.64,-2.24,1.12,6.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,18,10,2020-03-15,3122749.0,13.444444444444445,21.38888888888889,23.166666666666668,6.0,-15.38888888888889,1.2222222222222223,28.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,28,10,2020-03-16,3193284.0,5.375,28.083333333333332,14.208333333333334,0.875,-17.25,2.375,39.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,39,11,2020-03-17,3193284.0,-1.75,19.791666666666668,17.791666666666668,-0.08333333333333333,-22.416666666666668,3.5833333333333335,51.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,47,8,2020-03-18,3193284.0,-14.041666666666666,26.416666666666668,2.0833333333333335,-1.3333333333333333,-28.916666666666668,5.458333333333333,63.0,131.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,62,15,2020-03-19,3193284.0,-23.375,12.625,1.3333333333333333,-5.291666666666667,-29.041666666666668,5.25,78.0,1448.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,95,33,2020-03-20,3193284.0,-25.458333333333332,11.583333333333334,6.333333333333333,-7.583333333333333,-29.625,5.375,112.0,2035.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,118,23,2020-03-21,3181160.0,-27.043478260869566,8.0,17.08695652173913,-3.347826086956522,-14.73913043478261,2.739130434782609,136.0,2424.0,0.0,0.0,0.0,0.0,39.943000000000005,82170
0.0,162,44,2020-03-22,3160086.0,-23.333333333333332,0.8095238095238095,30.38095238095238,-4.190476190476191,-24.333333333333332,2.0,181.0,3508.0,0.0,0.0,1.0,1.0,39.943000000000005,82170
0.0,244,82,2020-03-23,3193284.0,-24.75,3.2083333333333335,4.541666666666667,-5.958333333333333,-30.041666666666668,5.083333333333333,257.0,4790.0,0.0,0.0,1.0,0.0,39.943000000000005,82170
0.0,285,41,2020-03-24,3193284.0,-26.166666666666668,0.3333333333333333,4.166666666666667,-7.5,-34.166666666666664,5.791666666666667,299.0,5524.0,0.0,0.0,1.0,0.0,39.943000000000005,82170
0.0,326,41,2020-03-25,3193284.0,-25.916666666666668,-0.08333333333333333,-0.7083333333333334,-9.958333333333334,-35.291666666666664,6.0,346.0,6491.0,0.0,0.0,1.0,0.0,39.943000000000005,82170
0.0,382,56,2020-03-26,3193284.0,-28.791666666666668,-1.2916666666666667,-1.0833333333333333,-8.166666666666666,-35.958333333333336,6.5,402.0,7308.0,0.0,0.0,1.0,0.0,39.943000000000005,82170
0.0,458,76,2020-03-27,3193284.0,-33.833333333333336,-2.375,5.333333333333333,-10.458333333333334,-34.458333333333336,6.291666666666667,480.0,8764.0,0.0,0.0,2.0,1.0,39.943000000000005,82170
0.0,588,130,2020-03-28,3198335.0,-33.16,-4.56,-0.24,-9.36,-17.96,3.4,602.0,10710.0,0.0,0.0,2.0,0.0,39.943000000000005,82170
0.0,705,117,2020-03-29,3160086.0,-34.285714285714285,-12.095238095238095,9.714285714285714,-11.476190476190476,-28.857142857142858,2.8095238095238093,719.0,13274.0,0.0,0.0,2.0,0.0,39.943000000000005,82170
0.0,779,74,2020-03-30,3193284.0,-28.041666666666668,-2.1666666666666665,9.25,-7.166666666666667,-36.125,5.791666666666667,806.0,15197.0,0.0,0.0,4.0,2.0,39.943000000000005,82170
0.0,865,86,2020-03-31,3193284.0,-27.416666666666668,-1.3333333333333333,13.041666666666666,-6.541666666666667,-39.666666666666664,6.25,887.0,17626.0,73.0,0.0,5.0,1.0,39.943000000000005,82170
0.0,865,0,2020-04-01,3193284.0,-26.958333333333332,-1.75,9.791666666666666,-8.0,-40.5,6.375,1012.0,20155.0,91.0,0.0,7.0,2.0,39.943000000000005,82170
0.0,1063,198,2020-04-02,3193284.0,-32.5,-3.875,1.375,-10.666666666666666,-40.875,7.0,1074.0,20155.0,100.0,0.0,7.0,0.0,39.943000000000005,82170
0.0,1247,184,2020-04-03,3193284.0,-29.708333333333332,-1.25,7.583333333333333,-12.083333333333334,-39.791666666666664,6.625,1246.0,23002.0,106.0,0.0,7.0,0.0,39.943000000000005,82170
0.0,1428,180,2020-04-04,3198335.0,-39.0,-7.24,5.36,-10.84,-22.04,3.2,1428.0,26615.0,117.0,0.0,8.0,1.0,39.943000000000005,82170
0.0,1597,171,2020-04-05,3160086.0,-36.04761904761905,-9.523809523809524,4.714285714285714,-14.333333333333334,-31.571428571428573,2.9047619047619047,1605.0,29287.0,124.0,0.0,8.0,0.0,39.943000000000005,82170
0.0,1677,79,2020-04-06,3193284.0,-14.25,-5.375,2.0416666666666665,-11.416666666666666,-39.833333333333336,6.333333333333333,1675.0,31719.0,138.0,0.0,13.0,5.0,39.943000000000005,82170
0.0,1738,61,2020-04-07,3193284.0,-13.708333333333334,-4.666666666666667,13.791666666666666,-8.583333333333334,-42.166666666666664,6.458333333333333,1738.0,32909.0,148.0,0.0,13.0,0.0,39.943000000000005,82170
0.0,1847,109,2020-04-08,3193284.0,-12.916666666666666,-4.208333333333333,14.791666666666666,-8.375,-42.333333333333336,6.375,1846.0,34270.0,158.0,0.0,13.0,0.0,39.943000000000005,82170
0.0,1855,8,2020-04-09,3193284.0,-13.375,-3.875,5.875,-10.25,-42.958333333333336,6.875,1976.0,36397.0,168.0,0.0,13.0,0.0,39.943000000000005,82170
0.0,2102,247,2020-04-10,3193284.0,-17.333333333333332,-1.9583333333333333,17.083333333333332,-13.041666666666666,-44.708333333333336,6.708333333333333,2102.0,38660.0,183.0,0.0,17.0,4.0,39.943000000000005,82170
0.0,2205,104,2020-04-11,3176199.0,-19.608695652173914,-2.5217391304347827,5.869565217391305,-11.695652173913043,-23.695652173913043,2.9565217391304346,2206.0,40340.0,190.0,0.0,18.0,1.0,39.943000000000005,82170
0.0,2293,92,2020-04-12,3138022.0,-26.0,-16.0,2.2,-18.3,-35.25,2.85,2303.0,41931.0,195.0,0.0,18.0,0.0,39.943000000000005,82170
0.0,2362,64,2020-04-13,3193284.0,-15.916666666666666,-6.708333333333333,-0.5416666666666666,-12.375,-39.333333333333336,6.25,2363.0,43424.0,201.0,218.0,18.0,0.0,39.943000000000005,82170
0.0,2416,54,2020-04-14,3193284.0,-12.125,-4.916666666666667,10.666666666666666,-10.166666666666666,-39.458333333333336,6.416666666666667,2412.0,44064.0,213.0,218.0,19.0,1.0,39.943000000000005,82170
0.0,2547,131,2020-04-15,3193284.0,-12.041666666666666,-4.375,-0.75,-11.583333333333334,-39.416666666666664,6.541666666666667,2542.0,45072.0,221.0,218.0,20.0,1.0,39.943000000000005,82170
0.0,2682,135,2020-04-16,3193284.0,-13.708333333333334,-6.083333333333333,1.5833333333333333,-12.875,-39.291666666666664,6.791666666666667,2683.0,46995.0,238.0,357.0,21.0,1.0,39.943000000000005,82170
0.0,2793,111,2020-04-17,3193284.0,-16.791666666666668,-6.041666666666667,12.25,-10.416666666666666,-37.333333333333336,6.333333333333333,2805.0,52966.0,244.0,443.0,23.0,2.0,39.943000000000005,82170
0.0,2917,124,2020-04-18,3176199.0,-18.130434782608695,-7.739130434782608,8.26086956521739,-6.869565217391305,-19.52173913043478,3.0434782608695654,2931.0,57013.0,251.0,565.0,25.0,2.0,39.943000000000005,82170
0.0,2799,-118,2020-04-19,3120382.0,-16.555555555555557,-8.944444444444445,17.11111111111111,-12.444444444444445,-31.88888888888889,2.888888888888889,3069.0,60486.0,259.0,679.0,27.0,2.0,39.943000000000005,82170
0.0,2930,131,2020-04-20,3193284.0,-9.708333333333334,-4.875,13.625,-7.333333333333333,-36.791666666666664,5.625,3213.0,65098.0,268.0,776.0,28.0,1.0,39.943000000000005,82170
0.0,3012,82,2020-04-21,3193284.0,-10.083333333333334,-4.958333333333333,15.708333333333334,-6.541666666666667,-39.25,6.125,3296.0,69062.0,277.0,888.0,32.0,4.0,39.943000000000005,82170
0.0,3154,142,2020-04-22,3193284.0,-10.25,-4.291666666666667,16.208333333333332,-5.791666666666667,-38.166666666666664,5.833333333333333,3445.0,73015.0,288.0,970.0,34.0,2.0,39.943000000000005,82170
0.0,3307,153,2020-04-23,3193284.0,-12.166666666666666,-4.958333333333333,6.5,-8.25,-38.125,6.5,3612.0,77015.0,301.0,1050.0,35.0,1.0,39.943000000000005,82170
0.0,3464,157,2020-04-24,3193284.0,-13.708333333333334,-3.25,21.25,-6.541666666666667,-37.625,5.708333333333333,3782.0,80915.0,315.0,1252.0,39.0,4.0,39.943000000000005,82170
0.0,3623,159,2020-04-25,3163262.0,-17.0,-4.571428571428571,20.238095238095237,-3.0,-21.19047619047619,2.8095238095238093,3948.0,86258.0,329.0,1399.0,41.0,2.0,39.943000000000005,82170
0.0,3788,165,2020-04-26,3120382.0,-11.777777777777779,-2.5,22.666666666666668,-4.166666666666667,-30.77777777777778,2.111111111111111,4123.0,91579.0,345.0,1568.0,41.0,0.0,39.943000000000005,82170
0.0,3893,105,2020-04-27,3193284.0,-8.083333333333334,-2.1666666666666665,14.041666666666666,-4.75,-35.083333333333336,5.25,4233.0,95962.0,349.0,1641.0,41.0,0.0,39.943000000000005,82170
0.0,4000,107,2020-04-28,3193284.0,-8.166666666666666,-1.6666666666666667,18.333333333333332,-3.8333333333333335,-38.625,2.375,4343.0,98096.0,370.0,1704.0,45.0,4.0,39.943000000000005,82170
0.0,4146,146,2020-04-29,3193284.0,-7.625,-0.625,20.666666666666668,-4.0,-37.333333333333336,5.291666666666667,4495.0,101283.0,383.0,1790.0,45.0,0.0,39.943000000000005,82170
0.0,4308,162,2020-04-30,3193284.0,-8.416666666666666,-2.3333333333333335,15.625,-4.25,-37.25,5.5,4672.0,103829.0,390.0,1939.0,46.0,1.0,39.943000000000005,82170
