People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,4,4,2020-03-08,9386377.0,12.793388429752065,8.396694214876034,7.884297520661157,4.132231404958677,1.0826446280991735,-0.2396694214876033,2.0,36.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,4,0,2020-03-09,9461899.0,9.364341085271318,7.077519379844961,7.054263565891473,2.108527131782946,1.441860465116279,-0.27906976744186046,3.0,38.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,11,7,2020-03-10,9461899.0,9.131782945736434,7.341085271317829,4.51937984496124,1.317829457364341,0.7829457364341085,-0.12403100775193798,8.0,53.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,12,1,2020-03-11,9461899.0,9.589147286821705,8.30232558139535,4.364341085271318,2.186046511627907,-0.14728682170542637,-0.1937984496124031,9.0,60.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,17,5,2020-03-12,9461899.0,10.457364341085272,19.767441860465116,4.317829457364341,2.007751937984496,-1.054263565891473,-0.06976744186046512,17.0,117.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,32,15,2020-03-13,9461899.0,7.37984496124031,22.689922480620154,6.124031007751938,0.6511627906976745,-3.5736434108527133,0.7441860465116279,30.0,117.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,47,15,2020-03-14,9409529.0,2.292682926829268,17.203252032520325,5.365853658536586,1.3821138211382114,-0.23577235772357724,0.5528455284552846,30.0,117.0,0.0,0.0,0.0,0.0,218.4403,39490
0.0,47,0,2020-03-15,9386377.0,-5.991735537190083,9.041322314049587,-4.24793388429752,-0.15702479338842976,-6.785123966942149,1.0165289256198347,45.0,363.0,0.0,0.0,1.0,1.0,218.4403,39490
0.0,59,12,2020-03-16,9461899.0,-2.604651162790698,15.263565891472869,0.05426356589147287,-1.930232558139535,-14.30232558139535,3.310077519379845,51.0,438.0,0.0,0.0,1.0,0.0,218.4403,39490
0.0,79,20,2020-03-17,9474400.0,-6.679389312977099,12.687022900763358,5.679389312977099,-1.9923664122137406,-18.977099236641223,4.076335877862595,67.0,961.0,0.0,0.0,1.0,0.0,218.4403,39490
0.0,90,11,2020-03-18,9467030.0,-14.569230769230769,7.7,2.123076923076923,-3.623076923076923,-23.715384615384615,5.084615384615384,77.0,1201.0,0.0,0.0,1.0,0.0,218.4403,39490
0.0,115,25,2020-03-19,9474400.0,-16.34351145038168,8.610687022900763,6.572519083969466,-3.877862595419847,-25.18320610687023,5.091603053435114,94.0,1829.0,0.0,0.0,2.0,1.0,218.4403,39490
0.0,135,20,2020-03-20,9469269.0,-21.515384615384615,5.8538461538461535,7.561538461538461,-5.8076923076923075,-26.8,5.484615384615385,114.0,2211.0,0.0,0.0,2.0,0.0,218.4403,39490
0.0,173,39,2020-03-21,9409529.0,-29.3739837398374,3.5934959349593494,-0.21951219512195122,-5.227642276422764,-14.552845528455284,2.186991869918699,152.0,2638.0,25.0,0.0,2.0,0.0,218.4403,39490
0.0,257,84,2020-03-22,9400695.0,-29.368852459016395,-6.221311475409836,0.4262295081967213,-7.065573770491803,-20.811475409836067,1.5491803278688525,219.0,3118.0,32.0,0.0,3.0,1.0,218.4403,39490
0.0,290,32,2020-03-23,9469269.0,-27.50769230769231,-4.946153846153846,-5.423076923076923,-9.938461538461539,-30.884615384615383,6.3307692307692305,254.0,3443.0,38.0,0.0,6.0,3.0,218.4403,39490
0.0,329,39,2020-03-24,9474400.0,-23.33587786259542,-3.435114503816794,2.633587786259542,-7.236641221374046,-31.755725190839694,6.267175572519084,290.0,4180.0,45.0,0.0,7.0,1.0,218.4403,39490
0.0,460,131,2020-03-25,9474400.0,-32.98473282442748,-11.65648854961832,-5.656488549618321,-9.595419847328245,-35.76335877862596,7.4961832061068705,391.0,4979.0,59.0,0.0,9.0,2.0,218.4403,39490
0.0,532,72,2020-03-26,9474400.0,-28.64885496183206,-3.9236641221374047,3.145038167938931,-8.679389312977099,-34.54961832061068,6.587786259541985,460.0,5729.0,65.0,0.0,13.0,4.0,218.4403,39490
0.0,715,183,2020-03-27,9469269.0,-31.915384615384614,-9.184615384615384,5.3307692307692305,-10.438461538461539,-34.30769230769231,6.623076923076923,604.0,6733.0,83.0,0.0,14.0,1.0,218.4403,39490
0.0,878,164,2020-03-28,9413676.0,-32.29838709677419,-7.314516129032258,3.1370967741935485,-8.959677419354838,-19.79032258064516,2.346774193548387,739.0,8427.0,99.0,0.0,17.0,3.0,218.4403,39490
0.0,1053,177,2020-03-29,9404842.0,-28.869918699186993,-10.121951219512194,5.252032520325203,-9.308943089430894,-24.29268292682927,1.6260162601626016,890.0,9719.0,112.0,0.0,22.0,5.0,218.4403,39490
0.0,1219,161,2020-03-30,9474400.0,-25.290076335877863,-4.877862595419847,1.2595419847328244,-9.694656488549619,-33.900763358778626,5.931297709923665,1020.0,11018.0,136.0,0.0,25.0,3.0,218.4403,39490
0.0,1467,248,2020-03-31,9474400.0,-33.29770992366412,-12.648854961832061,-3.2213740458015265,-10.312977099236642,-37.69465648854962,6.938931297709924,1250.0,12151.0,165.0,0.0,27.0,2.0,218.4403,39490
0.0,1740,273,2020-04-01,9474400.0,-30.366412213740457,-6.809160305343512,-3.0229007633587788,-10.32824427480916,-38.68702290076336,7.175572519083969,1484.0,13860.0,305.0,0.0,34.0,7.0,218.4403,39490
0.0,1982,242,2020-04-02,9474400.0,-31.061068702290076,-7.259541984732825,0.061068702290076333,-10.038167938931299,-38.50381679389313,7.129770992366412,1706.0,15883.0,305.0,0.0,41.0,7.0,218.4403,39490
0.0,2320,338,2020-04-03,9469269.0,-30.93076923076923,-6.115384615384615,1.2076923076923076,-12.353846153846154,-38.01538461538462,6.7846153846153845,2012.0,16993.0,312.0,0.0,46.0,5.0,218.4403,39490
0.0,2688,378,2020-04-04,9413676.0,-35.25,-6.612903225806452,-2.467741935483871,-11.903225806451612,-21.766129032258064,2.467741935483871,2407.0,19145.0,390.0,0.0,52.0,6.0,218.4403,39490
0.0,2950,264,2020-04-05,9400695.0,-33.5,-11.811475409836065,1.278688524590164,-12.565573770491802,-27.049180327868854,1.7540983606557377,2637.0,21034.0,431.0,0.0,51.0,-1.0,218.4403,39490
