People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-12,564406.0,5.3,21.8,-0.35,4.05,0.65,0.05,1.0,0.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,1,0,2020-03-13,564406.0,-0.35,23.9,-1.25,3.0,-3.75,0.8,1.0,0.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,2,1,2020-03-14,557479.0,-8.210526315789474,15.68421052631579,-2.9473684210526314,2.736842105263158,-2.789473684210526,0.3684210526315789,2.0,0.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,2,0,2020-03-15,529439.0,-6.125,17.5625,0.625,-0.6875,-2.5,0.125,3.0,0.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,2,0,2020-03-16,571990.0,-0.38095238095238093,26.38095238095238,0.6190476190476191,0.5238095238095238,-16.333333333333332,1.5714285714285714,3.0,0.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,11,9,2020-03-17,571990.0,-6.619047619047619,20.571428571428573,-0.09523809523809523,1.4761904761904763,-19.80952380952381,2.3333333333333335,10.0,95.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,16,5,2020-03-18,571990.0,-12.904761904761905,17.61904761904762,1.2380952380952381,-2.9047619047619047,-23.714285714285715,2.5714285714285716,15.0,178.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,18,2,2020-03-19,571990.0,-25.857142857142858,3.5238095238095237,-5.523809523809524,-8.666666666666666,-26.666666666666668,4.666666666666667,18.0,271.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,21,3,2020-03-20,564406.0,-40.75,6.55,-5.25,-3.65,-28.3,5.15,19.0,331.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,23,2,2020-03-21,561892.0,-38.05,1.85,-4.15,2.4,-16.15,0.95,23.0,438.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,26,3,2020-03-22,519608.0,-38.333333333333336,-4.2,0.2,-7.666666666666667,-22.933333333333334,1.0666666666666667,24.0,438.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,26,0,2020-03-23,571990.0,-24.714285714285715,4.9523809523809526,0.8095238095238095,-2.8095238095238093,-29.571428571428573,3.619047619047619,26.0,592.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,29,3,2020-03-24,571990.0,-32.666666666666664,0.14285714285714285,-0.7619047619047619,-2.857142857142857,-32.476190476190474,4.333333333333333,29.0,710.0,0.0,0.0,0.0,0.0,5.84,97093
0.0,44,15,2020-03-25,571990.0,-33.80952380952381,-4.380952380952381,-2.142857142857143,-6.142857142857143,-34.476190476190474,4.761904761904762,44.0,954.0,0.0,7.0,0.0,0.0,5.84,97093
0.0,53,9,2020-03-26,571990.0,-35.04761904761905,-3.9047619047619047,0.3333333333333333,-7.0476190476190474,-34.42857142857143,4.904761904761905,53.0,1052.0,0.0,12.0,0.0,0.0,5.84,97093
0.0,70,17,2020-03-27,564406.0,-42.95,-6.5,-4.3,-3.6,-33.95,4.2,70.0,1211.0,11.0,17.0,0.0,0.0,5.84,97093
0.0,82,12,2020-03-28,561892.0,-44.6,-11.65,-4.95,0.1,-19.7,1.15,82.0,1475.0,14.0,18.0,0.0,0.0,5.84,97093
0.0,79,4,2020-03-29,538325.0,-30.88235294117647,-11.117647058823529,1.9411764705882353,-3.4705882352941178,-23.176470588235293,0.5882352941176471,86.0,1554.0,15.0,20.0,0.0,0.0,5.84,97093
0.0,94,8,2020-03-30,571990.0,-30.095238095238095,-1.0,-0.047619047619047616,-0.9047619047619048,-34.0,3.857142857142857,94.0,1840.0,17.0,24.0,0.0,0.0,5.84,97093
0.0,109,15,2020-03-31,571990.0,-29.952380952380953,-3.5238095238095237,-1.0952380952380953,-0.7619047619047619,-35.38095238095238,4.476190476190476,109.0,1999.0,17.0,26.0,0.0,0.0,5.84,97093
0.0,130,21,2020-04-01,571990.0,-34.666666666666664,-2.7142857142857144,-3.2857142857142856,-2.761904761904762,-36.285714285714285,5.0,130.0,2218.0,18.0,31.0,0.0,0.0,5.84,97093
0.0,150,20,2020-04-02,571990.0,-43.38095238095238,-12.047619047619047,-6.333333333333333,-5.142857142857143,-38.857142857142854,5.523809523809524,150.0,2439.0,19.0,31.0,0.0,0.0,5.84,97093
0.0,162,12,2020-04-03,564406.0,-36.55,-2.6,-4.75,-0.45,-35.15,3.55,162.0,2704.0,21.0,37.0,0.0,0.0,5.84,97093
0.0,187,25,2020-04-04,561892.0,-42.85,-8.8,-2.25,0.45,-20.15,1.1,187.0,2945.0,23.0,49.0,0.0,0.0,5.84,97093
0.0,184,8,2020-04-05,519608.0,-39.666666666666664,-10.933333333333334,2.3333333333333335,-7.266666666666667,-28.066666666666666,0.5333333333333333,197.0,3040.0,23.0,50.0,0.0,0.0,5.84,97093
0.0,210,13,2020-04-06,571990.0,-7.523809523809524,-0.6666666666666666,1.8095238095238095,-2.9047619047619047,-34.0,3.9523809523809526,210.0,3719.0,23.0,52.0,0.0,0.0,5.84,97093
0.0,216,6,2020-04-07,571990.0,-10.19047619047619,-0.5238095238095238,-1.1904761904761905,-2.238095238095238,-35.095238095238095,4.809523809523809,216.0,3789.0,33.0,62.0,0.0,0.0,5.84,97093
0.0,221,5,2020-04-08,571990.0,-10.142857142857142,-1.0952380952380953,2.0952380952380953,-7.190476190476191,-36.285714285714285,4.857142857142857,221.0,3843.0,33.0,62.0,0.0,0.0,5.84,97093
0.0,230,9,2020-04-09,571990.0,-10.142857142857142,-0.8095238095238095,1.3333333333333333,-2.0,-35.95238095238095,4.619047619047619,230.0,3920.0,34.0,94.0,0.0,0.0,5.84,97093
0.0,235,8,2020-04-10,564406.0,-15.95,-0.05,4.0,-5.3,-39.0,3.25,253.0,4736.0,37.0,105.0,0.0,0.0,5.84,97093
0.0,240,20,2020-04-11,511215.0,-29.357142857142858,0.9285714285714286,3.2142857142857144,-3.9285714285714284,-31.0,1.7142857142857142,261.0,5198.0,37.0,129.0,0.0,0.0,5.84,97093
0.0,244,7,2020-04-12,498004.0,-28.923076923076923,-9.23076923076923,-16.384615384615383,-18.23076923076923,-39.53846153846154,0.9230769230769231,261.0,5198.0,40.0,137.0,0.0,0.0,5.84,97093
0.0,273,5,2020-04-13,571990.0,-9.380952380952381,-4.0476190476190474,-5.476190476190476,-6.095238095238095,-35.23809523809524,4.666666666666667,275.0,5689.0,41.0,138.0,1.0,1.0,5.84,97093
0.0,280,7,2020-04-14,571990.0,-11.761904761904763,-5.285714285714286,-5.285714285714286,-3.5714285714285716,-32.904761904761905,5.428571428571429,275.0,5689.0,43.0,140.0,1.0,0.0,5.84,97093
0.0,285,5,2020-04-15,571990.0,-9.238095238095237,-1.7619047619047619,-5.190476190476191,-5.238095238095238,-34.04761904761905,5.380952380952381,287.0,6042.0,43.0,129.0,2.0,1.0,5.84,97093
0.0,294,9,2020-04-16,571990.0,-15.428571428571429,-6.333333333333333,-6.476190476190476,-11.19047619047619,-36.38095238095238,5.0,296.0,6131.0,43.0,148.0,2.0,0.0,5.84,97093
0.0,299,9,2020-04-17,564406.0,-14.85,-4.2,-4.45,-3.3,-30.3,5.15,296.0,6131.0,43.0,148.0,2.0,0.0,5.84,97093
0.0,285,4,2020-04-18,511215.0,-22.785714285714285,-1.0714285714285714,-4.357142857142857,2.142857142857143,-24.785714285714285,1.3571428571428572,305.0,6217.0,50.0,206.0,2.0,0.0,5.84,97093
0.0,286,4,2020-04-19,498004.0,-11.76923076923077,-2.3846153846153846,0.5384615384615384,-7.230769230769231,-29.76923076923077,1.2307692307692308,309.0,6972.0,50.0,227.0,2.0,0.0,5.84,97093
0.0,315,4,2020-04-20,571990.0,-5.285714285714286,-1.0952380952380953,-0.09523809523809523,-5.9523809523809526,-30.714285714285715,4.0,313.0,7073.0,51.0,233.0,2.0,0.0,5.84,97093
0.0,438,123,2020-04-21,571990.0,-6.333333333333333,-1.1904761904761905,5.523809523809524,-3.5238095238095237,-32.57142857142857,4.095238095238095,320.0,7301.0,52.0,237.0,6.0,4.0,5.84,97093
0.0,442,4,2020-04-22,571990.0,-7.142857142857143,-1.4285714285714286,2.9047619047619047,-1.5238095238095237,-32.857142857142854,4.428571428571429,322.0,7301.0,52.0,254.0,6.0,0.0,5.84,97093
0.0,448,6,2020-04-23,571990.0,-12.857142857142858,-4.190476190476191,-1.6666666666666667,-1.4761904761904763,-33.23809523809524,5.238095238095238,326.0,7241.0,52.0,275.0,7.0,1.0,5.84,97093
0.0,463,20,2020-04-24,564406.0,-14.6,-4.0,-2.15,1.4,-31.55,4.0,349.0,7696.0,54.0,321.0,7.0,0.0,5.84,97093
0.0,456,18,2020-04-25,515628.0,-18.933333333333334,-0.4666666666666667,-1.4,2.3333333333333335,-23.933333333333334,1.0666666666666667,349.0,7797.0,54.0,321.0,7.0,0.0,5.84,97093
0.0,460,11,2020-04-26,498004.0,-10.076923076923077,-0.7692307692307693,4.3076923076923075,-5.6923076923076925,-28.76923076923077,1.0769230769230769,362.0,7797.0,54.0,334.0,7.0,0.0,5.84,97093
0.0,515,18,2020-04-27,571990.0,-4.476190476190476,-0.8571428571428571,3.2857142857142856,-6.095238095238095,-29.666666666666668,3.9047619047619047,370.0,7797.0,54.0,342.0,7.0,0.0,5.84,97093
0.0,531,16,2020-04-28,571990.0,-6.476190476190476,-1.0952380952380953,1.0952380952380953,-3.238095238095238,-31.952380952380953,2.0952380952380953,389.0,8226.0,56.0,343.0,7.0,0.0,5.84,97093
0.0,540,9,2020-04-29,571990.0,-5.190476190476191,-0.5238095238095238,8.380952380952381,-3.4285714285714284,-32.42857142857143,3.857142857142857,536.0,8681.0,56.0,362.0,7.0,0.0,5.84,97093
0.0,554,14,2020-04-30,571990.0,-9.142857142857142,-0.14285714285714285,5.476190476190476,-1.4761904761904763,-32.666666666666664,4.142857142857143,544.0,8902.0,56.0,371.0,7.0,0.0,5.84,97093
