People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-14,561871.0,6.714285714285714,9.285714285714286,3.2857142857142856,-1.0,-2.7142857142857144,0.42857142857142855,1.0,143.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,1,0,2020-03-15,552039.0,7.5,7.833333333333333,10.333333333333334,-1.6666666666666667,-0.3333333333333333,0.3333333333333333,1.0,143.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,1,0,2020-03-16,589459.0,2.2222222222222223,7.444444444444445,3.3333333333333335,-2.4444444444444446,-9.555555555555555,1.3333333333333333,1.0,143.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,3,2,2020-03-17,597952.0,-2.9,3.1,-0.1,-4.4,-12.6,2.2,3.0,334.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,5,2,2020-03-18,597952.0,-7.9,1.7,0.5,-5.7,-17.7,3.2,6.0,406.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,8,3,2020-03-19,597952.0,-18.7,1.2,-0.1,-6.1,-20.0,3.4,6.0,432.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,11,3,2020-03-20,597952.0,-15.9,-3.6,2.4,-8.0,-20.4,3.9,12.0,686.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,13,2,2020-03-21,570425.0,-26.0,-4.857142857142857,-1.4285714285714286,-15.714285714285714,-10.714285714285714,3.857142857142857,14.0,758.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,18,5,2020-03-22,552039.0,-31.166666666666668,-6.0,18.0,-20.166666666666668,-14.5,1.1666666666666667,22.0,946.0,0.0,0.0,0.0,0.0,1.2863,570641
0.0,27,9,2020-03-23,597952.0,-20.8,-9.6,1.9,-11.8,-28.4,4.7,22.0,946.0,0.0,0.0,0.0,0.0,1.2863,570641
