People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,0,2020-03-04,7278717.0,11.866666666666667,11.4,20.666666666666668,6.8,2.8,-1.2666666666666666,2.0,27.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,1,0,2020-03-05,7278717.0,9.933333333333334,9.266666666666667,21.933333333333334,6.533333333333333,1.7333333333333334,-1.2,2.0,28.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,2,1,2020-03-06,7278717.0,6.8,8.8,20.933333333333334,9.2,1.3333333333333333,-1.1333333333333333,3.0,33.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,4,2,2020-03-07,7278717.0,7.2,7.533333333333333,19.733333333333334,6.933333333333334,0.4,-1.2666666666666666,5.0,44.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,4,0,2020-03-08,7278717.0,12.533333333333333,7.133333333333334,15.533333333333333,9.2,0.13333333333333333,-0.9333333333333333,5.0,44.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,4,0,2020-03-09,7278717.0,11.0,10.0,34.53333333333333,10.133333333333333,-4.8,-0.6666666666666666,5.0,44.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,6,2,2020-03-10,7278717.0,7.066666666666666,7.933333333333334,13.333333333333334,5.533333333333333,-6.2,0.6666666666666666,6.0,51.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,9,3,2020-03-11,7278717.0,8.133333333333333,10.466666666666667,4.533333333333333,5.066666666666666,-6.733333333333333,0.8,9.0,59.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,9,0,2020-03-12,7278717.0,7.666666666666667,17.733333333333334,-1.4666666666666666,4.933333333333334,-8.866666666666667,1.7333333333333334,9.0,82.0,0.0,0.0,0.0,0.0,64.955,113594
0.0,9,0,2020-03-13,7278717.0,2.2666666666666666,19.0,0.0,3.6666666666666665,-7.6,1.8666666666666667,9.0,94.0,0.0,0.0,0.0,0.0,64.955,113594
