People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-14,2917126.0,-2.6031746031746033,11.142857142857142,-6.031746031746032,0.873015873015873,1.1428571428571428,0.8571428571428571,12.0,65.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,3,0,2020-03-15,2880192.0,2.1666666666666665,15.933333333333334,-1.6833333333333333,0.9166666666666666,-2.183333333333333,0.45,16.0,103.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,3,0,2020-03-16,2975180.0,-3.2753623188405796,14.028985507246377,-3.36231884057971,-0.07246376811594203,-9.797101449275363,2.2028985507246377,22.0,132.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,3,0,2020-03-17,2983061.0,-6.542857142857143,9.271428571428572,2.0285714285714285,-0.44285714285714284,-15.685714285714285,2.2142857142857144,22.0,197.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,4,1,2020-03-18,2990814.0,-5.366197183098592,7.971830985915493,4.71830985915493,-0.014084507042253521,-17.718309859154928,2.5211267605633805,33.0,236.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,4,0,2020-03-19,2990814.0,-10.422535211267606,11.267605633802816,0.9295774647887324,-1.4788732394366197,-19.507042253521128,2.915492957746479,46.0,310.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,4,0,2020-03-20,2983061.0,-17.87142857142857,11.071428571428571,1.8142857142857143,-1.7,-22.228571428571428,3.342857142857143,96.0,351.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,4,0,2020-03-21,2927244.0,-23.578125,5.46875,1.359375,-1.546875,-7.703125,1.1875,118.0,567.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,42,38,2020-03-22,2890473.0,-34.24590163934426,-7.622950819672131,-4.852459016393443,-4.262295081967213,-17.491803278688526,1.3114754098360655,165.0,711.0,0.0,0.0,0.0,0.0,58.403,52035
0.0,188,145,2020-03-23,2990814.0,-21.87323943661972,-3.3380281690140845,0.9154929577464789,-2.859154929577465,-25.633802816901408,3.5492957746478875,174.0,906.0,0.0,0.0,0.0,0.0,58.403,52035
