People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-06,5692787.0,7.021739130434782,8.152173913043478,14.521739130434783,2.3043478260869565,2.0217391304347827,-0.5217391304347826,2.0,46.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,7,4,2020-03-07,5681592.0,10.772727272727273,10.409090909090908,22.477272727272727,2.4545454545454546,1.7272727272727273,-0.5227272727272727,8.0,55.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,7,0,2020-03-08,5681592.0,11.340909090909092,10.931818181818182,12.727272727272727,2.0454545454545454,1.2727272727272727,0.0,8.0,104.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,7,0,2020-03-09,5696040.0,9.108695652173912,9.195652173913043,13.652173913043478,3.608695652173913,4.978260869565218,-0.6739130434782609,9.0,133.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,14,7,2020-03-10,5696040.0,9.434782608695652,11.195652173913043,11.304347826086957,1.5217391304347827,1.8478260869565217,-0.10869565217391304,12.0,142.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,30,16,2020-03-11,5702864.0,8.0,10.76595744680851,14.361702127659575,1.7872340425531914,0.5319148936170213,-0.2553191489361702,28.0,251.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,45,15,2020-03-12,5702864.0,9.46808510638298,20.4468085106383,5.468085106382978,0.7021276595744681,-1.574468085106383,0.1276595744680851,45.0,298.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,74,29,2020-03-13,5700992.0,-4.48936170212766,18.21276595744681,-8.574468085106384,-3.893617021276596,-5.872340425531915,2.0,72.0,524.0,0.0,0.0,0.0,0.0,56.4011,103642
0.0,99,25,2020-03-14,5686544.0,-7.222222222222222,16.511111111111113,-8.422222222222222,-2.911111111111111,-2.4444444444444446,1.3333333333333333,101.0,610.0,0.0,0.0,1.0,1.0,56.4011,103642
0.0,99,0,2020-03-15,5681592.0,-9.022727272727273,14.272727272727273,4.2272727272727275,-2.477272727272727,-7.318181818181818,1.0,131.0,627.0,0.0,0.0,1.0,0.0,56.4011,103642
0.0,132,33,2020-03-16,5702864.0,-3.0851063829787235,18.51063829787234,10.595744680851064,-3.5106382978723403,-19.574468085106382,2.5319148936170213,131.0,627.0,0.0,0.0,1.0,0.0,56.4011,103642
0.0,167,35,2020-03-17,5709188.0,-19.833333333333332,13.541666666666666,4.333333333333333,-7.4375,-29.229166666666668,4.5625,160.0,1056.0,0.0,0.0,1.0,0.0,56.4011,103642
0.0,218,51,2020-03-18,5709188.0,-24.916666666666668,7.6875,11.4375,-8.208333333333334,-32.895833333333336,4.791666666666667,183.0,1617.0,0.0,0.0,2.0,1.0,56.4011,103642
0.0,219,1,2020-03-19,5709188.0,-37.020833333333336,-9.083333333333334,-20.833333333333332,-18.125,-40.4375,7.604166666666667,216.0,2112.0,0.0,0.0,2.0,0.0,56.4011,103642
0.0,342,123,2020-03-20,5696040.0,-38.91304347826087,-4.260869565217392,-18.782608695652176,-14.521739130434783,-36.67391304347826,7.760869565217392,277.0,2675.0,0.0,0.0,3.0,1.0,56.4011,103642
0.0,471,129,2020-03-21,5673413.0,-43.51162790697674,-7.4186046511627906,-14.883720930232558,-14.906976744186046,-26.348837209302324,3.2093023255813953,363.0,3317.0,44.0,0.0,4.0,1.0,56.4011,103642
0.0,587,116,2020-03-22,5673413.0,-38.55813953488372,-12.930232558139535,0.32558139534883723,-12.767441860465116,-30.209302325581394,2.488372093023256,475.0,4075.0,49.0,0.0,5.0,1.0,56.4011,103642
0.0,701,113,2020-03-23,5702864.0,-31.19148936170213,-7.851063829787234,1.851063829787234,-12.872340425531915,-36.12765957446808,5.680851063829787,591.0,4845.0,58.0,0.0,6.0,1.0,56.4011,103642
0.0,716,15,2020-03-24,5709188.0,-33.583333333333336,-7.791666666666667,9.104166666666666,-14.0625,-40.229166666666664,5.875,720.0,5504.0,72.0,0.0,7.0,1.0,56.4011,103642
0.0,1001,285,2020-03-25,5709188.0,-31.166666666666668,-7.125,6.958333333333333,-13.708333333333334,-41.958333333333336,6.145833333333333,912.0,6789.0,84.0,0.0,11.0,4.0,56.4011,103642
0.0,1325,324,2020-03-26,5714140.0,-43.95918367346939,-20.510204081632654,-1.7959183673469388,-16.46938775510204,-46.816326530612244,7.26530612244898,1086.0,6978.0,148.0,0.0,19.0,8.0,56.4011,103642
0.0,1326,2,2020-03-27,5687861.0,-49.86666666666667,-26.666666666666668,-20.933333333333334,-20.333333333333332,-44.28888888888889,8.444444444444445,1430.0,8692.0,184.0,0.0,24.0,5.0,56.4011,103642
0.0,1598,272,2020-03-28,5673413.0,-58.093023255813954,-31.906976744186046,-22.232558139534884,-19.488372093023255,-35.95348837209303,4.3023255813953485,1734.0,9942.0,239.0,0.0,31.0,7.0,56.4011,103642
0.0,2114,516,2020-03-29,5673413.0,-48.93023255813954,-31.11627906976744,-8.930232558139535,-16.441860465116278,-36.25581395348837,3.2790697674418605,2061.0,11215.0,274.0,0.0,44.0,13.0,56.4011,103642
0.0,2119,4,2020-03-30,5709188.0,-37.604166666666664,-22.541666666666668,-3.1458333333333335,-16.75,-43.6875,6.333333333333333,2627.0,12737.0,414.0,0.0,51.0,7.0,56.4011,103642
0.0,2825,706,2020-03-31,5714765.0,-35.40816326530612,-15.63265306122449,5.26530612244898,-15.142857142857142,-45.55102040816327,6.591836734693878,2627.0,12737.0,414.0,0.0,51.0,0.0,56.4011,103642
0.0,2841,16,2020-04-01,5714765.0,-34.02040816326531,-15.63265306122449,3.0816326530612246,-15.10204081632653,-46.06122448979592,6.775510204081633,2966.0,13883.0,509.0,0.0,69.0,18.0,56.4011,103642
0.0,3204,361,2020-04-02,5718361.0,-37.84,-19.38,-17.12,-16.52,-47.48,7.74,3342.0,15303.0,620.0,0.0,80.0,11.0,56.4011,103642
0.0,3575,374,2020-04-03,5696040.0,-44.391304347826086,-19.695652173913043,-15.195652173913043,-18.5,-45.391304347826086,8.021739130434783,3728.0,16683.0,710.0,0.0,97.0,17.0,56.4011,103642
0.0,3996,428,2020-04-04,5673413.0,-49.093023255813954,-24.046511627906977,-11.30232558139535,-15.162790697674419,-36.348837209302324,3.953488372093023,4173.0,17898.0,823.0,0.0,111.0,14.0,56.4011,103642
0.0,4661,665,2020-04-05,5673413.0,-43.23255813953488,-25.069767441860463,0.37209302325581395,-15.255813953488373,-36.69767441860465,3.0,4565.0,19335.0,875.0,0.0,126.0,15.0,56.4011,103642
0.0,4883,208,2020-04-06,5709188.0,-17.041666666666668,-6.979166666666667,5.541666666666667,-16.416666666666668,-43.6875,6.104166666666667,4950.0,20823.0,924.0,0.0,140.0,14.0,56.4011,103642
0.0,5153,269,2020-04-07,5714096.0,-16.79591836734694,-6.63265306122449,4.714285714285714,-15.673469387755102,-47.04081632653061,6.755102040816326,5172.0,21703.0,994.0,0.0,150.0,10.0,56.4011,103642
0.0,5391,239,2020-04-08,5714765.0,-17.163265306122447,-6.755102040816326,4.510204081632653,-15.89795918367347,-46.69387755102041,6.530612244897959,5429.0,22665.0,1079.0,0.0,179.0,29.0,56.4011,103642
0.0,5392,0,2020-04-09,5714096.0,-17.93877551020408,-6.183673469387755,1.0816326530612246,-16.06122448979592,-47.59183673469388,7.163265306122449,5655.0,23544.0,1162.0,0.0,193.0,14.0,56.4011,103642
0.0,5935,548,2020-04-10,5696040.0,-22.58695652173913,-8.543478260869565,0.6739130434782609,-17.23913043478261,-46.73913043478261,7.434782608695652,6510.0,26143.0,1312.0,0.0,250.0,57.0,56.4011,103642
0.0,6321,401,2020-04-11,5657903.0,-28.238095238095237,-8.30952380952381,-3.1904761904761907,-18.61904761904762,-36.666666666666664,3.5952380952380953,6510.0,26143.0,1312.0,0.0,250.0,0.0,56.4011,103642
0.0,7046,777,2020-04-12,5627463.0,-37.87179487179487,-24.82051282051282,-35.97435897435897,-23.0,-44.69230769230769,4.230769230769231,6893.0,27980.0,1376.0,0.0,274.0,24.0,56.4011,103642
0.0,7515,395,2020-04-13,5709188.0,-21.541666666666668,-11.895833333333334,-17.104166666666668,-18.6875,-45.395833333333336,7.041666666666667,7684.0,29850.0,1472.0,0.0,304.0,30.0,56.4011,103642
0.0,7796,281,2020-04-14,5714765.0,-18.816326530612244,-8.83673469387755,-8.714285714285714,-16.020408163265305,-45.265306122448976,6.979591836734694,7691.0,31051.0,1493.0,0.0,308.0,4.0,56.4011,103642
0.0,7802,6,2020-04-15,5714765.0,-16.081632653061224,-7.040816326530612,-5.8979591836734695,-15.693877551020408,-44.46938775510204,6.591836734693878,7941.0,31639.0,1556.0,0.0,329.0,21.0,56.4011,103642
0.0,8149,338,2020-04-16,5719048.0,-20.58,-11.98,-20.14,-17.92,-48.64,7.96,8280.0,32253.0,1636.0,0.0,357.0,28.0,56.4011,103642
0.0,8556,420,2020-04-17,5696040.0,-24.47826086956522,-10.065217391304348,-7.543478260869565,-17.32608695652174,-42.41304347826087,7.673913043478261,8675.0,33155.0,1693.0,0.0,374.0,17.0,56.4011,103642
0.0,8922,382,2020-04-18,5656497.0,-32.31707317073171,-13.121951219512194,-16.121951219512194,-13.146341463414634,-34.951219512195124,4.024390243902439,9047.0,34260.0,1755.0,0.0,391.0,17.0,56.4011,103642
0.0,9547,632,2020-04-19,5645230.0,-24.15,-10.875,-2.475,-13.05,-36.85,3.1,9433.0,35173.0,1797.0,0.0,411.0,20.0,56.4011,103642
0.0,9578,0,2020-04-20,5709188.0,-15.375,-7.416666666666667,4.854166666666667,-14.020833333333334,-41.666666666666664,5.625,9730.0,36465.0,1813.0,0.0,422.0,11.0,56.4011,103642
0.0,10309,731,2020-04-21,5714765.0,-15.673469387755102,-7.408163265306122,2.816326530612245,-14.877551020408163,-43.63265306122449,6.959183673469388,10106.0,37360.0,1880.0,0.0,449.0,27.0,56.4011,103642
0.0,10758,449,2020-04-22,5714765.0,-15.816326530612244,-7.448979591836735,4.591836734693878,-12.673469387755102,-43.775510204081634,6.795918367346939,10447.0,38257.0,2003.0,0.0,486.0,37.0,56.4011,103642
0.0,11137,374,2020-04-23,5713453.0,-15.938775510204081,-7.040816326530612,0.1836734693877551,-15.204081632653061,-44.16326530612245,7.081632653061225,10878.0,39767.0,2123.0,0.0,508.0,22.0,56.4011,103642
0.0,12111,983,2020-04-24,5696040.0,-22.304347826086957,-9.326086956521738,-3.217391304347826,-15.173913043478262,-41.21739130434783,6.978260869565218,11262.0,41062.0,2237.0,0.0,552.0,44.0,56.4011,103642
0.0,12762,683,2020-04-25,5645230.0,-27.55,-9.975,2.875,-14.35,-33.525,3.4,12256.0,44533.0,2366.0,2086.0,674.0,122.0,56.4011,103642
0.0,13191,429,2020-04-26,5645230.0,-21.875,-9.7,2.225,-11.8,-35.85,2.75,12968.0,46823.0,2410.0,2150.0,672.0,-2.0,56.4011,103642
0.0,13663,434,2020-04-27,5702864.0,-12.957446808510639,-5.23404255319149,12.148936170212766,-13.106382978723405,-38.212765957446805,5.680851063829787,13441.0,49833.0,2438.0,2150.0,680.0,8.0,56.4011,103642
0.0,14111,447,2020-04-28,5714765.0,-13.142857142857142,-4.938775510204081,6.285714285714286,-12.816326530612244,-40.97959183673469,3.7142857142857144,13879.0,52462.0,2485.0,2275.0,706.0,26.0,56.4011,103642
0.0,14573,462,2020-04-29,5714765.0,-12.795918367346939,-4.73469387755102,10.387755102040817,-12.0,-41.57142857142857,5.959183673469388,14735.0,54714.0,2610.0,2275.0,760.0,54.0,56.4011,103642
0.0,15085,513,2020-04-30,5702864.0,-13.46808510638298,-4.148936170212766,8.76595744680851,-12.617021276595745,-42.53191489361702,6.404255319148936,14758.0,56301.0,2621.0,2415.0,766.0,6.0,56.4011,103642
