People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-10,3565287.0,5.25,7.75,22.25,-3.75,2.125,0.125,2.0,54.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,3,2,2020-03-11,3565287.0,6.875,10.625,26.625,-3.875,0.5,0.375,3.0,71.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,5,2,2020-03-12,3565287.0,8.25,32.75,10.25,-8.75,-1.125,1.125,6.0,89.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,11,6,2020-03-13,3565287.0,-0.5,35.25,5.75,-13.5,-9.25,5.75,6.0,99.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,23,12,2020-03-14,3565287.0,-4.875,17.875,76.25,-10.375,-2.0,3.25,11.0,125.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,24,1,2020-03-15,3565287.0,-10.625,6.125,59.0,-18.0,-7.75,4.125,20.0,125.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,41,17,2020-03-16,3565287.0,-4.125,29.0,19.125,-17.0,-21.25,8.75,26.0,125.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,68,27,2020-03-17,3565287.0,-26.25,9.25,-5.5,-24.875,-29.5,13.5,41.0,125.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,96,28,2020-03-18,3565287.0,-25.0,7.125,51.75,-23.25,-32.0,13.5,68.0,125.0,0.0,0.0,0.0,0.0,735.8689,4842
0.0,157,61,2020-03-19,3565287.0,-31.75,3.125,-6.0,-30.875,-35.125,17.125,96.0,604.0,0.0,0.0,1.0,1.0,735.8689,4842
0.0,194,37,2020-03-20,3565287.0,-30.75,15.0,15.0,-30.375,-36.0,18.0,194.0,604.0,0.0,0.0,3.0,2.0,735.8689,4842
0.0,194,0,2020-03-21,3565287.0,-37.125,0.75,68.25,-32.375,-25.125,11.25,194.0,2106.0,0.0,0.0,4.0,1.0,735.8689,4842
0.0,327,133,2020-03-22,3565287.0,-41.625,-13.75,40.125,-40.0,-28.25,10.5,223.0,2877.0,0.0,0.0,5.0,1.0,735.8689,4842
0.0,415,88,2020-03-23,3565287.0,-46.25,-22.75,-39.375,-40.25,-42.375,20.125,415.0,4085.0,0.0,0.0,10.0,5.0,735.8689,4842
0.0,618,203,2020-03-24,3565287.0,-42.125,-15.5,23.0,-36.375,-46.0,20.25,618.0,4682.0,0.0,0.0,12.0,2.0,735.8689,4842
0.0,875,257,2020-03-25,3565287.0,-45.0,-18.625,-14.125,-39.375,-47.25,21.625,875.0,5023.0,0.0,0.0,19.0,7.0,735.8689,4842
0.0,1012,137,2020-03-26,3565287.0,-39.125,-13.5,46.5,-38.125,-46.625,20.5,1012.0,5625.0,0.0,0.0,21.0,2.0,735.8689,4842
0.0,1291,279,2020-03-27,3565287.0,-40.5,-13.625,45.375,-39.625,-46.25,22.0,1291.0,7109.0,0.0,0.0,27.0,6.0,735.8689,4842
0.0,1524,233,2020-03-28,3565287.0,-46.875,-18.625,35.125,-43.625,-34.75,14.625,1291.0,7109.0,0.0,0.0,27.0,0.0,735.8689,4842
0.0,1993,469,2020-03-29,3565287.0,-54.875,-30.0,-48.75,-53.625,-37.0,12.375,1993.0,9907.0,0.0,0.0,34.0,7.0,735.8689,4842
