People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,22,22,2020-03-16,705749.0,-31.0,-1.0,-35.0,-43.0,-40.0,16.0,17.0,96.0,0.0,0.0,0.0,0.0,11814.541000000001,61
0.0,22,0,2020-03-17,705749.0,-40.0,-6.0,-22.0,-55.0,-52.0,19.0,22.0,104.0,0.0,0.0,0.0,0.0,11814.541000000001,61
0.0,31,9,2020-03-18,705749.0,-45.0,-13.0,-32.0,-59.0,-56.0,21.0,31.0,138.0,0.0,0.0,0.0,0.0,11814.541000000001,61
0.0,40,9,2020-03-19,705749.0,-46.0,-11.0,-18.0,-63.0,-58.0,22.0,39.0,153.0,0.0,0.0,0.0,0.0,11814.541000000001,61
0.0,71,31,2020-03-20,705749.0,-50.0,-10.0,-16.0,-62.0,-56.0,22.0,71.0,501.0,0.0,0.0,1.0,1.0,11814.541000000001,61
0.0,98,27,2020-03-21,705749.0,-60.0,-14.0,-19.0,-59.0,-38.0,13.0,77.0,506.0,0.0,0.0,1.0,0.0,11814.541000000001,61
0.0,102,4,2020-03-22,705749.0,-60.0,-24.0,-25.0,-64.0,-42.0,12.0,98.0,957.0,0.0,0.0,1.0,0.0,11814.541000000001,61
0.0,120,18,2020-03-23,705749.0,-59.0,-32.0,-66.0,-72.0,-63.0,27.0,116.0,1113.0,0.0,0.0,2.0,1.0,11814.541000000001,61
0.0,141,21,2020-03-24,705749.0,-55.0,-24.0,-46.0,-71.0,-64.0,25.0,137.0,1195.0,0.0,0.0,2.0,0.0,11814.541000000001,61
0.0,187,46,2020-03-25,705749.0,-61.0,-31.0,-68.0,-75.0,-67.0,28.0,183.0,1423.0,0.0,0.0,2.0,0.0,11814.541000000001,61
0.0,231,44,2020-03-26,705749.0,-58.0,-25.0,-42.0,-73.0,-66.0,27.0,231.0,1626.0,0.0,21.0,3.0,1.0,11814.541000000001,61
0.0,271,40,2020-03-27,705749.0,-59.0,-27.0,-45.0,-70.0,-64.0,27.0,267.0,1897.0,0.0,49.0,3.0,0.0,11814.541000000001,61
0.0,304,33,2020-03-28,705749.0,-68.0,-30.0,-69.0,-70.0,-47.0,17.0,304.0,2211.0,0.0,51.0,4.0,1.0,11814.541000000001,61
0.0,342,38,2020-03-29,705749.0,-64.0,-30.0,-41.0,-68.0,-47.0,14.0,342.0,2469.0,0.0,66.0,5.0,1.0,11814.541000000001,61
0.0,401,59,2020-03-30,705749.0,-57.0,-26.0,-47.0,-72.0,-65.0,26.0,401.0,2682.0,0.0,106.0,9.0,4.0,11814.541000000001,61
0.0,495,94,2020-03-31,705749.0,-61.0,-32.0,-65.0,-77.0,-69.0,28.0,495.0,3262.0,0.0,121.0,9.0,0.0,11814.541000000001,61
0.0,586,91,2020-04-01,705749.0,-58.0,-26.0,-62.0,-76.0,-70.0,28.0,586.0,3262.0,0.0,142.0,11.0,2.0,11814.541000000001,61
0.0,653,67,2020-04-02,705749.0,-61.0,-30.0,-58.0,-77.0,-70.0,29.0,653.0,4417.0,0.0,173.0,12.0,1.0,11814.541000000001,61
