People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-07,1415786.0,1.0,3.5,-0.25,-4.0,-0.75,0.5,1.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,1,0,2020-03-08,1415786.0,1.25,1.25,0.25,2.5,-0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,1,0,2020-03-09,1415786.0,-1.0,1.75,-5.5,-1.25,2.25,0.75,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,3,2,2020-03-10,1415786.0,-0.5,0.25,1.0,-0.75,0.5,0.75,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,2,-1,2020-03-11,1415786.0,-1.75,0.0,1.75,-3.0,0.25,0.75,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,2,0,2020-03-12,1415786.0,-0.5,3.5,-4.5,-4.75,-1.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,2,0,2020-03-13,1415786.0,-3.0,7.75,-5.75,-5.5,-2.25,2.0,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,4,2,2020-03-14,1415786.0,-7.5,2.0,-3.5,-4.5,-4.25,2.25,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,6,2,2020-03-15,1415786.0,-8.0,3.0,-7.0,-7.5,-6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,8,2,2020-03-16,1415786.0,-9.75,5.75,-31.75,-10.25,-17.25,6.75,7.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,10,2,2020-03-17,1415786.0,-17.0,-2.5,-39.25,-16.5,-24.5,11.75,10.0,0.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,15,5,2020-03-18,1415786.0,-22.5,-3.5,-27.75,-25.25,-23.75,11.5,14.0,93.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,15,0,2020-03-19,1415786.0,-25.5,-4.25,-28.25,-31.75,-27.75,12.0,16.0,93.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,36,21,2020-03-20,1415786.0,-32.5,-6.75,-30.5,-37.75,-29.75,14.5,26.0,124.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,36,0,2020-03-21,1415786.0,-43.0,-19.75,-42.75,-44.75,-26.75,9.25,37.0,124.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,53,17,2020-03-22,1415786.0,-45.75,-22.0,-47.0,-49.25,-31.0,8.0,48.0,263.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,56,3,2020-03-23,1415786.0,-42.5,-17.0,-61.75,-51.0,-33.25,14.5,56.0,2955.0,0.0,0.0,0.0,0.0,219.9419,6423
0.0,70,14,2020-03-24,1415786.0,-45.0,-20.0,-62.75,-54.75,-38.5,17.5,77.0,3589.0,4.0,0.0,0.0,0.0,219.9419,6423
0.0,70,0,2020-03-25,1415786.0,-55.75,-32.5,-70.0,-62.5,-43.5,20.75,90.0,4357.0,6.0,0.0,0.0,0.0,219.9419,6423
0.0,87,17,2020-03-26,1415786.0,-57.5,-37.0,-73.25,-72.5,-52.0,23.5,95.0,4357.0,5.0,0.0,0.0,0.0,219.9419,6423
0.0,100,13,2020-03-27,1415786.0,-56.75,-35.25,-73.75,-74.25,-45.25,24.0,106.0,4357.0,7.0,0.0,0.0,0.0,219.9419,6423
0.0,145,45,2020-03-28,1415786.0,-62.0,-44.5,-70.0,-79.25,-45.25,13.25,120.0,4357.0,8.0,0.0,0.0,0.0,219.9419,6423
0.0,145,0,2020-03-29,1415786.0,-61.75,-43.0,-70.5,-80.25,-46.75,12.0,151.0,6849.0,12.0,0.0,0.0,0.0,219.9419,6423
0.0,167,22,2020-03-30,1415786.0,-54.0,-31.75,-71.5,-72.5,-44.75,19.5,175.0,7825.0,12.0,0.0,0.0,0.0,219.9419,6423
0.0,191,24,2020-03-31,1415786.0,-53.75,-35.25,-72.75,-71.75,-47.5,21.5,204.0,8471.0,12.0,49.0,0.0,0.0,219.9419,6423
0.0,209,18,2020-04-01,1415786.0,-53.75,-34.25,-65.25,-75.25,-47.0,20.75,208.0,8721.0,13.0,58.0,1.0,1.0,219.9419,6423
0.0,238,29,2020-04-02,1415786.0,-55.0,-32.0,-66.0,-78.0,-48.0,20.75,258.0,10206.0,15.0,69.0,1.0,0.0,219.9419,6423
0.0,306,68,2020-04-03,1415786.0,-53.5,-26.75,-68.5,-78.0,-46.25,22.5,285.0,10206.0,15.0,72.0,2.0,1.0,219.9419,6423
0.0,341,35,2020-04-04,1415786.0,-59.75,-38.25,-68.0,-82.0,-46.0,13.25,319.0,11959.0,18.0,78.0,3.0,1.0,219.9419,6423
0.0,362,21,2020-04-05,1415786.0,-60.25,-32.25,-71.5,-83.25,-47.75,11.75,351.0,12604.0,19.0,82.0,4.0,1.0,219.9419,6423
0.0,376,14,2020-04-06,1415786.0,-55.5,-29.0,-73.0,-77.75,-46.75,19.75,371.0,13155.0,21.0,85.0,4.0,0.0,219.9419,6423
0.0,401,25,2020-04-07,1415786.0,-55.5,-31.5,-71.0,-75.5,-49.0,21.5,387.0,13155.0,26.0,89.0,5.0,1.0,219.9419,6423
0.0,401,0,2020-04-08,1415786.0,-56.5,-34.0,-70.25,-76.75,-48.75,21.25,410.0,14739.0,42.0,113.0,5.0,0.0,219.9419,6423
0.0,437,36,2020-04-09,1415786.0,-56.0,-31.75,-70.25,-78.75,-49.75,21.5,435.0,15316.0,42.0,113.0,5.0,0.0,219.9419,6423
0.0,437,0,2020-04-10,1415786.0,-57.5,-32.25,-71.0,-80.5,-56.25,18.75,442.0,15707.0,42.0,251.0,6.0,1.0,219.9419,6423
0.0,459,22,2020-04-11,1415786.0,-60.0,-36.25,-70.75,-84.0,-47.25,13.75,465.0,17066.0,43.0,284.0,8.0,2.0,219.9419,6423
0.0,494,35,2020-04-12,1415786.0,-72.75,-45.25,-72.5,-84.75,-53.75,12.25,486.0,17482.0,44.0,300.0,8.0,0.0,219.9419,6423
0.0,499,5,2020-04-13,1415786.0,-60.25,-38.0,-72.75,-77.25,-46.75,20.0,499.0,18345.0,44.0,310.0,9.0,1.0,219.9419,6423
