People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,4,0,2020-03-04,12631646.0,12.861702127659575,7.223404255319149,5.26595744680851,2.095744680851064,2.5106382978723403,-0.5851063829787234,4.0,124.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,5,1,2020-03-05,12631646.0,9.97872340425532,6.946808510638298,4.585106382978723,1.202127659574468,2.595744680851064,-0.48936170212765956,5.0,165.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,5,0,2020-03-06,12620550.0,9.858695652173912,2.8152173913043477,4.858695652173913,3.369565217391304,3.119565217391304,-0.6739130434782609,5.0,180.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,6,1,2020-03-07,12556574.0,21.91764705882353,13.976470588235294,13.352941176470589,5.235294117647059,4.576470588235294,-0.8941176470588236,6.0,191.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,7,1,2020-03-08,12516119.0,22.817073170731707,13.329268292682928,24.829268292682926,5.5,2.3780487804878048,-0.6463414634146342,6.0,191.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,7,0,2020-03-09,12620550.0,3.0869565217391304,2.3043478260869565,-1.3804347826086956,0.18478260869565216,0.1956521739130435,0.6739130434782609,7.0,191.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,12,5,2020-03-10,12631646.0,7.638297872340425,6.75531914893617,2.8085106382978724,0.9787234042553191,-0.5106382978723404,0.1276595744680851,19.0,244.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,25,13,2020-03-11,12631646.0,9.53191489361702,8.382978723404255,3.25531914893617,1.553191489361702,-0.10638297872340426,-0.0425531914893617,19.0,244.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,32,7,2020-03-12,12631646.0,8.319148936170214,20.627659574468087,1.9893617021276595,0.46808510638297873,-0.26595744680851063,0.2553191489361702,25.0,266.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,46,14,2020-03-13,12620550.0,11.358695652173912,29.032608695652176,4.206521739130435,1.6521739130434783,-0.5543478260869565,-0.17391304347826086,32.0,294.0,0.0,0.0,0.0,0.0,228.0243,55519
0.0,64,18,2020-03-14,12580429.0,1.528735632183908,24.724137931034484,-2.103448275862069,-0.5057471264367817,1.3563218390804597,0.735632183908046,46.0,316.0,0.0,0.0,0.0,0.0,228.0243,55519
