People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-09,3134637.0,-1.6210526315789473,3.7578947368421054,-0.5473684210526316,-0.25263157894736843,2.305263157894737,0.28421052631578947,3.0,26.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,8,5,2020-03-10,3134637.0,3.3263157894736843,7.610526315789474,2.221052631578947,0.3684210526315789,1.0421052631578946,-0.031578947368421054,8.0,32.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,13,5,2020-03-11,3141078.0,8.84375,11.322916666666666,2.2708333333333335,0.5104166666666666,2.25,-0.34375,13.0,46.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,14,1,2020-03-12,3141078.0,4.5625,14.28125,1.2604166666666667,0.8541666666666666,0.6041666666666666,0.13541666666666666,14.0,67.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,17,3,2020-03-13,3120646.0,11.268817204301076,21.268817204301076,2.4193548387096775,1.7526881720430108,2.075268817204301,-0.45161290322580644,16.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,17,0,2020-03-14,3006963.0,-2.55,13.5375,-1.2625,-0.4,0.7125,0.3,17.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,18,1,2020-03-15,2885269.0,3.1470588235294117,22.58823529411765,1.3235294117647058,-0.07352941176470588,-1.3676470588235294,0.23529411764705882,18.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,23,5,2020-03-16,3140133.0,-0.22916666666666666,28.166666666666668,0.1875,-0.71875,-11.666666666666666,1.3020833333333333,22.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,23,0,2020-03-17,3146574.0,-16.38144329896907,20.68041237113402,2.783505154639175,-0.6907216494845361,-17.11340206185567,2.020618556701031,23.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,38,15,2020-03-18,3146574.0,-26.783505154639176,10.783505154639176,-0.5360824742268041,-1.1134020618556701,-20.072164948453608,2.618556701030928,29.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,44,6,2020-03-19,3146574.0,-31.329896907216494,4.546391752577319,-1.3608247422680413,-2.247422680412371,-23.443298969072163,3.2989690721649483,38.0,83.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,45,1,2020-03-20,3126142.0,-33.0531914893617,5.76595744680851,-0.40425531914893614,-2.617021276595745,-22.425531914893618,3.074468085106383,45.0,642.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,69,24,2020-03-21,3014670.0,-40.617283950617285,7.728395061728395,1.8641975308641976,-2.197530864197531,-9.88888888888889,1.123456790123457,68.0,1049.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,90,21,2020-03-22,2967891.0,-37.171052631578945,-5.092105263157895,-0.9605263157894737,-4.065789473684211,-15.328947368421053,0.868421052631579,90.0,1215.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,105,15,2020-03-23,3146574.0,-31.65979381443299,-0.865979381443299,0.6597938144329897,-2.484536082474227,-25.144329896907216,3.2989690721649483,105.0,2043.0,0.0,0.0,0.0,0.0,56.9284,55857
0.0,122,17,2020-03-24,3146574.0,-32.618556701030926,-3.11340206185567,1.824742268041237,-3.185567010309278,-28.515463917525775,3.5051546391752577,124.0,2315.0,27.0,0.0,0.0,0.0,56.9284,55857
0.0,146,24,2020-03-25,3146574.0,-32.08247422680412,-2.670103092783505,2.0103092783505154,-2.865979381443299,-29.15463917525773,3.443298969072165,145.0,2578.0,36.0,0.0,1.0,1.0,56.9284,55857
0.0,179,33,2020-03-26,3146574.0,-32.24742268041237,-5.010309278350515,1.6701030927835052,-3.350515463917526,-30.144329896907216,3.6082474226804124,179.0,2578.0,46.0,15.0,1.0,0.0,56.9284,55857
0.0,235,56,2020-03-27,3126142.0,-34.244680851063826,-4.446808510638298,1.7872340425531914,-3.6702127659574466,-28.627659574468087,3.776595744680851,235.0,3740.0,50.0,18.0,3.0,2.0,56.9284,55857
0.0,296,61,2020-03-28,3022051.0,-44.15853658536585,-4.890243902439025,0.8170731707317073,-4.512195121951219,-14.865853658536585,1.2682926829268293,298.0,4375.0,61.0,15.0,3.0,0.0,56.9284,55857
0.0,332,38,2020-03-29,2959289.0,-31.96,-8.453333333333333,0.48,-4.493333333333333,-17.56,0.9333333333333333,336.0,5013.0,68.0,17.0,4.0,1.0,56.9284,55857
0.0,424,88,2020-03-30,3146574.0,-24.567010309278352,-1.7938144329896908,4.577319587628866,-2.6907216494845363,-29.824742268041238,2.979381443298969,424.0,6162.0,74.0,23.0,6.0,2.0,56.9284,55857
0.0,495,71,2020-03-31,3146574.0,-29.216494845360824,-1.6804123711340206,2.6082474226804124,-2.845360824742268,-32.41237113402062,3.3402061855670104,497.0,6888.0,94.0,33.0,7.0,1.0,56.9284,55857
0.0,547,52,2020-04-01,3146574.0,-26.567010309278352,2.0103092783505154,3.020618556701031,-2.515463917525773,-32.27835051546392,3.3402061855670104,549.0,7304.0,99.0,118.0,9.0,2.0,56.9284,55857
0.0,614,67,2020-04-02,3146574.0,-34.05154639175258,-1.443298969072165,2.577319587628866,-3.3711340206185567,-33.5360824742268,3.731958762886598,614.0,8054.0,120.0,46.0,11.0,2.0,56.9284,55857
0.0,698,85,2020-04-03,3134012.0,-34.63157894736842,-2.0,-0.5052631578947369,-4.526315789473684,-32.48421052631579,4.126315789473685,699.0,8754.0,138.0,188.0,11.0,0.0,56.9284,55857
0.0,773,85,2020-04-04,3022051.0,-40.0609756097561,5.2926829268292686,3.097560975609756,-3.926829268292683,-15.414634146341463,1.1829268292682926,786.0,9454.0,153.0,188.0,14.0,3.0,56.9284,55857
0.0,841,77,2020-04-05,2940845.0,-29.904109589041095,0.863013698630137,7.561643835616438,-5.47945205479452,-18.027397260273972,0.8493150684931506,868.0,9973.0,165.0,188.0,22.0,8.0,56.9284,55857
0.0,946,77,2020-04-06,3146574.0,-7.278350515463917,-1.0103092783505154,1.4639175257731958,-3.9896907216494846,-32.29896907216495,3.3917525773195876,946.0,10653.0,179.0,284.0,25.0,3.0,56.9284,55857
0.0,1046,100,2020-04-07,3146574.0,-6.927835051546392,-0.3917525773195876,4.494845360824742,-3.402061855670103,-34.70103092783505,3.288659793814433,1048.0,11670.0,193.0,341.0,26.0,1.0,56.9284,55857
0.0,1145,99,2020-04-08,3146574.0,-7.587628865979381,-0.8041237113402062,1.8969072164948453,-3.1030927835051547,-34.34020618556701,3.4742268041237114,1145.0,12821.0,193.0,431.0,27.0,1.0,56.9284,55857
0.0,1270,125,2020-04-09,3146574.0,-8.412371134020619,-1.1134020618556701,0.010309278350515464,-3.8247422680412373,-35.76288659793814,4.020618556701031,1270.0,13703.0,0.0,476.0,29.0,2.0,56.9284,55857
0.0,1388,118,2020-04-10,3140133.0,-7.604166666666667,0.4375,2.7291666666666665,-3.9479166666666665,-40.635416666666664,3.6354166666666665,1388.0,14565.0,0.0,506.0,31.0,2.0,56.9284,55857
0.0,1377,107,2020-04-11,2820278.0,-15.661290322580646,0.08064516129032258,2.0806451612903225,-6.661290322580645,-24.483870967741936,1.6451612903225807,1510.0,15622.0,0.0,585.0,34.0,3.0,56.9284,55857
0.0,1432,69,2020-04-12,2737644.0,-22.089285714285715,-8.089285714285714,-3.3214285714285716,-11.839285714285714,-36.80357142857143,1.5,1587.0,16005.0,0.0,674.0,41.0,7.0,56.9284,55857
0.0,1710,123,2020-04-13,3146574.0,-7.22680412371134,-1.5876288659793814,0.010309278350515464,-4.154639175257732,-33.371134020618555,3.711340206185567,1710.0,16986.0,0.0,741.0,43.0,2.0,56.9284,55857
0.0,1899,189,2020-04-14,3146574.0,-8.29896907216495,-1.1443298969072164,0.8041237113402062,-3.814432989690722,-33.154639175257735,3.845360824742268,1899.0,16986.0,0.0,741.0,49.0,6.0,56.9284,55857
0.0,1995,96,2020-04-15,3146574.0,-5.77319587628866,-0.10309278350515463,0.4536082474226804,-2.8350515463917527,-32.68041237113402,3.597938144329897,1995.0,17874.0,0.0,908.0,53.0,4.0,56.9284,55857
0.0,2141,146,2020-04-16,3146574.0,-8.061855670103093,-0.26804123711340205,0.8969072164948454,-3.8969072164948453,-33.83505154639175,3.9896907216494846,2141.0,18534.0,0.0,987.0,60.0,7.0,56.9284,55857
0.0,2331,190,2020-04-17,3140133.0,-7.895833333333333,-0.3958333333333333,0.84375,-3.5520833333333335,-32.395833333333336,4.0,2332.0,19460.0,0.0,1007.0,64.0,4.0,56.9284,55857
