People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-08,2639485.0,18.045454545454547,8.318181818181818,8.477272727272727,5.090909090909091,2.0454545454545454,-0.2727272727272727,1.0,11.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,1,0,2020-03-09,2771654.0,2.5806451612903225,0.3387096774193548,-0.8709677419354839,0.3548387096774194,-3.5483870967741935,0.6290322580645161,1.0,11.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,1,0,2020-03-10,2775265.0,7.870967741935484,2.0483870967741935,3.4193548387096775,1.3225806451612903,-4.274193548387097,0.14516129032258066,1.0,17.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,1,0,2020-03-11,2778068.0,13.031746031746032,7.9523809523809526,8.746031746031745,3.5238095238095237,-3.126984126984127,-0.6190476190476191,1.0,41.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,4,3,2020-03-12,2778068.0,9.714285714285714,12.095238095238095,4.523809523809524,3.492063492063492,-6.650793650793651,-0.015873015873015872,4.0,41.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,6,2,2020-03-13,2757982.0,6.666666666666667,17.3,1.3666666666666667,3.0,-6.166666666666667,0.38333333333333336,6.0,93.0,0.0,0.0,0.0,0.0,35.5968,81759
0.0,8,2,2020-03-14,2693656.0,-3.7254901960784315,13.0,-2.9607843137254903,1.196078431372549,0.19607843137254902,0.5686274509803921,6.0,93.0,0.0,0.0,1.0,1.0,35.5968,81759
0.0,8,0,2020-03-15,2623536.0,2.4651162790697674,11.186046511627907,-2.2790697674418605,1.9534883720930232,-2.883720930232558,0.5348837209302325,8.0,135.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,11,3,2020-03-16,2768268.0,-0.2459016393442623,12.327868852459016,-0.5081967213114754,-0.2786885245901639,-15.049180327868852,2.3278688524590163,11.0,166.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,18,7,2020-03-17,2780088.0,-2.5873015873015874,13.396825396825397,1.5396825396825398,-0.5873015873015873,-18.444444444444443,2.7936507936507935,15.0,382.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,22,4,2020-03-18,2780088.0,-5.619047619047619,15.476190476190476,4.174603174603175,0.4126984126984127,-19.50793650793651,2.888888888888889,16.0,417.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,35,13,2020-03-19,2782891.0,-12.609375,10.15625,7.25,-0.8125,-22.5,3.609375,34.0,417.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,48,13,2020-03-20,2782921.0,-17.3125,10.765625,0.921875,-1.359375,-20.71875,3.78125,44.0,417.0,0.0,0.0,1.0,0.0,35.5968,81759
0.0,53,8,2020-03-21,2708810.0,-27.830188679245282,5.69811320754717,3.9245283018867925,-2.2452830188679247,-8.075471698113208,1.2830188679245282,55.0,417.0,0.0,0.0,2.0,1.0,35.5968,81759
0.0,60,7,2020-03-22,2647487.0,-27.0,-1.6666666666666667,-4.155555555555556,-4.666666666666667,-16.666666666666668,1.0666666666666667,64.0,417.0,0.0,0.0,2.0,0.0,35.5968,81759
0.0,84,19,2020-03-23,2782891.0,-18.796875,1.0625,2.109375,-2.734375,-23.375,3.96875,82.0,417.0,0.0,0.0,2.0,0.0,35.5968,81759
0.0,99,15,2020-03-24,2775265.0,-21.241935483870968,-3.1451612903225805,2.0806451612903225,-3.4838709677419355,-27.806451612903224,5.096774193548387,98.0,2086.0,0.0,0.0,2.0,0.0,35.5968,81759
0.0,133,34,2020-03-25,2782891.0,-18.125,0.71875,7.703125,-2.34375,-28.046875,4.375,126.0,2360.0,0.0,0.0,3.0,1.0,35.5968,81759
0.0,171,38,2020-03-26,2788376.0,-24.876923076923077,-5.523076923076923,5.292307692307692,-3.4153846153846152,-30.03076923076923,5.138461538461539,168.0,2869.0,0.0,0.0,3.0,0.0,35.5968,81759
0.0,204,33,2020-03-27,2778147.0,-27.761904761904763,-4.698412698412699,3.238095238095238,-5.095238095238095,-26.634920634920636,4.666666666666667,202.0,3229.0,27.0,0.0,4.0,1.0,35.5968,81759
0.0,254,60,2020-03-28,2714246.0,-32.148148148148145,-3.962962962962963,6.2407407407407405,-7.62962962962963,-13.092592592592593,1.5740740740740742,261.0,3671.0,27.0,0.0,5.0,1.0,35.5968,81759
0.0,315,61,2020-03-29,2656012.0,-23.58695652173913,-7.956521739130435,8.934782608695652,-6.086956521739131,-18.108695652173914,1.108695652173913,319.0,4194.0,55.0,0.0,6.0,1.0,35.5968,81759
0.0,367,41,2020-03-30,2782891.0,-28.875,-11.84375,4.3125,-5.34375,-31.4375,4.890625,368.0,4554.0,66.0,0.0,8.0,2.0,35.5968,81759
0.0,427,60,2020-03-31,2782891.0,-24.203125,-6.953125,6.421875,-3.828125,-34.984375,5.046875,428.0,4996.0,79.0,0.0,9.0,1.0,35.5968,81759
