People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-06,4351304.0,6.666666666666667,1.7142857142857142,0.7904761904761904,0.22857142857142856,2.1904761904761907,-0.05714285714285714,0.0,7.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,1,0,2020-03-07,4194562.0,19.377777777777776,13.911111111111111,3.0444444444444443,3.2555555555555555,2.1666666666666665,-0.35555555555555557,1.0,9.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,1,0,2020-03-08,4135108.0,18.176470588235293,14.058823529411764,4.541176470588235,3.541176470588235,0.8352941176470589,-0.2823529411764706,1.0,13.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,4,3,2020-03-09,4351304.0,10.209523809523809,7.533333333333333,2.7142857142857144,0.47619047619047616,2.4,-0.009523809523809525,4.0,17.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,5,1,2020-03-10,4361522.0,7.849056603773585,6.80188679245283,0.5849056603773585,0.330188679245283,0.3113207547169811,0.24528301886792453,6.0,28.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,8,3,2020-03-11,4351304.0,10.914285714285715,11.838095238095239,2.0095238095238095,1.2190476190476192,0.638095238095238,-0.11428571428571428,8.0,46.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,10,2,2020-03-12,4351304.0,5.133333333333334,16.419047619047618,0.7238095238095238,0.8761904761904762,-0.4,0.44761904761904764,8.0,56.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,12,2,2020-03-13,4351304.0,6.923809523809524,20.666666666666668,1.7904761904761906,1.2095238095238094,-2.0,0.3142857142857143,11.0,107.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,16,4,2020-03-14,4194562.0,-0.5555555555555556,15.811111111111112,-1.3777777777777778,1.1666666666666667,-0.5333333333333333,0.4777777777777778,14.0,139.0,0.0,0.0,0.0,0.0,113.9566,39486
0.0,18,2,2020-03-15,4143318.0,-1.569767441860465,12.895348837209303,0.5116279069767442,1.430232558139535,-4.558139534883721,0.4186046511627907,16.0,139.0,0.0,0.0,0.0,0.0,113.9566,39486
