People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-12,1344212.0,12.8125,28.75,5.0625,2.6875,3.1875,-0.25,1.0,65.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,1,0,2020-03-13,1344212.0,-6.4375,14.9375,-8.3125,-0.875,-2.6875,3.5,3.0,91.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,1,0,2020-03-14,1344212.0,0.875,19.6875,7.4375,-1.1875,-0.375,1.0625,3.0,91.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,2,1,2020-03-15,1344212.0,7.5625,34.0625,11.5,1.625,2.9375,0.5,3.0,91.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,17,15,2020-03-16,1344212.0,-3.4375,25.125,3.0625,-2.3125,-11.875,4.625,17.0,764.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,26,9,2020-03-17,1344212.0,-22.6875,8.75,-7.0625,-3.125,-20.5,7.9375,32.0,1303.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,35,9,2020-03-18,1344212.0,-23.1875,8.25,10.125,-4.0,-26.0,7.4375,43.0,1670.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,39,4,2020-03-19,1344212.0,-32.3125,2.25,-4.9375,-6.25,-28.625,8.1875,53.0,2004.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,54,15,2020-03-20,1344212.0,-37.875,-4.0625,-3.75,-8.0625,-32.0625,9.125,57.0,2264.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,67,13,2020-03-21,1344212.0,-40.125,-6.875,13.0625,-8.75,-22.1875,3.25,73.0,2264.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,81,14,2020-03-22,1344212.0,-33.4375,-1.3125,10.9375,-6.4375,-21.75,2.4375,89.0,2264.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,102,21,2020-03-23,1344212.0,-35.375,-8.0625,-3.3125,-8.4375,-33.375,8.625,107.0,2791.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,118,16,2020-03-24,1344212.0,-42.25,-16.75,-3.1875,-9.4375,-39.8125,9.5,125.0,3014.0,0.0,0.0,0.0,0.0,43.6336,30843
0.0,140,22,2020-03-25,1344212.0,-37.5625,-10.6875,2.8125,-10.0625,-37.5,9.0625,149.0,3177.0,0.0,7.0,0.0,0.0,43.6336,30843
0.0,154,14,2020-03-26,1344212.0,-37.75,-7.75,9.4375,-9.3125,-37.1875,8.9375,155.0,3394.0,0.0,16.0,0.0,0.0,43.6336,30843
0.0,165,11,2020-03-27,1344212.0,-44.125,-15.875,3.8125,-12.25,-39.5,10.5625,168.0,3394.0,0.0,24.0,1.0,1.0,43.6336,30843
0.0,208,43,2020-03-28,1344212.0,-43.3125,-14.6875,14.375,-12.375,-28.25,3.625,211.0,3394.0,0.0,36.0,1.0,0.0,43.6336,30843
0.0,248,40,2020-03-29,1344212.0,-45.875,-15.875,-12.5,-13.3125,-27.4375,3.375,253.0,3394.0,0.0,41.0,3.0,2.0,43.6336,30843
0.0,270,22,2020-03-30,1344212.0,-46.1875,-23.125,-9.625,-12.0,-40.375,9.75,275.0,3394.0,49.0,41.0,3.0,0.0,43.6336,30843
0.0,297,27,2020-03-31,1344212.0,-36.625,-10.0625,4.0625,-10.0,-40.3125,8.9375,303.0,6088.0,57.0,68.0,5.0,2.0,43.6336,30843
0.0,297,0,2020-04-01,1344212.0,-29.0,1.1875,-4.125,-10.6875,-41.0,9.0,344.0,6088.0,63.0,80.0,7.0,2.0,43.6336,30843
0.0,368,71,2020-04-02,1344212.0,-55.4375,-28.75,-17.1875,-13.25,-44.25,11.75,376.0,6088.0,68.0,94.0,7.0,0.0,43.6336,30843
0.0,421,53,2020-04-03,1344212.0,-52.25,-21.3125,-18.3125,-14.25,-44.8125,12.625,432.0,6088.0,75.0,113.0,9.0,2.0,43.6336,30843
0.0,444,23,2020-04-04,1344212.0,-52.9375,-22.625,3.875,-15.625,-31.6875,4.3125,456.0,6088.0,83.0,140.0,10.0,1.0,43.6336,30843
0.0,459,15,2020-04-05,1344212.0,-46.8125,-18.6875,4.0625,-14.5,-29.25,3.25,470.0,6088.0,86.0,156.0,10.0,0.0,43.6336,30843
0.0,488,29,2020-04-06,1344212.0,-26.5625,-8.375,8.625,-12.0625,-42.4375,9.125,499.0,6088.0,92.0,158.0,10.0,0.0,43.6336,30843
0.0,510,22,2020-04-07,1344212.0,-27.625,-8.6875,6.0625,-10.875,-44.0625,9.5625,519.0,6088.0,99.0,176.0,12.0,2.0,43.6336,30843
0.0,529,19,2020-04-08,1344212.0,-26.375,-7.0625,4.1875,-12.25,-44.0,9.5,537.0,6088.0,101.0,187.0,14.0,2.0,43.6336,30843
0.0,556,27,2020-04-09,1344212.0,-32.6875,-10.5,-10.8125,-12.875,-44.9375,10.375,560.0,6088.0,105.0,202.0,16.0,2.0,43.6336,30843
0.0,583,27,2020-04-10,1344212.0,-34.5,-16.0625,-15.875,-13.0625,-56.5,10.0625,586.0,6088.0,111.0,246.0,17.0,1.0,43.6336,30843
0.0,613,30,2020-04-11,1344212.0,-30.125,-0.8125,-12.125,-13.875,-30.6875,3.1875,616.0,6088.0,114.0,256.0,19.0,2.0,43.6336,30843
0.0,630,17,2020-04-12,1327427.0,-48.13333333333333,-29.666666666666668,5.266666666666667,-15.266666666666667,-41.733333333333334,2.6,633.0,6088.0,120.0,266.0,19.0,0.0,43.6336,30843
0.0,693,63,2020-04-13,1344212.0,-27.75,-8.75,-12.3125,-12.4375,-43.3125,9.9375,698.0,11608.0,124.0,273.0,19.0,0.0,43.6336,30843
0.0,733,40,2020-04-14,1344212.0,-21.5,-4.625,10.0625,-10.5625,-41.8125,8.6875,734.0,11608.0,124.0,292.0,20.0,1.0,43.6336,30843
0.0,768,35,2020-04-15,1344212.0,-19.5,-4.6875,3.0,-11.0625,-41.125,9.1875,770.0,14076.0,126.0,305.0,24.0,4.0,43.6336,30843
0.0,794,26,2020-04-16,1344212.0,-21.5,-5.5,2.4375,-11.0625,-40.3125,9.4375,796.0,14076.0,130.0,333.0,27.0,3.0,43.6336,30843
