People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-06,6279560.0,0.8333333333333334,-2.75,-0.3333333333333333,-1.5,1.5,1.125,3.0,26.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,3,0,2020-03-07,6279560.0,8.166666666666666,6.291666666666667,21.75,4.0,4.625,-0.875,3.0,41.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,5,2,2020-03-08,6279560.0,11.375,6.583333333333333,58.208333333333336,5.041666666666667,2.5833333333333335,-0.5833333333333334,3.0,52.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,5,0,2020-03-09,6279560.0,8.041666666666666,7.375,33.583333333333336,2.25,2.125,-0.5833333333333334,5.0,73.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,8,3,2020-03-10,6279560.0,6.625,5.083333333333333,16.25,0.875,2.0833333333333335,-0.041666666666666664,6.0,89.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,9,1,2020-03-11,6279560.0,6.291666666666667,5.541666666666667,16.541666666666668,0.875,1.25,-0.20833333333333334,9.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,13,4,2020-03-12,6279560.0,11.625,20.833333333333332,18.875,0.125,0.125,0.041666666666666664,12.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,20,7,2020-03-13,6279560.0,4.875,20.625,21.458333333333332,-3.9166666666666665,-2.4166666666666665,2.0833333333333335,17.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,22,2,2020-03-14,6279560.0,-2.3333333333333335,13.083333333333334,28.5,-1.875,-0.16666666666666666,1.8333333333333333,26.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,26,4,2020-03-15,6279560.0,-8.458333333333334,4.333333333333333,14.875,-5.041666666666667,-7.875,2.7916666666666665,31.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,44,18,2020-03-16,6279560.0,-1.7083333333333333,23.416666666666668,11.083333333333334,-9.708333333333334,-19.958333333333332,7.291666666666667,37.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,64,20,2020-03-17,6279560.0,-18.083333333333332,7.416666666666667,26.625,-11.833333333333334,-26.666666666666668,10.041666666666666,57.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,91,27,2020-03-18,6279560.0,-21.666666666666668,4.791666666666667,21.958333333333332,-15.0,-30.916666666666668,11.333333333333334,85.0,94.0,0.0,0.0,0.0,0.0,626.6731,9707
0.0,111,20,2020-03-19,6279560.0,-22.541666666666668,4.25,24.291666666666668,-17.666666666666668,-33.041666666666664,12.666666666666666,107.0,94.0,0.0,0.0,1.0,1.0,626.6731,9707
0.0,151,40,2020-03-20,6279560.0,-25.541666666666668,4.458333333333333,30.708333333333332,-19.75,-34.333333333333336,13.583333333333334,149.0,94.0,0.0,0.0,1.0,0.0,626.6731,9707
0.0,197,46,2020-03-21,6279560.0,-34.875,0.6666666666666666,15.916666666666666,-16.833333333333332,-22.041666666666668,6.583333333333333,190.0,94.0,0.0,0.0,2.0,1.0,626.6731,9707
0.0,248,51,2020-03-22,6279560.0,-38.333333333333336,-11.458333333333334,19.291666666666668,-19.708333333333332,-29.75,5.916666666666667,244.0,94.0,0.0,0.0,3.0,1.0,626.6731,9707
0.0,294,46,2020-03-23,6279560.0,-33.958333333333336,-11.25,-30.458333333333332,-26.708333333333332,-39.75,16.125,288.0,94.0,0.0,0.0,3.0,0.0,626.6731,9707
0.0,350,56,2020-03-24,6279560.0,-36.875,-14.708333333333334,18.875,-23.166666666666668,-43.041666666666664,15.916666666666666,349.0,94.0,0.0,0.0,3.0,0.0,626.6731,9707
0.0,423,73,2020-03-25,6279560.0,-42.833333333333336,-22.625,-28.291666666666668,-28.458333333333332,-45.708333333333336,18.666666666666668,423.0,94.0,0.0,0.0,4.0,1.0,626.6731,9707
0.0,592,169,2020-03-26,6279560.0,-34.666666666666664,-14.25,32.166666666666664,-23.833333333333332,-44.208333333333336,16.666666666666668,580.0,94.0,132.0,0.0,4.0,0.0,626.6731,9707
0.0,790,198,2020-03-27,6279560.0,-38.458333333333336,-18.125,25.375,-26.5,-43.125,16.291666666666668,774.0,94.0,173.0,25.0,5.0,1.0,626.6731,9707
0.0,1024,234,2020-03-28,6279560.0,-47.541666666666664,-24.333333333333332,-18.083333333333332,-25.75,-32.0,9.083333333333334,992.0,11516.0,226.0,0.0,5.0,0.0,626.6731,9707
0.0,1272,248,2020-03-29,6279560.0,-42.708333333333336,-23.875,11.791666666666666,-23.416666666666668,-36.208333333333336,6.833333333333333,1239.0,12354.0,277.0,0.0,10.0,5.0,626.6731,9707
