People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,2,2020-03-11,9963684.0,6.430379746835443,9.455696202531646,3.6582278481012658,0.7088607594936709,1.4303797468354431,-0.10126582278481013,497.0,57.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,2,0,2020-03-12,9972792.0,8.05,23.8375,7.6875,0.7,0.8125,0.125,702.0,91.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,14,12,2020-03-13,9976532.0,-2.728395061728395,25.765432098765434,2.6296296296296298,-0.6790123456790124,-2.6419753086419755,1.7407407407407407,945.0,133.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,24,10,2020-03-14,9945441.0,-2.8333333333333335,18.17948717948718,5.205128205128205,0.0,2.4358974358974357,1.294871794871795,1196.0,205.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,32,8,2020-03-15,9898280.0,0.8904109589041096,17.36986301369863,24.671232876712327,-0.6164383561643836,-2.780821917808219,0.8493150684931506,1480.0,205.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,54,22,2020-03-16,9964583.0,-10.240506329113924,26.354430379746834,3.1392405063291138,-2.8860759493670884,-15.139240506329115,3.9240506329113924,1933.0,272.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,63,9,2020-03-17,9972792.0,-25.3125,12.225,10.5875,-3.375,-21.875,5.3375,2393.0,626.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,119,56,2020-03-18,9972792.0,-30.1125,7.4375,2.5125,-4.3625,-24.8125,6.2375,2913.0,1215.0,0.0,0.0,0.0,0.0,177.6655,56539
0.0,249,130,2020-03-19,9972792.0,-29.725,12.2375,2.825,-5.525,-26.7875,6.9375,3392.0,1785.0,0.0,0.0,3.0,3.0,177.6655,56539
0.0,402,153,2020-03-20,9972792.0,-39.5625,0.9125,-1.05,-6.4,-30.6,8.4625,4027.0,2746.0,0.0,0.0,3.0,0.0,177.6655,56539
