People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-12,2938958.0,11.342105263157896,17.69736842105263,1.5789473684210527,3.0789473684210527,-11.368421052631579,-0.013157894736842105,1.0,41.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,4,3,2020-03-13,2947588.0,4.701298701298701,16.31168831168831,1.6623376623376624,2.4285714285714284,-12.415584415584416,0.3246753246753247,4.0,41.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,6,2,2020-03-14,2878678.0,5.142857142857143,19.485714285714284,4.128571428571429,1.9142857142857144,0.08571428571428572,0.0,6.0,84.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,6,0,2020-03-15,2793031.0,3.984126984126984,15.380952380952381,2.888888888888889,2.0476190476190474,-3.5396825396825395,0.07936507936507936,10.0,84.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,12,6,2020-03-16,2932166.0,3.72,18.933333333333334,1.44,0.52,-12.04,1.0266666666666666,12.0,277.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,21,9,2020-03-17,2938958.0,-0.27631578947368424,15.197368421052632,1.513157894736842,0.39473684210526316,-15.539473684210526,1.486842105263158,21.0,368.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,34,13,2020-03-18,2947588.0,-1.844155844155844,13.272727272727273,1.6363636363636365,-0.36363636363636365,-18.48051948051948,1.6233766233766234,34.0,479.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,50,16,2020-03-19,2947588.0,-7.142857142857143,15.545454545454545,1.4415584415584415,-0.5584415584415584,-19.051948051948052,1.9090909090909092,50.0,552.0,0.0,0.0,0.0,0.0,63.7056,46923
0.0,79,29,2020-03-20,2947588.0,-16.12987012987013,9.363636363636363,-0.1038961038961039,-2.6233766233766236,-22.792207792207794,2.6623376623376624,80.0,695.0,0.0,0.0,1.0,1.0,63.7056,46923
0.0,95,17,2020-03-21,2878678.0,-21.17142857142857,10.82857142857143,-1.1571428571428573,-3.585714285714286,-12.157142857142857,0.6857142857142857,140.0,695.0,0.0,0.0,1.0,0.0,63.7056,46923
0.0,200,106,2020-03-22,2849932.0,-28.26865671641791,-6.940298507462686,-1.0746268656716418,-5.641791044776119,-17.64179104477612,0.7313432835820896,207.0,1114.0,33.0,0.0,1.0,0.0,63.7056,46923
0.0,246,42,2020-03-23,2940796.0,-20.210526315789473,-1.1973684210526316,0.11842105263157894,-4.657894736842105,-24.93421052631579,2.6973684210526314,249.0,1143.0,33.0,0.0,1.0,0.0,63.7056,46923
0.0,316,70,2020-03-24,2947588.0,-19.90909090909091,-5.077922077922078,-0.4805194805194805,-3.2337662337662336,-27.948051948051948,2.8051948051948052,320.0,1552.0,86.0,0.0,1.0,0.0,63.7056,46923
0.0,371,55,2020-03-25,2947588.0,-16.246753246753247,-3.688311688311688,0.974025974025974,-3.2987012987012987,-30.272727272727273,2.74025974025974,377.0,1566.0,117.0,0.0,2.0,1.0,63.7056,46923
0.0,479,108,2020-03-26,2947588.0,-16.324675324675326,-3.1948051948051948,0.4935064935064935,-3.935064935064935,-30.103896103896105,2.831168831168831,485.0,2291.0,150.0,0.0,6.0,4.0,63.7056,46923
0.0,571,92,2020-03-27,2947588.0,-21.38961038961039,-7.818181818181818,1.2987012987012987,-5.48051948051948,-30.98701298701299,3.142857142857143,579.0,2560.0,185.0,0.0,8.0,2.0,63.7056,46923
0.0,643,81,2020-03-28,2878678.0,-23.685714285714287,-6.228571428571429,0.5285714285714286,-6.171428571428572,-16.457142857142856,0.7714285714285715,663.0,2560.0,219.0,0.0,13.0,5.0,63.7056,46923
0.0,718,86,2020-03-29,2849932.0,-21.611940298507463,-2.955223880597015,1.626865671641791,-7.776119402985074,-19.29850746268657,0.7313432835820896,758.0,2560.0,235.0,0.0,14.0,1.0,63.7056,46923
0.0,744,-1,2020-03-30,2940796.0,-18.644736842105264,-4.7631578947368425,-1.0921052631578947,-5.644736842105263,-29.105263157894736,2.8421052631578947,847.0,2989.0,195.0,0.0,16.0,2.0,63.7056,46923
0.0,926,178,2020-03-31,2947588.0,-16.935064935064936,-4.298701298701299,-1.2727272727272727,-5.025974025974026,-32.54545454545455,3.103896103896104,937.0,3537.0,211.0,0.0,20.0,4.0,63.7056,46923
0.0,1060,134,2020-04-01,2947588.0,-6.740259740259741,10.948051948051948,-0.06493506493506493,-4.090909090909091,-33.103896103896105,2.7012987012987013,1073.0,3712.0,332.0,0.0,22.0,2.0,63.7056,46923
0.0,1164,104,2020-04-02,2947588.0,-12.558441558441558,12.87012987012987,0.07792207792207792,-4.857142857142857,-33.22077922077922,2.987012987012987,1177.0,4753.0,360.0,0.0,26.0,4.0,63.7056,46923
0.0,1345,181,2020-04-03,2947588.0,-19.12987012987013,8.662337662337663,-1.3246753246753247,-7.35064935064935,-35.05194805194805,3.5324675324675323,1358.0,4753.0,420.0,0.0,29.0,3.0,63.7056,46923
0.0,1414,93,2020-04-04,2890975.0,-39.056338028169016,-10.845070422535212,-4.704225352112676,-8.704225352112676,-21.197183098591548,1.0422535211267605,1455.0,5133.0,436.0,0.0,35.0,6.0,63.7056,46923
0.0,1590,177,2020-04-05,2870859.0,-32.768115942028984,-12.623188405797102,-1.8985507246376812,-9.289855072463768,-23.52173913043478,0.6666666666666666,1638.0,5580.0,475.0,0.0,43.0,8.0,63.7056,46923
0.0,1682,99,2020-04-06,2932166.0,-9.8,-2.32,-2.36,-7.04,-35.49333333333333,3.16,1738.0,18632.0,475.0,0.0,51.0,8.0,63.7056,46923
0.0,1895,176,2020-04-07,2947588.0,-9.948051948051948,-2.168831168831169,-2.896103896103896,-6.12987012987013,-38.506493506493506,3.3376623376623376,1915.0,18632.0,377.0,0.0,59.0,8.0,63.7056,46923
0.0,1986,88,2020-04-08,2954578.0,-8.948717948717949,-1.6025641025641026,-1.5256410256410255,-6.3076923076923075,-38.756410256410255,3.3974358974358974,2003.0,18632.0,410.0,0.0,67.0,8.0,63.7056,46923
0.0,2240,254,2020-04-09,2954578.0,-9.08974358974359,-0.6923076923076923,-1.3205128205128205,-6.5,-38.85897435897436,3.2435897435897436,2260.0,18632.0,441.0,0.0,76.0,9.0,63.7056,46923
0.0,2444,208,2020-04-10,2947588.0,-10.935064935064934,-1.3896103896103895,-1.844155844155844,-9.441558441558442,-46.84415584415584,3.1948051948051948,2469.0,18632.0,482.0,0.0,82.0,6.0,63.7056,46923
0.0,2323,150,2020-04-11,2679875.0,-16.563636363636363,0.01818181818181818,-4.418181818181818,-12.8,-28.70909090909091,1.1090909090909091,2642.0,18632.0,528.0,0.0,93.0,11.0,63.7056,46923
0.0,2346,113,2020-04-12,2584250.0,-26.755102040816325,-17.387755102040817,-8.959183673469388,-17.551020408163264,-42.48979591836735,1.163265306122449,2781.0,18632.0,548.0,0.0,96.0,3.0,63.7056,46923
0.0,2865,156,2020-04-13,2938958.0,-7.9868421052631575,-2.6973684210526314,-3.473684210526316,-6.368421052631579,-37.421052631578945,3.289473684210526,2942.0,28042.0,549.0,0.0,98.0,2.0,63.7056,46923
0.0,3059,145,2020-04-14,2947588.0,-6.974025974025974,-1.3246753246753247,-2.4285714285714284,-5.363636363636363,-35.896103896103895,3.1948051948051948,3087.0,34791.0,596.0,0.0,111.0,13.0,63.7056,46923
0.0,3332,273,2020-04-15,2947588.0,-3.844155844155844,0.4155844155844156,-2.012987012987013,-4.233766233766234,-35.688311688311686,3.012987012987013,3360.0,34791.0,645.0,0.0,122.0,11.0,63.7056,46923
0.0,3592,260,2020-04-16,2947588.0,-5.961038961038961,-0.37662337662337664,-0.6623376623376623,-4.896103896103896,-34.81818181818182,3.1298701298701297,3624.0,34791.0,682.0,0.0,129.0,7.0,63.7056,46923
0.0,3761,169,2020-04-17,2947588.0,-8.987012987012987,-3.1948051948051948,-2.155844155844156,-6.623376623376624,-35.05194805194805,3.5324675324675323,3793.0,34791.0,736.0,0.0,140.0,11.0,63.7056,46923
0.0,3435,156,2020-04-18,2631281.0,-13.923076923076923,-1.9807692307692308,-4.615384615384615,-9.5,-22.48076923076923,1.0769230769230769,3974.0,34791.0,782.0,0.0,152.0,12.0,63.7056,46923
0.0,3520,240,2020-04-19,2561464.0,-17.791666666666668,-7.979166666666667,-7.958333333333333,-14.770833333333334,-34.041666666666664,1.0208333333333333,4274.0,34791.0,808.0,0.0,159.0,7.0,63.7056,46923
0.0,4400,232,2020-04-20,2932166.0,-5.626666666666667,-1.1466666666666667,-1.36,-5.506666666666667,-31.213333333333335,2.8933333333333335,4512.0,46922.0,819.0,0.0,169.0,10.0,63.7056,46923
0.0,4614,201,2020-04-21,2938958.0,-4.855263157894737,0.05263157894736842,-0.6447368421052632,-4.5,-32.86842105263158,2.8421052631578947,4716.0,47648.0,858.0,0.0,183.0,14.0,63.7056,46923
0.0,4862,179,2020-04-22,2954578.0,-5.371794871794871,-0.48717948717948717,-2.269230769230769,-4.846153846153846,-35.05128205128205,3.0,4894.0,48941.0,910.0,0.0,193.0,10.0,63.7056,46923
0.0,5114,257,2020-04-23,2947588.0,-7.558441558441558,-1.4805194805194806,-2.4155844155844157,-5.025974025974026,-35.77922077922078,3.4155844155844157,5153.0,50236.0,946.0,0.0,201.0,8.0,63.7056,46923
