People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-06,1804702.0,8.333333333333334,3.5416666666666665,3.5208333333333335,5.354166666666667,-1.5,-0.5,0.0,17.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,1,0,2020-03-07,1722319.0,10.75,7.416666666666667,8.88888888888889,6.194444444444445,-1.8611111111111112,-0.2777777777777778,1.0,17.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,1,0,2020-03-08,1687299.0,12.28125,7.53125,10.25,4.96875,0.46875,-0.1875,1.0,17.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,3,2,2020-03-09,1811674.0,1.8571428571428572,1.5714285714285714,-0.4489795918367347,0.40816326530612246,-0.42857142857142855,0.4897959183673469,3.0,36.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,3,0,2020-03-10,1824111.0,3.0,2.6470588235294117,1.5098039215686274,2.156862745098039,-1.2745098039215685,0.37254901960784315,3.0,47.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,5,2,2020-03-11,1818898.0,6.86,6.08,4.3,2.54,-1.26,-0.08,5.0,47.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,10,5,2020-03-12,1824111.0,6.019607843137255,9.686274509803921,2.450980392156863,3.2941176470588234,-6.568627450980392,0.37254901960784315,10.0,80.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,14,4,2020-03-13,1818898.0,2.2,12.86,1.48,1.78,-8.98,0.82,13.0,80.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,17,4,2020-03-14,1730335.0,-14.945945945945946,3.054054054054054,-3.2972972972972974,1.4054054054054055,-2.7837837837837838,0.5945945945945946,14.0,80.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,16,-1,2020-03-15,1687299.0,-5.90625,8.0,-1.46875,1.25,-0.75,0.375,17.0,80.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,18,1,2020-03-16,1818898.0,1.2,13.32,0.84,0.58,-6.56,1.36,18.0,170.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,23,5,2020-03-17,1828753.0,-7.615384615384615,8.884615384615385,1.1923076923076923,1.4807692307692308,-12.73076923076923,1.9423076923076923,21.0,206.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,24,1,2020-03-18,1828753.0,-10.923076923076923,7.576923076923077,1.4615384615384615,1.3076923076923077,-16.25,2.019230769230769,24.0,206.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,29,5,2020-03-19,1833756.0,-21.50943396226415,1.6415094339622642,-0.3018867924528302,-3.69811320754717,-20.037735849056602,2.8867924528301887,27.0,240.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,33,4,2020-03-20,1838074.0,-23.537037037037038,1.8333333333333333,-0.6851851851851852,-1.1666666666666667,-21.074074074074073,2.925925925925926,32.0,240.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,35,5,2020-03-21,1730335.0,-31.7027027027027,4.135135135135135,2.945945945945946,4.4324324324324325,-5.108108108108108,1.1081081081081081,38.0,356.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,48,13,2020-03-22,1696333.0,-30.848484848484848,-4.0,-0.21212121212121213,-1.5757575757575757,-14.090909090909092,0.9090909090909091,48.0,356.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,51,0,2020-03-23,1829114.0,-14.653846153846153,-0.23076923076923078,2.2115384615384617,-1.0961538461538463,-20.192307692307693,2.480769230769231,50.0,356.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,66,15,2020-03-24,1839445.0,-17.12962962962963,-1.1851851851851851,1.9814814814814814,0.018518518518518517,-23.72222222222222,2.7222222222222223,52.0,975.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,71,5,2020-03-25,1834442.0,-14.547169811320755,-0.6792452830188679,3.3207547169811322,-0.018867924528301886,-24.660377358490567,2.660377358490566,61.0,1304.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,74,3,2020-03-26,1839445.0,-20.24074074074074,-3.5925925925925926,1.1111111111111112,-0.9074074074074074,-24.37037037037037,2.962962962962963,73.0,1584.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,80,6,2020-03-27,1829800.0,-21.673076923076923,-1.0769230769230769,1.4230769230769231,-0.9423076923076923,-23.326923076923077,3.2884615384615383,85.0,1761.0,0.0,0.0,0.0,0.0,25.4161,76824
0.0,92,16,2020-03-28,1730335.0,-40.513513513513516,-6.027027027027027,-0.4864864864864865,-1.2972972972972974,-8.486486486486486,1.3513513513513513,96.0,1904.0,0.0,0.0,2.0,2.0,25.4161,76824
0.0,99,7,2020-03-29,1696333.0,-23.78787878787879,-3.121212121212121,12.181818181818182,-2.090909090909091,-15.06060606060606,0.7878787878787878,108.0,1968.0,0.0,0.0,2.0,0.0,25.4161,76824
0.0,142,39,2020-03-30,1824111.0,-16.50980392156863,-2.784313725490196,3.803921568627451,-2.1372549019607843,-23.666666666666668,2.6666666666666665,145.0,2584.0,0.0,0.0,2.0,0.0,25.4161,76824
0.0,167,25,2020-03-31,1839445.0,-14.425925925925926,-2.1666666666666665,3.611111111111111,-0.6296296296296297,-26.64814814814815,2.740740740740741,172.0,2931.0,0.0,0.0,3.0,1.0,25.4161,76824
0.0,205,37,2020-04-01,1840740.0,-13.222222222222221,1.3518518518518519,3.6666666666666665,-0.6666666666666666,-27.944444444444443,2.685185185185185,210.0,3475.0,0.0,0.0,4.0,1.0,25.4161,76824
0.0,240,35,2020-04-02,1840054.0,-24.925925925925927,-4.12962962962963,0.6481481481481481,-1.8703703703703705,-29.333333333333332,3.6481481481481484,246.0,3978.0,0.0,0.0,5.0,1.0,25.4161,76824
0.0,276,34,2020-04-03,1833432.0,-27.056603773584907,-0.05660377358490566,-1.6603773584905661,-2.2830188679245285,-27.49056603773585,3.9056603773584904,279.0,4487.0,0.0,0.0,6.0,1.0,25.4161,76824
0.0,308,41,2020-04-04,1730335.0,-35.37837837837838,3.4864864864864864,1.8108108108108107,-1.3783783783783783,-11.891891891891891,1.054054054054054,321.0,5058.0,0.0,0.0,6.0,0.0,25.4161,76824
0.0,345,40,2020-04-05,1696333.0,-31.09090909090909,-1.4242424242424243,6.515151515151516,-5.515151515151516,-17.606060606060606,0.8484848484848485,363.0,5558.0,0.0,0.0,8.0,2.0,25.4161,76824
0.0,412,52,2020-04-06,1837456.0,-6.722222222222222,-0.9814814814814815,2.6481481481481484,-2.9814814814814814,-28.185185185185187,2.7037037037037037,409.0,6378.0,0.0,0.0,8.0,0.0,25.4161,76824
