People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,2,2020-03-05,8882190.0,8.285714285714286,8.714285714285714,34.142857142857146,4.9523809523809526,2.0476190476190474,-0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,2,0,2020-03-06,8882190.0,-1.7142857142857142,0.6666666666666666,-8.333333333333334,-1.2857142857142858,1.380952380952381,1.4285714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,4,2,2020-03-07,8882190.0,11.476190476190476,9.238095238095237,42.04761904761905,7.523809523809524,5.476190476190476,-1.1428571428571428,4.0,0.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,5,1,2020-03-08,8882190.0,9.80952380952381,7.095238095238095,93.0952380952381,10.80952380952381,2.0476190476190474,-0.6190476190476191,6.0,31.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,5,0,2020-03-09,8882190.0,10.047619047619047,8.571428571428571,88.38095238095238,2.142857142857143,1.4285714285714286,-0.19047619047619047,11.0,35.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,15,10,2020-03-10,8882190.0,6.476190476190476,9.80952380952381,33.714285714285715,-0.47619047619047616,-0.38095238095238093,0.6190476190476191,15.0,44.0,0.0,0.0,0.0,0.0,1215.1991,7354
0.0,23,8,2020-03-11,8882190.0,7.571428571428571,11.095238095238095,38.95238095238095,-2.5238095238095237,-1.1904761904761905,0.7619047619047619,24.0,57.0,0.0,0.0,1.0,1.0,1215.1991,7354
0.0,29,6,2020-03-12,8882190.0,6.571428571428571,24.428571428571427,17.142857142857142,-6.476190476190476,-3.238095238095238,2.0476190476190474,30.0,74.0,0.0,0.0,1.0,0.0,1215.1991,7354
0.0,49,20,2020-03-13,8882190.0,2.238095238095238,27.095238095238095,32.23809523809524,-10.857142857142858,-7.809523809523809,4.904761904761905,50.0,97.0,0.0,0.0,1.0,0.0,1215.1991,7354
0.0,69,20,2020-03-14,8882190.0,-1.8571428571428572,17.428571428571427,74.80952380952381,-6.476190476190476,-1.0,2.9047619047619047,50.0,97.0,0.0,0.0,1.0,0.0,1215.1991,7354
0.0,72,3,2020-03-15,8882190.0,-10.0,8.952380952380953,67.9047619047619,-12.095238095238095,-7.095238095238095,4.238095238095238,98.0,120.0,0.0,0.0,2.0,1.0,1215.1991,7354
0.0,176,104,2020-03-16,8882190.0,-5.619047619047619,21.238095238095237,10.80952380952381,-21.476190476190474,-21.238095238095237,10.095238095238095,178.0,120.0,0.0,0.0,2.0,0.0,1215.1991,7354
0.0,250,74,2020-03-17,8882190.0,-25.142857142857142,4.0476190476190474,14.0,-27.142857142857142,-32.61904761904762,15.19047619047619,267.0,163.0,0.0,0.0,3.0,1.0,1215.1991,7354
0.0,397,147,2020-03-18,8882190.0,-28.523809523809526,0.42857142857142855,42.04761904761905,-28.285714285714285,-37.095238095238095,16.285714285714285,427.0,190.0,0.0,0.0,5.0,2.0,1215.1991,7354
0.0,633,236,2020-03-19,8882190.0,-33.857142857142854,-2.619047619047619,3.0952380952380953,-35.76190476190476,-40.714285714285715,19.285714285714285,742.0,210.0,0.0,0.0,9.0,4.0,1215.1991,7354
0.0,798,165,2020-03-20,8882190.0,-32.95238095238095,5.0,48.0,-36.142857142857146,-41.61904761904762,19.80952380952381,890.0,264.0,0.0,0.0,11.0,2.0,1215.1991,7354
0.0,1187,389,2020-03-21,8882190.0,-39.285714285714285,-0.2857142857142857,50.23809523809524,-34.333333333333336,-28.238095238095237,12.476190476190476,1327.0,294.0,0.0,0.0,16.0,5.0,1215.1991,7354
0.0,1693,506,2020-03-22,8882190.0,-56.23809523809524,-29.476190476190474,0.8095238095238095,-47.666666666666664,-36.666666666666664,11.952380952380953,1914.0,327.0,0.0,0.0,20.0,4.0,1215.1991,7354
0.0,2425,732,2020-03-23,8882190.0,-54.904761904761905,-33.04761904761905,-50.095238095238095,-54.61904761904762,-52.61904761904762,24.761904761904763,2844.0,359.0,0.0,0.0,27.0,7.0,1215.1991,7354
0.0,3030,605,2020-03-24,8882190.0,-44.095238095238095,-19.523809523809526,36.523809523809526,-43.95238095238095,-53.095238095238095,22.904761904761905,3675.0,8325.0,0.0,0.0,44.0,17.0,1215.1991,7354
0.0,3472,442,2020-03-25,8882190.0,-49.95238095238095,-27.0,-31.19047619047619,-50.80952380952381,-54.38095238095238,25.333333333333332,4402.0,10452.0,0.0,0.0,62.0,18.0,1215.1991,7354
0.0,5398,1926,2020-03-26,8882190.0,-44.19047619047619,-19.285714285714285,46.76190476190476,-45.42857142857143,-54.476190476190474,23.952380952380953,6876.0,13661.0,0.0,0.0,81.0,19.0,1215.1991,7354
