People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,11,9,2020-03-04,26157256.0,8.508196721311476,6.0,5.278688524590164,1.3114754098360655,3.0655737704918034,-0.21311475409836064,6.0,48.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,23,12,2020-03-05,26157256.0,11.442622950819672,9.21311475409836,11.836065573770492,2.9672131147540983,3.8688524590163933,-1.0163934426229508,22.0,76.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,31,8,2020-03-06,26157256.0,1.9344262295081966,0.2786885245901639,1.1147540983606556,2.3278688524590163,2.8360655737704916,0.47540983606557374,33.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,76,45,2020-03-07,26157256.0,15.327868852459016,7.491803278688525,16.737704918032787,6.032786885245901,4.590163934426229,-0.8524590163934426,76.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,106,30,2020-03-08,26157256.0,19.39344262295082,11.918032786885245,34.24590163934426,5.901639344262295,4.114754098360656,-0.7540983606557377,105.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,142,36,2020-03-09,26157256.0,12.655737704918034,11.80327868852459,29.42622950819672,2.540983606557377,2.6721311475409837,-0.5901639344262295,142.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,150,8,2020-03-10,26157256.0,4.245901639344262,4.639344262295082,4.442622950819672,0.2786885245901639,0.9016393442622951,0.7868852459016393,173.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,220,70,2020-03-11,26157256.0,6.721311475409836,10.032786885245901,10.278688524590164,-0.3114754098360656,0.6557377049180327,0.3770491803278688,216.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,327,107,2020-03-12,26157256.0,9.819672131147541,26.065573770491802,7.442622950819672,-0.5245901639344263,0.16393442622950818,0.45901639344262296,216.0,92.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,421,94,2020-03-13,26157256.0,1.459016393442623,26.737704918032787,5.426229508196721,-4.918032786885246,-4.131147540983607,3.1311475409836067,421.0,2779.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,588,167,2020-03-14,26157256.0,1.9180327868852458,27.672131147540984,18.9672131147541,-4.39344262295082,0.14754098360655737,1.5081967213114753,524.0,2779.0,0.0,0.0,0.0,0.0,412.5211,47126
0.0,615,27,2020-03-15,26157256.0,-0.03278688524590164,25.24590163934426,22.934426229508198,-6.557377049180328,-2.9344262295081966,1.5245901639344261,729.0,4543.0,0.0,0.0,3.0,3.0,412.5211,47126
0.0,967,352,2020-03-16,26157256.0,0.19672131147540983,37.540983606557376,7.229508196721311,-8.901639344262295,-15.147540983606557,6.065573770491803,950.0,4543.0,0.0,0.0,7.0,4.0,412.5211,47126
0.0,1578,611,2020-03-17,26157256.0,-22.78688524590164,17.278688524590162,0.04918032786885246,-11.360655737704919,-24.360655737704917,10.344262295081966,1700.0,5506.0,0.0,0.0,7.0,0.0,412.5211,47126
0.0,3037,1459,2020-03-18,26157256.0,-25.37704918032787,13.524590163934427,16.868852459016395,-12.918032786885245,-29.278688524590162,11.475409836065573,2382.0,12215.0,0.0,0.0,12.0,5.0,412.5211,47126
0.0,5685,2648,2020-03-19,26157256.0,-29.688524590163933,9.360655737704919,4.540983606557377,-16.065573770491802,-32.32786885245902,13.065573770491802,4152.0,18132.0,0.0,0.0,12.0,0.0,412.5211,47126
0.0,7953,2268,2020-03-20,26157256.0,-33.295081967213115,10.60655737704918,8.01639344262295,-20.737704918032787,-35.540983606557376,15.475409836065573,7102.0,25325.0,0.0,0.0,35.0,23.0,412.5211,47126
0.0,11725,3772,2020-03-21,26157256.0,-38.78688524590164,2.737704918032787,19.639344262295083,-18.885245901639344,-23.62295081967213,6.032786885245901,10356.0,35081.0,1603.0,0.0,44.0,9.0,412.5211,47126
0.0,15775,4050,2020-03-22,26157256.0,-42.114754098360656,-9.655737704918034,12.081967213114755,-25.0,-27.934426229508198,5.081967213114754,15168.0,46233.0,1974.0,0.0,114.0,70.0,412.5211,47126
0.0,20775,5000,2020-03-23,26157256.0,-53.278688524590166,-27.049180327868854,-19.721311475409838,-28.934426229508198,-46.83606557377049,18.19672131147541,20875.0,57414.0,2635.0,0.0,114.0,0.0,412.5211,47126
0.0,25679,4904,2020-03-24,26157256.0,-44.80327868852459,-15.131147540983607,2.262295081967213,-23.34426229508197,-47.67213114754098,17.770491803278688,25665.0,65605.0,3234.0,0.0,210.0,96.0,412.5211,47126
0.0,30839,5160,2020-03-25,26157256.0,-44.721311475409834,-16.147540983606557,-3.5901639344262297,-25.57377049180328,-47.91803278688525,18.40983606557377,30811.0,72668.0,3805.0,0.0,285.0,75.0,412.5211,47126
0.0,37875,7036,2020-03-26,26157256.0,-39.967213114754095,-11.01639344262295,18.934426229508198,-25.21311475409836,-47.57377049180328,17.459016393442624,37258.0,84846.0,6844.0,0.0,385.0,100.0,412.5211,47126
0.0,44874,6999,2020-03-27,26157256.0,-43.63934426229508,-14.98360655737705,19.557377049180328,-29.21311475409836,-47.49180327868852,18.704918032786885,44635.0,101118.0,8526.0,2045.0,519.0,134.0,412.5211,47126
0.0,52408,7534,2020-03-28,26157256.0,-50.34426229508197,-21.0327868852459,-7.622950819672131,-29.901639344262296,-34.0,7.704918032786885,52318.0,103616.0,10054.0,2726.0,728.0,209.0,412.5211,47126
0.0,59646,7238,2020-03-29,26157256.0,-48.442622950819676,-21.885245901639344,-11.131147540983607,-31.65573770491803,-34.540983606557376,5.983606557377049,59513.0,112847.0,12075.0,3572.0,965.0,237.0,412.5211,47126
0.0,66661,7015,2020-03-30,26157256.0,-43.131147540983605,-17.65573770491803,-7.344262295081967,-29.442622950819672,-48.49180327868852,17.901639344262296,66497.0,119971.0,13721.0,4204.0,1218.0,253.0,412.5211,47126
0.0,75831,9170,2020-03-31,26157256.0,-41.81967213114754,-16.131147540983605,-0.819672131147541,-25.81967213114754,-50.0655737704918,18.21311475409836,75795.0,129391.0,15904.0,4975.0,1550.0,332.0,412.5211,47126
0.0,83946,8115,2020-04-01,26157256.0,-37.52459016393443,-8.508196721311476,12.688524590163935,-25.83606557377049,-49.950819672131146,17.983606557377048,83712.0,137168.0,18368.0,6142.0,1941.0,391.0,412.5211,47126
0.0,92504,8558,2020-04-02,26157256.0,-40.80327868852459,-10.639344262295081,5.901639344262295,-28.459016393442624,-50.32786885245902,18.229508196721312,92381.0,146584.0,20817.0,7434.0,2373.0,432.0,412.5211,47126
0.0,102985,10481,2020-04-03,26157256.0,-45.80327868852459,-12.59016393442623,-12.918032786885245,-32.967213114754095,-50.59016393442623,20.524590163934427,102863.0,157657.0,23696.0,8886.0,2935.0,562.0,412.5211,47126
0.0,113831,10846,2020-04-04,26157256.0,-46.18032786885246,-12.573770491803279,20.83606557377049,-28.459016393442624,-35.278688524590166,7.360655737704918,113704.0,169917.0,26383.0,10478.0,3565.0,630.0,412.5211,47126
0.0,123158,9327,2020-04-05,26157256.0,-44.39344262295082,-14.885245901639344,13.065573770491802,-28.65573770491803,-35.47540983606557,5.622950819672131,122031.0,180249.0,28092.0,12187.0,4159.0,594.0,412.5211,47126
0.0,131813,8655,2020-04-06,26157256.0,-31.16393442622951,-7.688524590163935,18.639344262295083,-27.59016393442623,-49.60655737704918,16.885245901639344,130689.0,190122.0,30203.0,13366.0,4758.0,599.0,412.5211,47126
0.0,139873,8060,2020-04-07,26157256.0,-36.59016393442623,0.819672131147541,15.0,-23.950819672131146,-51.08196721311475,17.60655737704918,138863.0,201195.0,32083.0,14590.0,5489.0,731.0,412.5211,47126
0.0,151059,11186,2020-04-08,26157256.0,-41.50819672131148,-0.26229508196721313,3.6721311475409837,-25.934426229508198,-51.36065573770492,18.540983606557376,149316.0,215837.0,34432.0,16353.0,6268.0,779.0,412.5211,47126
0.0,161776,10717,2020-04-09,26157256.0,-43.31147540983606,-1.2131147540983607,-10.459016393442623,-29.295081967213115,-52.18032786885246,19.688524590163933,159937.0,231612.0,36576.0,18297.0,7067.0,799.0,412.5211,47126
0.0,172345,10569,2020-04-10,26157256.0,-46.19672131147541,-1.639344262295082,-13.19672131147541,-32.78688524590164,-56.26229508196721,21.049180327868854,170512.0,247373.0,38818.0,20249.0,7844.0,777.0,412.5211,47126
0.0,181023,8678,2020-04-11,26157256.0,-41.049180327868854,9.672131147540984,18.327868852459016,-27.59016393442623,-36.36065573770492,7.327868852459017,180458.0,260522.0,40679.0,22025.0,8627.0,783.0,412.5211,47126
0.0,189030,8007,2020-04-12,26157256.0,-56.0655737704918,-37.295081967213115,11.37704918032787,-29.491803278688526,-41.295081967213115,5.688524590163935,188694.0,272907.0,42594.0,23887.0,9385.0,758.0,412.5211,47126
0.0,195746,6716,2020-04-13,26157256.0,-44.114754098360656,-21.524590163934427,-15.081967213114755,-31.83606557377049,-51.049180327868854,19.34426229508197,195031.0,283326.0,42637.0,23887.0,10056.0,671.0,412.5211,47126
0.0,203017,7271,2020-04-14,26157256.0,-37.540983606557376,-9.901639344262295,8.081967213114755,-26.016393442622952,-49.557377049180324,18.278688524590162,202208.0,296935.0,44286.0,25589.0,10834.0,778.0,412.5211,47126
0.0,214451,11434,2020-04-15,26157256.0,-34.78688524590164,-8.229508196721312,3.80327868852459,-27.918032786885245,-49.49180327868852,18.491803278688526,213779.0,312233.0,46539.0,28004.0,11586.0,752.0,412.5211,47126
