People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-12,666400.0,6.0476190476190474,10.523809523809524,-0.3333333333333333,0.5238095238095238,1.2857142857142858,0.0,1.0,12.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,1,0,2020-03-13,660663.0,2.35,11.8,-0.15,0.85,-1.95,0.75,1.0,39.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,1,0,2020-03-14,610173.0,0.6,11.8,-0.7333333333333333,-3.533333333333333,-0.4,0.5333333333333333,1.0,54.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,1,0,2020-03-15,603891.0,-4.714285714285714,9.714285714285714,-1.4285714285714286,-4.0,-1.7142857142857142,0.6428571428571429,1.0,95.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,1,0,2020-03-16,672682.0,-4.318181818181818,12.454545454545455,-2.8636363636363638,-1.8636363636363635,-11.636363636363637,1.9545454545454546,1.0,123.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,3,2,2020-03-17,672682.0,-6.409090909090909,10.272727272727273,-0.9545454545454546,-1.2272727272727273,-12.363636363636363,2.409090909090909,3.0,220.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,6,3,2020-03-18,672682.0,-12.090909090909092,9.136363636363637,-2.6363636363636362,-2.8636363636363638,-14.727272727272727,3.090909090909091,6.0,268.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,19,13,2020-03-19,672682.0,-17.363636363636363,6.818181818181818,-6.2727272727272725,-4.954545454545454,-19.045454545454547,4.090909090909091,15.0,493.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,25,6,2020-03-20,667464.0,-32.285714285714285,8.380952380952381,-4.714285714285714,-7.0476190476190474,-20.61904761904762,4.761904761904762,20.0,800.0,0.0,0.0,0.0,0.0,11.0393,69001
0.0,27,2,2020-03-21,620814.0,-44.6875,1.625,-1.8125,-12.4375,-15.0625,1.6875,28.0,1141.0,3.0,0.0,0.0,0.0,11.0393,69001
0.0,27,0,2020-03-22,605749.0,-39.92857142857143,-5.571428571428571,3.7857142857142856,-13.714285714285714,-17.5,0.7857142857142857,28.0,1260.0,3.0,0.0,0.0,0.0,11.0393,69001
0.0,28,1,2020-03-23,672682.0,-24.727272727272727,-2.090909090909091,-0.5,-6.454545454545454,-21.727272727272727,4.2272727272727275,30.0,1353.0,4.0,0.0,0.0,0.0,11.0393,69001
0.0,34,6,2020-03-24,672682.0,-30.954545454545453,-3.590909090909091,-2.272727272727273,-5.7272727272727275,-25.954545454545453,5.0,34.0,1454.0,5.0,0.0,0.0,0.0,11.0393,69001
0.0,42,8,2020-03-25,672682.0,-29.5,-3.772727272727273,-2.0,-7.090909090909091,-25.681818181818183,5.136363636363637,39.0,1734.0,8.0,0.0,0.0,0.0,11.0393,69001
0.0,47,5,2020-03-26,672682.0,-29.227272727272727,-2.4545454545454546,-1.3636363636363635,-7.636363636363637,-24.545454545454547,5.136363636363637,52.0,2039.0,10.0,0.0,0.0,0.0,11.0393,69001
0.0,63,16,2020-03-27,667464.0,-31.476190476190474,-2.8095238095238093,-0.8571428571428571,-8.476190476190476,-27.047619047619047,4.476190476190476,65.0,2427.0,13.0,15.0,0.0,0.0,11.0393,69001
0.0,86,23,2020-03-28,630264.0,-39.88235294117647,-2.0,2.2941176470588234,-12.529411764705882,-14.764705882352942,1.4705882352941178,83.0,2809.0,16.0,16.0,1.0,1.0,11.0393,69001
0.0,87,4,2020-03-29,603891.0,-34.07142857142857,-7.571428571428571,-1.8571428571428572,-16.071428571428573,-15.214285714285714,0.8571428571428571,98.0,3355.0,17.0,18.0,1.0,0.0,11.0393,69001
0.0,101,10,2020-03-30,672682.0,-25.59090909090909,-3.409090909090909,-1.3181818181818181,-8.090909090909092,-25.681818181818183,4.545454545454546,109.0,3728.0,19.0,19.0,2.0,1.0,11.0393,69001
0.0,113,12,2020-03-31,672682.0,-27.954545454545453,-5.5,-2.227272727272727,-8.090909090909092,-29.318181818181817,5.454545454545454,126.0,4131.0,21.0,30.0,3.0,1.0,11.0393,69001
