People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,2,2,2020-03-07,5148714.0,10.652173913043478,5.934782608695652,18.847826086956523,10.08695652173913,3.0,-0.8913043478260869,2.0,8.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,2,0,2020-03-08,5130563.0,13.954545454545455,7.659090909090909,15.022727272727273,11.409090909090908,1.9318181818181819,-0.5227272727272727,2.0,8.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,3,1,2020-03-09,5140026.0,10.755555555555556,7.2444444444444445,12.844444444444445,5.066666666666666,3.111111111111111,-0.7777777777777778,7.0,24.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,7,4,2020-03-10,5148714.0,9.673913043478262,7.8478260869565215,11.608695652173912,4.913043478260869,1.391304347826087,-0.17391304347826086,7.0,24.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,10,3,2020-03-11,5148714.0,10.304347826086957,7.413043478260869,14.456521739130435,4.760869565217392,1.2608695652173914,-0.6304347826086957,9.0,32.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,7,-3,2020-03-12,5148714.0,11.130434782608695,14.521739130434783,13.73913043478261,6.260869565217392,0.21739130434782608,-0.5,10.0,48.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,8,1,2020-03-13,5148714.0,8.73913043478261,21.41304347826087,16.217391304347824,5.826086956521739,-1.6304347826086956,-0.9130434782608695,12.0,75.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,19,11,2020-03-14,5140026.0,7.311111111111111,17.444444444444443,22.533333333333335,7.444444444444445,0.9777777777777777,-0.17777777777777778,13.0,110.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,19,0,2020-03-15,5130563.0,7.704545454545454,25.863636363636363,7.181818181818182,9.090909090909092,-1.75,0.5,19.0,154.0,0.0,0.0,0.0,0.0,173.3174,30061
0.0,30,11,2020-03-16,5140026.0,2.8,22.666666666666668,2.2444444444444445,2.022222222222222,-8.0,2.8666666666666667,28.0,235.0,0.0,0.0,1.0,1.0,173.3174,30061
