People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-08,610591.0,16.333333333333332,12.75,5.166666666666667,2.6666666666666665,4.666666666666667,-0.16666666666666666,1.0,28.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,1,0,2020-03-09,617826.0,9.461538461538462,10.692307692307692,6.153846153846154,1.1538461538461537,1.1538461538461537,-0.23076923076923078,1.0,34.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,1,0,2020-03-10,617826.0,2.5384615384615383,3.6923076923076925,-0.23076923076923078,0.07692307692307693,0.3076923076923077,0.9230769230769231,1.0,40.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,1,0,2020-03-11,617826.0,4.538461538461538,7.3076923076923075,-0.46153846153846156,0.0,0.6153846153846154,0.6923076923076923,1.0,62.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,2,1,2020-03-12,617826.0,5.846153846153846,18.153846153846153,1.1538461538461537,0.3076923076923077,1.7692307692307692,0.5384615384615384,2.0,97.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,2,0,2020-03-13,617826.0,-3.076923076923077,14.461538461538462,-2.1538461538461537,-6.769230769230769,-2.769230769230769,2.3846153846153846,2.0,142.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,5,3,2020-03-14,610591.0,-4.666666666666667,15.916666666666666,2.25,-4.166666666666667,-2.0,0.3333333333333333,4.0,227.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,5,0,2020-03-15,610591.0,-5.333333333333333,20.25,0.9166666666666666,-6.25,-8.166666666666666,0.3333333333333333,4.0,348.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,12,7,2020-03-16,617826.0,-6.615384615384615,24.0,2.1538461538461537,-5.153846153846154,-9.76923076923077,3.4615384615384617,8.0,421.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,12,0,2020-03-17,617826.0,-22.46153846153846,10.692307692307692,-0.9230769230769231,-5.384615384615385,-20.384615384615383,5.461538461538462,10.0,495.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,13,1,2020-03-18,623989.0,-27.0,1.8571428571428572,3.642857142857143,-5.714285714285714,-26.785714285714285,5.428571428571429,19.0,592.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,13,0,2020-03-19,623989.0,-31.5,1.0714285714285714,3.5714285714285716,-7.928571428571429,-29.857142857142858,6.428571428571429,22.0,645.0,0.0,0.0,0.0,0.0,68.1416,9217
0.0,18,5,2020-03-20,617826.0,-40.0,-7.384615384615385,-1.6153846153846154,-21.0,-34.07692307692308,6.769230769230769,29.0,779.0,0.0,0.0,2.0,2.0,68.1416,9217
0.0,49,31,2020-03-21,610591.0,-47.25,-14.416666666666666,-7.333333333333333,-10.333333333333334,-29.333333333333332,1.0833333333333333,29.0,779.0,0.0,0.0,2.0,0.0,68.1416,9217
0.0,52,3,2020-03-22,610591.0,-49.75,-15.416666666666666,1.5,-12.833333333333334,-29.75,0.8333333333333334,52.0,1106.0,0.0,0.0,2.0,0.0,68.1416,9217
0.0,75,23,2020-03-23,623989.0,-38.714285714285715,-15.285714285714286,-1.1428571428571428,-9.642857142857142,-39.0,6.285714285714286,75.0,1106.0,0.0,0.0,5.0,3.0,68.1416,9217
0.0,95,20,2020-03-24,623989.0,-39.285714285714285,-14.428571428571429,0.5,-8.428571428571429,-43.714285714285715,7.071428571428571,95.0,1440.0,0.0,0.0,7.0,2.0,68.1416,9217
0.0,123,28,2020-03-25,623989.0,-33.857142857142854,-3.0714285714285716,0.35714285714285715,-9.357142857142858,-43.0,7.0,123.0,1589.0,0.0,0.0,8.0,1.0,68.1416,9217
0.0,150,27,2020-03-26,623989.0,-46.214285714285715,-24.428571428571427,2.857142857142857,-9.928571428571429,-49.0,7.857142857142857,158.0,1850.0,0.0,0.0,9.0,1.0,68.1416,9217
0.0,178,28,2020-03-27,623989.0,-47.857142857142854,-25.214285714285715,0.7142857142857143,-21.0,-50.285714285714285,5.142857142857143,184.0,2077.0,18.0,0.0,10.0,1.0,68.1416,9217
0.0,204,26,2020-03-28,610591.0,-60.333333333333336,-32.666666666666664,-3.5,-15.5,-39.333333333333336,1.25,211.0,2163.0,18.0,0.0,12.0,2.0,68.1416,9217
0.0,228,24,2020-03-29,610591.0,-64.0,-39.25,-9.416666666666666,-9.75,-40.333333333333336,1.1666666666666667,235.0,3466.0,18.0,0.0,12.0,0.0,68.1416,9217
0.0,228,0,2020-03-30,623989.0,-45.142857142857146,-26.5,-2.2142857142857144,-11.642857142857142,-50.357142857142854,7.571428571428571,256.0,3674.0,18.0,0.0,12.0,0.0,68.1416,9217
0.0,282,54,2020-03-31,623989.0,-41.5,-22.642857142857142,5.142857142857143,-9.857142857142858,-51.92857142857143,7.642857142857143,293.0,3957.0,36.0,15.0,13.0,1.0,68.1416,9217
0.0,307,25,2020-04-01,623989.0,-41.714285714285715,-16.785714285714285,1.8571428571428572,-9.857142857142858,-51.57142857142857,7.857142857142857,321.0,4174.0,45.0,15.0,16.0,3.0,68.1416,9217
0.0,333,26,2020-04-02,623989.0,-46.785714285714285,-22.428571428571427,-6.571428571428571,-12.071428571428571,-52.42857142857143,5.0,338.0,4711.0,45.0,15.0,17.0,1.0,68.1416,9217
0.0,383,50,2020-04-03,623989.0,-47.0,-23.857142857142858,-11.428571428571429,-21.642857142857142,-52.57142857142857,5.428571428571429,389.0,4839.0,45.0,15.0,17.0,0.0,68.1416,9217
0.0,450,67,2020-04-04,610591.0,-59.583333333333336,-29.666666666666668,-3.25,-15.833333333333334,-41.916666666666664,1.3333333333333333,461.0,5383.0,45.0,15.0,20.0,3.0,68.1416,9217
