People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,1,1,2020-03-18,1732383.0,-12.404255319148936,8.97872340425532,-0.3404255319148936,-0.3617021276595745,-18.29787234042553,2.574468085106383,1.0,122.0,0.0,0.0,0.0,0.0,73.9691,24038
0.0,2,1,2020-03-19,1731108.0,-15.425531914893616,7.1063829787234045,-0.5957446808510638,-1.4680851063829787,-20.02127659574468,2.723404255319149,2.0,143.0,0.0,0.0,0.0,0.0,73.9691,24038
0.0,8,6,2020-03-20,1731108.0,-25.29787234042553,3.106382978723404,-1.0,-3.723404255319149,-23.04255319148936,3.1914893617021276,7.0,219.0,0.0,0.0,0.0,0.0,73.9691,24038
0.0,12,4,2020-03-21,1607056.0,-29.974358974358974,6.9743589743589745,-3.9743589743589745,-3.1794871794871793,-15.871794871794872,0.8717948717948718,11.0,330.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,14,4,2020-03-22,1591970.0,-33.32432432432432,-6.8108108108108105,1.2972972972972974,-2.5405405405405403,-21.16216216216216,0.6486486486486487,12.0,385.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,14,0,2020-03-23,1724269.0,-25.065217391304348,-3.0217391304347827,-5.326086956521739,-4.760869565217392,-29.717391304347824,3.760869565217391,16.0,444.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,20,6,2020-03-24,1724269.0,-28.23913043478261,-7.565217391304348,-0.782608695652174,-4.760869565217392,-33.84782608695652,3.739130434782609,20.0,610.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,37,17,2020-03-25,1732383.0,-37.319148936170215,-18.127659574468087,-2.765957446808511,-5.74468085106383,-38.744680851063826,4.48936170212766,39.0,759.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,52,13,2020-03-26,1739355.0,-29.9375,-13.354166666666666,0.5416666666666666,-5.958333333333333,-37.75,3.6666666666666665,51.0,1031.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,76,24,2020-03-27,1739222.0,-35.270833333333336,-17.1875,-2.4583333333333335,-7.479166666666667,-37.583333333333336,3.9166666666666665,76.0,1779.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,95,19,2020-03-28,1618624.0,-33.9,-12.85,-0.025,-5.225,-21.6,1.0,96.0,2331.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,110,17,2020-03-29,1591970.0,-30.54054054054054,-12.486486486486486,1.1081081081081081,-4.108108108108108,-25.486486486486488,0.4594594594594595,113.0,2705.0,1.0,0.0,0.0,0.0,73.9691,24038
0.0,142,31,2020-03-30,1732383.0,-23.851063829787233,-11.361702127659575,-1.127659574468085,-5.0638297872340425,-37.638297872340424,3.574468085106383,126.0,2984.0,1.0,0.0,1.0,1.0,73.9691,24038
0.0,161,17,2020-03-31,1739222.0,-28.458333333333332,-10.145833333333334,-1.4375,-5.9375,-38.541666666666664,4.0625,162.0,3981.0,1.0,0.0,1.0,0.0,73.9691,24038
0.0,188,29,2020-04-01,1732383.0,-26.93617021276596,-6.425531914893617,-2.382978723404255,-5.659574468085107,-39.61702127659574,4.23404255319149,191.0,4384.0,1.0,0.0,1.0,0.0,73.9691,24038
0.0,215,25,2020-04-02,1731108.0,-27.085106382978722,-7.659574468085107,-1.1702127659574468,-5.74468085106383,-38.680851063829785,4.297872340425532,217.0,5276.0,1.0,0.0,2.0,1.0,73.9691,24038
0.0,235,20,2020-04-03,1739222.0,-25.208333333333332,-5.583333333333333,-1.1041666666666667,-7.9375,-38.229166666666664,3.6666666666666665,237.0,6130.0,1.0,0.0,2.0,0.0,73.9691,24038
0.0,279,45,2020-04-04,1607056.0,-33.743589743589745,-2.8205128205128207,-0.5384615384615384,-5.102564102564102,-22.615384615384617,1.0512820512820513,282.0,7404.0,0.0,0.0,2.0,0.0,73.9691,24038
0.0,318,42,2020-04-05,1591970.0,-33.432432432432435,-6.297297297297297,-1.9189189189189189,-5.0,-25.783783783783782,0.5135135135135135,324.0,8514.0,0.0,0.0,3.0,1.0,73.9691,24038
0.0,340,21,2020-04-06,1732383.0,-9.553191489361701,-3.106382978723404,-0.23404255319148937,-6.617021276595745,-38.61702127659574,3.595744680851064,345.0,9595.0,0.0,0.0,4.0,1.0,73.9691,24038
0.0,407,67,2020-04-07,1740630.0,-10.270833333333334,-3.0208333333333335,-1.4583333333333333,-5.958333333333333,-40.0625,3.6666666666666665,412.0,11647.0,0.0,0.0,4.0,0.0,73.9691,24038
0.0,460,50,2020-04-08,1739222.0,-10.9375,-3.6458333333333335,-1.4583333333333333,-5.8125,-41.354166666666664,3.7916666666666665,462.0,12083.0,0.0,0.0,4.0,0.0,73.9691,24038
0.0,513,52,2020-04-09,1745176.0,-10.204081632653061,-3.2448979591836733,-1.8571428571428572,-7.510204081632653,-41.83673469387755,3.6122448979591835,523.0,13340.0,0.0,0.0,5.0,1.0,73.9691,24038
