People_Total_Tested_Count,Cases,Difference,date,Population_Count,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,positive,negative,hospitalizedCumulative,recovered,death,deathIncrease,Density,LandArea
0.0,3,3,2020-03-10,5807896.0,6.565217391304348,5.028985507246377,6.115942028985507,1.434782608695652,1.0434782608695652,-0.028985507246376812,2.0,36.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,4,1,2020-03-11,5813583.0,6.185714285714286,6.0,1.3714285714285714,0.9714285714285714,0.9428571428571428,0.07142857142857142,3.0,43.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,8,4,2020-03-12,5813583.0,5.328571428571428,14.842857142857143,1.3285714285714285,0.8714285714285714,0.24285714285714285,0.6142857142857143,8.0,84.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,19,11,2020-03-13,5817878.0,3.76056338028169,18.253521126760564,1.3943661971830985,1.0,-0.49295774647887325,0.9295774647887324,19.0,169.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,27,8,2020-03-14,5806296.0,2.4927536231884058,21.840579710144926,-2.2753623188405796,-0.4492753623188406,2.1159420289855073,0.855072463768116,19.0,169.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,28,1,2020-03-15,5780627.0,0.835820895522388,14.537313432835822,10.537313432835822,-0.34328358208955223,-0.2537313432835821,0.835820895522388,33.0,313.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,48,20,2020-03-16,5807896.0,-2.9420289855072466,19.73913043478261,-0.17391304347826086,-2.782608695652174,-7.63768115942029,3.3333333333333335,47.0,504.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,73,25,2020-03-17,5807896.0,-11.36231884057971,16.536231884057973,7.463768115942029,-1.0869565217391304,-14.202898550724637,5.072463768115942,72.0,1038.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,111,38,2020-03-18,5813583.0,-32.68571428571428,6.985714285714286,-2.9714285714285715,-3.5285714285714285,-21.9,7.4714285714285715,106.0,1577.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,159,48,2020-03-19,5813583.0,-38.84285714285714,-0.5,-5.1,-5.3,-25.514285714285716,9.242857142857142,155.0,2192.0,0.0,0.0,0.0,0.0,108.0497,54158
0.0,219,60,2020-03-20,5817878.0,-42.74647887323944,1.8450704225352113,-3.323943661971831,-7.112676056338028,-27.549295774647888,9.43661971830986,206.0,3455.0,0.0,0.0,3.0,3.0,108.0497,54158
0.0,282,63,2020-03-21,5817878.0,-48.38028169014085,0.11267605633802817,5.140845070422535,-5.619718309859155,-16.08450704225352,3.408450704225352,281.0,4628.0,0.0,0.0,4.0,1.0,108.0497,54158
0.0,380,99,2020-03-22,5759904.0,-48.38461538461539,-17.092307692307692,5.338461538461538,-7.430769230769231,-22.615384615384617,2.7384615384615385,385.0,6230.0,0.0,0.0,4.0,0.0,108.0497,54158
0.0,425,44,2020-03-23,5813583.0,-32.94285714285714,1.1285714285714286,4.042857142857143,-6.828571428571428,-30.071428571428573,8.785714285714286,416.0,7050.0,0.0,0.0,5.0,1.0,108.0497,54158
0.0,481,56,2020-03-24,5813583.0,-43.07142857142857,-12.371428571428572,6.942857142857143,-7.742857142857143,-35.08571428571429,10.414285714285715,457.0,8237.0,0.0,0.0,5.0,0.0,108.0497,54158
0.0,621,140,2020-03-25,5813583.0,-49.27142857142857,-21.285714285714285,6.057142857142857,-8.571428571428571,-38.371428571428574,11.028571428571428,585.0,10089.0,0.0,0.0,7.0,2.0,108.0497,54158
0.0,728,107,2020-03-26,5813583.0,-48.5,-20.0,1.957142857142857,-8.6,-39.01428571428571,11.428571428571429,707.0,11583.0,0.0,0.0,8.0,1.0,108.0497,54158
0.0,865,137,2020-03-27,5817878.0,-49.38028169014085,-19.802816901408452,7.887323943661972,-9.67605633802817,-37.943661971830984,11.028169014084508,842.0,13140.0,0.0,0.0,13.0,5.0,108.0497,54158
0.0,1055,190,2020-03-28,5813583.0,-57.57142857142857,-22.985714285714284,-9.114285714285714,-11.485714285714286,-25.87142857142857,4.3428571428571425,989.0,15232.0,0.0,0.0,13.0,0.0,108.0497,54158
0.0,1161,109,2020-03-29,5776569.0,-52.96969696969697,-28.893939393939394,-7.5606060606060606,-10.712121212121213,-29.757575757575758,3.090909090909091,1112.0,16550.0,0.0,0.0,13.0,0.0,108.0497,54158
0.0,1230,66,2020-03-30,5813583.0,-39.92857142857143,-15.914285714285715,5.428571428571429,-7.957142857142857,-37.371428571428574,9.871428571428572,1221.0,15856.0,0.0,0.0,14.0,1.0,108.0497,54158
0.0,1412,182,2020-03-31,5813583.0,-41.52857142857143,-15.842857142857143,0.8714285714285714,-6.871428571428571,-39.22857142857143,11.0,1351.0,17375.0,337.0,0.0,16.0,2.0,108.0497,54158
0.0,1556,144,2020-04-01,5813583.0,-40.885714285714286,-11.67142857142857,9.214285714285714,-6.228571428571429,-39.357142857142854,10.457142857142857,1550.0,18819.0,398.0,0.0,24.0,8.0,108.0497,54158
0.0,1747,191,2020-04-02,5813583.0,-41.44285714285714,-12.514285714285714,14.0,-6.914285714285715,-39.628571428571426,10.7,1730.0,20317.0,461.0,0.0,31.0,7.0,108.0497,54158
